rally_cum,game,track,frames,appearance,appearance_frac,carried,agree
82,2,5,34,Patriquin,1.00,Bright,0
82,2,2,41,Alshon,0.98,Alshon,1
82,2,1,29,Black,0.62,Black,1
82,2,4,9,Bright,1.00,UNNAMED,0
82,2,3,21,Patriquin,0.76,Patriquin,1
84,2,1,53,Alshon,1.00,Alshon,1
84,2,2,38,Patriquin,0.95,Patriquin,1
84,2,3,33,Black,0.64,Black,1
84,2,0,30,Patriquin,0.70,Bright,0
84,2,8,13,Bright,1.00,UNNAMED,0
84,2,10,3,Bright,1.00,UNNAMED,0
84,2,12,9,Bright,1.00,UNNAMED,0
84,2,13,8,Bright,1.00,UNNAMED,0
84,2,14,6,Bright,1.00,UNNAMED,0
85,2,3,33,Patriquin,1.00,Patriquin,1
85,2,6,31,Bright,0.61,Bright,1
85,2,4,59,Alshon,1.00,Alshon,1
85,2,5,36,Alshon,0.86,Black,0
85,2,7,4,Bright,1.00,UNNAMED,0
86,2,8,13,Black,1.00,Black,1
86,2,2,15,Alshon,1.00,Alshon,1
86,2,9,1,Bright,1.00,UNNAMED,0
86,2,10,9,Bright,1.00,UNNAMED,0
86,2,7,6,Bright,0.67,Bright,1
86,2,6,8,Patriquin,1.00,Patriquin,1
87,2,1,28,Patriquin,0.96,Patriquin,1
87,2,2,36,Black,0.83,Black,1
87,2,9,5,Bright,1.00,UNNAMED,0
87,2,10,23,Patriquin,0.61,Bright,0
87,2,8,27,Alshon,0.93,Alshon,1
87,2,13,1,Bright,1.00,UNNAMED,0
87,2,24,4,Bright,0.75,UNNAMED,0
87,2,25,8,Alshon,1.00,UNNAMED,0
87,2,23,7,Black,1.00,UNNAMED,0
87,2,27,1,Bright,1.00,UNNAMED,0
87,2,28,2,Patriquin,1.00,UNNAMED,0
88,2,0,25,Black,0.68,Black,1
88,2,2,34,Alshon,0.97,Alshon,1
88,2,1,11,Bright,0.91,Bright,1
88,2,5,16,Patriquin,0.88,Patriquin,1
89,2,6,19,Patriquin,1.00,Patriquin,1
89,2,7,19,Black,1.00,Alshon,0
89,2,5,15,Alshon,0.93,Black,0
89,2,9,17,Patriquin,0.65,Bright,0
89,2,18,1,Bright,1.00,UNNAMED,0
92,2,0,18,Patriquin,0.89,Patriquin,1
92,2,1,17,Black,0.82,Black,1
92,2,2,25,Alshon,1.00,Alshon,1
92,2,3,7,Patriquin,0.86,UNNAMED,0
92,2,4,1,Bright,1.00,Bright,1
92,2,6,9,Bright,1.00,UNNAMED,0
92,2,8,1,Black,1.00,UNNAMED,0
93,2,15,31,Alshon,0.90,Alshon,1
93,2,14,34,Black,0.59,Black,1
93,2,16,26,Patriquin,0.96,Patriquin,1
93,2,13,21,Patriquin,0.62,Bright,0
93,2,18,1,Bright,1.00,UNNAMED,0
94,2,1,9,Patriquin,0.67,Patriquin,1
94,2,0,18,Alshon,0.94,Alshon,1
94,2,2,15,Black,0.93,Black,1
94,2,5,11,Patriquin,0.64,UNNAMED,0
94,2,4,3,Bright,1.00,Bright,1
94,2,6,2,Bright,1.00,UNNAMED,0
94,2,7,4,Bright,1.00,UNNAMED,0
95,2,0,15,Bright,0.73,UNNAMED,0
95,2,3,22,Alshon,1.00,Black,0
95,2,2,17,Black,0.59,Alshon,0
95,2,5,3,Bright,1.00,Patriquin,0
95,2,1,4,Patriquin,0.75,Bright,0
95,2,7,1,Bright,1.00,Patriquin,0
95,2,8,1,Bright,1.00,Patriquin,0
97,2,0,24,Patriquin,0.62,Patriquin,1
97,2,2,28,Alshon,0.96,Alshon,1
97,2,3,20,Black,0.65,Black,1
97,2,4,1,Bright,1.00,UNNAMED,0
97,2,1,21,Patriquin,0.71,Bright,0
97,2,5,4,Bright,1.00,UNNAMED,0
98,2,0,4,Bright,1.00,Patriquin,0
98,2,2,11,Alshon,0.73,Alshon,1
98,2,6,6,Bright,1.00,UNNAMED,0
98,2,5,4,Bright,1.00,Bright,1
98,2,3,8,Patriquin,0.88,UNNAMED,0
