rally,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
106,3,2026-01-25T19:06:00+00:00,2026-01-25T19:06:18+00:00,18.0,4.0,18.0,1-0-2,0-1-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
107,3,2026-01-25T19:06:22+00:00,2026-01-25T19:06:36+00:00,14.0,1.0,14.0,0-1-1,1-1-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
108,3,2026-01-25T19:06:37+00:00,2026-01-25T19:07:01+00:00,24.0,8.0,24.0,1-1-1,2-1-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
109,3,2026-01-25T19:07:09+00:00,2026-01-25T19:07:21+00:00,12.0,4.0,12.0,2-1-1,2-1-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
110,3,2026-01-25T19:07:25+00:00,2026-01-25T19:07:41+00:00,16.0,5.0,16.0,2-1-2,1-2-1,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
111,3,2026-01-25T19:07:46+00:00,2026-01-25T19:08:07+00:00,21.0,5.0,21.0,1-2-1,2-2-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
112,3,2026-01-25T19:08:12+00:00,2026-01-25T19:08:24+00:00,12.0,4.0,12.0,2-2-1,2-2-2,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
113,3,2026-01-25T19:08:28+00:00,2026-01-25T19:08:45+00:00,17.0,5.0,17.0,2-2-2,2-2-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
114,3,2026-01-25T19:08:50+00:00,2026-01-25T19:08:58+00:00,8.0,1.0,8.0,2-2-1,2-2-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
115,3,2026-01-25T19:08:59+00:00,2026-01-25T19:09:16+00:00,17.0,2.0,17.0,2-2-2,3-2-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
116,3,2026-01-25T19:09:18+00:00,2026-01-25T19:09:38+00:00,20.0,6.0,20.0,3-2-2,2-3-1,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
117,3,2026-01-25T19:09:44+00:00,2026-01-25T19:10:00+00:00,16.0,4.0,16.0,2-3-1,3-3-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
118,3,2026-01-25T19:10:04+00:00,2026-01-25T19:10:22+00:00,18.0,5.0,18.0,3-3-1,4-3-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
119,3,2026-01-25T19:10:27+00:00,2026-01-25T19:11:07+00:00,40.0,9.0,40.0,4-3-1,5-3-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
120,3,2026-01-25T19:11:16+00:00,2026-01-25T19:11:29+00:00,13.0,5.0,13.0,5-3-1,5-3-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
