t_s,rms,cheer_2_8k
122.75,0.02308,0.0000763
123.00,0.02429,0.0000900
123.25,0.04930,0.0000942
123.50,0.05718,0.0003324
123.75,0.06165,0.0002404
124.00,0.05570,0.0002265
124.25,0.03564,0.0001515
124.50,0.04176,0.0001284
124.75,0.03752,0.0001272
125.00,0.02811,0.0001245
125.25,0.02452,0.0000791
125.50,0.03276,0.0001139
125.75,0.02902,0.0000811
126.00,0.01814,0.0000757
126.25,0.02875,0.0000770
126.50,0.02707,0.0000712
126.75,0.01311,0.0000428
127.00,0.01980,0.0000591
127.25,0.02005,0.0000998
127.50,0.01192,0.0000346
127.75,0.00911,0.0000487
128.00,0.00986,0.0000467
128.25,0.01046,0.0000459
128.50,0.01712,0.0000566
128.75,0.01771,0.0000423
129.00,0.02779,0.0001150
129.25,0.03293,0.0000766
129.50,0.02111,0.0000480
129.75,0.01106,0.0000385
130.00,0.01348,0.0000467
130.25,0.01444,0.0000857
130.50,0.02817,0.0000863
130.75,0.03194,0.0001899
131.00,0.02143,0.0000810
131.25,0.02281,0.0001000
131.50,0.02351,0.0001134
131.75,0.01558,0.0000423
132.00,0.01285,0.0000736
132.25,0.02103,0.0001008
132.50,0.02089,0.0000510
132.75,0.01749,0.0000511
133.00,0.01903,0.0000832
133.25,0.02132,0.0000649
133.50,0.03779,0.0001341
133.75,0.05135,0.0001956
134.00,0.04967,0.0001738
134.25,0.04469,0.0001817
134.50,0.04485,0.0002062
134.75,0.04490,0.0001921
135.00,0.05419,0.0002342
135.25,0.06650,0.0001635
135.50,0.06935,0.0001905
135.75,0.06423,0.0002193
136.00,0.06205,0.0001765
136.25,0.06256,0.0001631
136.50,0.05358,0.0001465
136.75,0.04304,0.0001257
137.00,0.03946,0.0001795
137.25,0.03838,0.0001273
137.50,0.03945,0.0001468
137.75,0.03736,0.0001300
138.00,0.03065,0.0001344
138.25,0.04696,0.0000952
138.50,0.06173,0.0001307
138.75,0.05584,0.0001231
139.00,0.05202,0.0001038
139.25,0.06424,0.0000779
139.50,0.06551,0.0000579
139.75,0.05916,0.0000787
140.00,0.05413,0.0000865
140.25,0.06595,0.0001781
140.50,0.06883,0.0000379
140.75,0.03946,0.0000411
141.00,0.01299,0.0000398
141.25,0.01341,0.0000494
141.50,0.01262,0.0000370
141.75,0.01427,0.0000389
142.00,0.01503,0.0000431
142.25,0.01237,0.0000329
142.50,0.01484,0.0000334
142.75,0.01931,0.0000396
143.00,0.04842,0.0000736
143.25,0.05107,0.0000555
143.50,0.03916,0.0000602
