rally_cum,game,rally_in_game,slot,match_id,t0s,t1s,dur_s,lead_s,approx,slack_s,start_score,outcome,server_uuid,receiver_uuid,state_check
48,1,48,,,1297.1,1315.1,18.0,18.0,1,6.1,10-8-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
49,2,49,,,1340.1,1360.1,20.0,20.0,1,117.0,0-0-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
50,2,50,,,1229.0,1235.2,20.0,20.0,0,-8.3,0-0-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,bugstate
51,2,51,,,1391.9,1407.9,16.0,16.0,1,1.5,1-0-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
52,2,52,,,1410.8,1423.8,13.0,13.0,1,2.1,2-0-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
53,2,53,,,1424.8,1434.8,10.0,10.0,1,0.0,2-0-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
54,2,54,,,1439.4,1450.4,11.0,11.0,1,-0.6,0-2-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
55,2,55,,,1454.6,1467.6,13.0,13.0,1,0.8,0-2-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
56,2,56,,,1471.4,1485.4,14.0,14.0,1,-0.8,2-0-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
57,2,57,,,1489.5,1501.5,12.0,12.0,1,-2.1,2-0-2,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
