rally,game,t_start,t_end,outcome,start_score,server_uuid,receiver_uuid,pred_receiver_uuid,receiver_ok,parity_ok,team_A_R,team_A_L,team_B_R,team_B_L,server_half,server_team
48,1,2026-01-25T18:32:24+00:00,2026-01-25T18:32:42+00:00,point,10-8-2,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,0,0,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,A
49,2,2026-01-25T18:35:04+00:00,2026-01-25T18:35:24+00:00,sideout,0-0-2,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,A
50,2,2026-01-25T18:35:27+00:00,2026-01-25T18:35:47+00:00,point,0-0-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,B
51,2,2026-01-25T18:35:49+00:00,2026-01-25T18:36:05+00:00,point,1-0-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,79a11da1-6aeb-4719-9b1e-9918e0163cec,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,B
52,2,2026-01-25T18:36:10+00:00,2026-01-25T18:36:23+00:00,second,2-0-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,B
53,2,2026-01-25T18:36:24+00:00,2026-01-25T18:36:34+00:00,sideout,2-0-2,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,79a11da1-6aeb-4719-9b1e-9918e0163cec,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,L,B
54,2,2026-01-25T18:36:38+00:00,2026-01-25T18:36:49+00:00,second,0-2-1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,A
55,2,2026-01-25T18:36:54+00:00,2026-01-25T18:37:07+00:00,sideout,0-2-2,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,fc05556e-3e38-4a38-99c2-f855174a7c28,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,L,A
56,2,2026-01-25T18:37:10+00:00,2026-01-25T18:37:24+00:00,second,2-0-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,R,B
57,2,2026-01-25T18:37:26+00:00,2026-01-25T18:37:38+00:00,point,2-0-2,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,79a11da1-6aeb-4719-9b1e-9918e0163cec,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,L,B
58,2,2026-01-25T18:37:46+00:00,2026-01-25T18:37:52+00:00,sideout,3-0-2,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,B
59,2,2026-01-25T18:39:02+00:00,2026-01-25T18:39:27+00:00,point,0-3-1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,fc05556e-3e38-4a38-99c2-f855174a7c28,1,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,A
60,2,2026-01-25T18:39:33+00:00,2026-01-25T18:39:50+00:00,second,1-3-1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,A
61,2,2026-01-25T18:39:53+00:00,2026-01-25T18:40:07+00:00,sideout,1-3-2,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,fc05556e-3e38-4a38-99c2-f855174a7c28,1,1,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,A
62,2,2026-01-25T18:40:10+00:00,2026-01-25T18:40:19+00:00,point,3-1-1,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,79a11da1-6aeb-4719-9b1e-9918e0163cec,1,1,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,B
63,2,2026-01-25T18:40:22+00:00,2026-01-25T18:40:37+00:00,second,4-1-1,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,L,B
