rally,slot,match_id,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
41,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:40:43+00:00,2026-07-25T18:41:36+00:00,53.0,1.0,53.0,2-1-1,2-1-2,second,50c2125b-406c-41e7-aad6-5432c7cd8e1c,4af4d4d1-9f87-4dc7-95f2-b10751d44c15
42,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:41:37+00:00,2026-07-25T18:41:58+00:00,21.0,2.0,21.0,2-1-2,1-2-1,sideout,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
43,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:42:00+00:00,2026-07-25T18:42:10+00:00,10.0,1.0,10.0,1-2-1,2-2-1,point,4af4d4d1-9f87-4dc7-95f2-b10751d44c15,50c2125b-406c-41e7-aad6-5432c7cd8e1c
44,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:42:11+00:00,2026-07-25T18:42:31+00:00,20.0,0.0,20.0,2-2-1,2-2-2,second,4af4d4d1-9f87-4dc7-95f2-b10751d44c15,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
45,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:42:31+00:00,2026-07-25T18:42:51+00:00,20.0,0.0,20.0,2-2-2,2-2-1,sideout,88fb0858-b9c3-4620-9408-0dda0eb241ef,50c2125b-406c-41e7-aad6-5432c7cd8e1c
46,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:42:51+00:00,2026-07-25T18:43:27+00:00,36.0,0.0,36.0,2-2-1,2-2-2,second,50c2125b-406c-41e7-aad6-5432c7cd8e1c,88fb0858-b9c3-4620-9408-0dda0eb241ef
47,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:43:27+00:00,2026-07-25T18:43:41+00:00,14.0,3.0,14.0,2-2-2,3-2-2,point,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,4af4d4d1-9f87-4dc7-95f2-b10751d44c15
48,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:43:44+00:00,2026-07-25T18:44:07+00:00,23.0,4.0,23.0,3-2-2,4-2-2,point,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
49,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:44:11+00:00,2026-07-25T18:44:39+00:00,28.0,2.0,28.0,4-2-2,5-2-2,point,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,4af4d4d1-9f87-4dc7-95f2-b10751d44c15
50,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:44:41+00:00,2026-07-25T18:44:58+00:00,17.0,98.0,17.0,5-2-2,6-2-2,point,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
51,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:46:36+00:00,2026-07-25T18:47:06+00:00,30.0,3.0,30.0,6-2-2,2-6-1,sideout,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,4af4d4d1-9f87-4dc7-95f2-b10751d44c15
52,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:47:09+00:00,2026-07-25T18:47:25+00:00,16.0,0.0,16.0,2-6-1,2-6-2,second,88fb0858-b9c3-4620-9408-0dda0eb241ef,50c2125b-406c-41e7-aad6-5432c7cd8e1c
53,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:47:25+00:00,2026-07-25T18:47:40+00:00,15.0,2.0,15.0,2-6-2,6-2-1,sideout,4af4d4d1-9f87-4dc7-95f2-b10751d44c15,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
54,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:47:42+00:00,2026-07-25T18:48:03+00:00,21.0,1.0,21.0,6-2-1,7-2-1,point,50c2125b-406c-41e7-aad6-5432c7cd8e1c,88fb0858-b9c3-4620-9408-0dda0eb241ef
55,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:48:04+00:00,2026-07-25T18:48:32+00:00,28.0,3.0,28.0,6-2-1,7-2-2,second,50c2125b-406c-41e7-aad6-5432c7cd8e1c,4af4d4d1-9f87-4dc7-95f2-b10751d44c15
56,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:48:35+00:00,2026-07-25T18:48:45+00:00,10.0,1.0,10.0,7-2-2,8-2-2,point,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
57,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:48:46+00:00,2026-07-25T18:48:59+00:00,13.0,1.0,13.0,8-2-2,2-8-1,sideout,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,4af4d4d1-9f87-4dc7-95f2-b10751d44c15
58,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:49:00+00:00,2026-07-25T18:49:18+00:00,18.0,1.0,18.0,2-8-1,2-8-2,second,88fb0858-b9c3-4620-9408-0dda0eb241ef,50c2125b-406c-41e7-aad6-5432c7cd8e1c
59,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:49:19+00:00,2026-07-25T18:49:29+00:00,10.0,2.0,10.0,2-8-2,8-2-1,sideout,4af4d4d1-9f87-4dc7-95f2-b10751d44c15,e96d9339-cfb6-473d-bcb3-23f2887a3e0f
60,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:49:31+00:00,2026-07-25T18:49:52+00:00,21.0,8.0,21.0,8-2-1,9-2-1,point,50c2125b-406c-41e7-aad6-5432c7cd8e1c,88fb0858-b9c3-4620-9408-0dda0eb241ef
61,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:50:00+00:00,2026-07-25T18:50:18+00:00,18.0,1.0,18.0,9-2-1,9-2-2,second,50c2125b-406c-41e7-aad6-5432c7cd8e1c,4af4d4d1-9f87-4dc7-95f2-b10751d44c15
62,2,1c9ca388-a922-4bed-aa3b-205561187979,1,2026-07-25T18:50:19+00:00,2026-07-25T18:50:41+00:00,22.0,3.0,22.0,9-2-2,2-9-1,sideout,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,88fb0858-b9c3-4620-9408-0dda0eb241ef
