t_s,player,x_ft,y_ft
12.143,Etta Tuionetoa,5.8,30.21
12.143,Ting Chieh Wei,12.27,-2.85
12.193,Allyce Jones,21.01,39.93
12.193,Emma Nelson,5.14,-3.89
12.193,Etta Tuionetoa,5.77,30.14
12.193,Ting Chieh Wei,12.23,-2.69
12.243,Allyce Jones,20.57,39.27
12.243,Emma Nelson,5.22,-3.86
12.243,Etta Tuionetoa,5.75,30.08
12.243,Ting Chieh Wei,12.22,-2.66
12.293,Allyce Jones,20.25,38.43
12.293,Emma Nelson,5.26,-3.86
12.293,Etta Tuionetoa,5.74,29.96
12.293,Ting Chieh Wei,12.21,-2.64
12.343,Allyce Jones,19.84,37.94
12.343,Emma Nelson,5.26,-3.86
12.343,Etta Tuionetoa,5.73,29.69
12.343,Ting Chieh Wei,12.21,-2.55
12.393,Allyce Jones,19.41,37.47
12.393,Emma Nelson,5.26,-3.86
12.393,Etta Tuionetoa,5.72,29.4
12.393,Ting Chieh Wei,12.2,-2.32
12.443,Allyce Jones,18.86,36.85
12.443,Emma Nelson,5.26,-3.86
12.443,Etta Tuionetoa,5.71,29.26
12.443,Ting Chieh Wei,12.19,-1.83
12.493,Allyce Jones,18.31,35.9
12.493,Emma Nelson,5.26,-3.85
12.493,Etta Tuionetoa,5.68,29.24
12.493,Ting Chieh Wei,12.19,-1.37
12.543,Allyce Jones,17.77,35.18
12.543,Emma Nelson,5.25,-3.81
12.543,Etta Tuionetoa,5.66,29.21
12.543,Ting Chieh Wei,12.19,-1.01
12.593,Allyce Jones,17.29,34.63
12.593,Emma Nelson,5.22,-3.85
12.593,Etta Tuionetoa,5.66,29.2
12.593,Ting Chieh Wei,12.19,-0.58
12.643,Allyce Jones,16.92,34.25
12.643,Emma Nelson,5.17,-3.89
12.643,Etta Tuionetoa,5.66,28.95
12.643,Ting Chieh Wei,12.19,-0.32
12.693,Allyce Jones,16.52,33.89
12.693,Emma Nelson,5.09,-3.92
12.693,Etta Tuionetoa,5.66,28.95
12.693,Ting Chieh Wei,12.2,-0.15
12.743,Allyce Jones,16.09,33.27
12.743,Emma Nelson,5.02,-3.93
12.743,Etta Tuionetoa,5.66,28.95
12.743,Ting Chieh Wei,12.21,-0.04
12.793,Allyce Jones,15.62,32.43
12.793,Emma Nelson,4.95,-3.92
12.793,Etta Tuionetoa,5.66,28.95
12.793,Ting Chieh Wei,12.23,-0.03
12.843,Allyce Jones,15.14,31.87
12.843,Emma Nelson,4.91,-3.91
12.843,Etta Tuionetoa,5.68,28.95
12.843,Ting Chieh Wei,12.26,0.11
12.893,Allyce Jones,14.62,31.59
12.893,Emma Nelson,4.85,-3.87
12.893,Etta Tuionetoa,5.76,28.96
12.893,Ting Chieh Wei,12.32,0.44
12.943,Allyce Jones,14.15,31.24
12.943,Emma Nelson,4.81,-3.81
12.943,Etta Tuionetoa,5.77,28.96
12.943,Ting Chieh Wei,12.39,1.08
12.993,Allyce Jones,13.9,30.87
12.993,Emma Nelson,4.77,-3.8
12.993,Etta Tuionetoa,5.78,28.96
12.993,Ting Chieh Wei,12.46,1.64
13.043,Allyce Jones,13.85,30.7
13.043,Emma Nelson,4.7,-3.52
13.043,Etta Tuionetoa,5.78,28.96
13.043,Ting Chieh Wei,12.55,2.08
13.093,Allyce Jones,13.85,30.49
13.093,Emma Nelson,4.64,-3.06
13.093,Etta Tuionetoa,5.8,28.96
13.093,Ting Chieh Wei,12.6,2.37
13.143,Allyce Jones,13.85,30.46
13.143,Emma Nelson,4.58,-2.44
13.143,Etta Tuionetoa,5.84,28.95
13.143,Ting Chieh Wei,12.61,2.61
13.193,Allyce Jones,13.85,30.32
13.193,Emma Nelson,4.56,-1.83
13.193,Etta Tuionetoa,5.94,28.95
13.193,Ting Chieh Wei,12.63,2.69
13.243,Allyce Jones,13.85,29.99
13.243,Emma Nelson,4.56,-1.61
13.243,Etta Tuionetoa,6.07,28.95
13.243,Ting Chieh Wei,12.71,2.76
13.293,Allyce Jones,13.89,29.97
13.293,Emma Nelson,4.54,-1.23
13.293,Etta Tuionetoa,6.26,28.95
13.293,Ting Chieh Wei,12.81,2.98
13.343,Allyce Jones,14.05,29.97
13.343,Emma Nelson,4.52,-0.92
13.343,Etta Tuionetoa,6.46,28.95
13.343,Ting Chieh Wei,12.89,3.56
13.393,Allyce Jones,14.25,29.97
13.393,Emma Nelson,4.51,-0.84
13.393,Etta Tuionetoa,6.63,28.95
13.393,Ting Chieh Wei,12.99,4.25
13.443,Allyce Jones,14.4,29.97
13.443,Emma Nelson,4.49,-0.55
13.443,Etta Tuionetoa,6.67,29.21
13.443,Ting Chieh Wei,13.1,4.84
13.493,Allyce Jones,14.6,29.97
13.493,Emma Nelson,4.48,-0.12
13.493,Etta Tuionetoa,6.68,29.31
13.493,Ting Chieh Wei,13.23,5.26
13.543,Allyce Jones,14.85,30.12
13.543,Emma Nelson,4.48,0.87
13.543,Etta Tuionetoa,6.68,29.35
13.543,Ting Chieh Wei,13.36,5.4
13.593,Allyce Jones,15.03,30.26
13.593,Emma Nelson,4.48,1.37
13.593,Etta Tuionetoa,6.69,29.39
13.593,Ting Chieh Wei,13.48,5.69
13.643,Allyce Jones,15.1,30.42
13.643,Emma Nelson,4.48,1.64
13.643,Etta Tuionetoa,6.69,29.44
13.643,Ting Chieh Wei,13.62,6.05
13.693,Allyce Jones,15.2,30.48
13.693,Emma Nelson,4.49,2.23
13.693,Etta Tuionetoa,6.7,29.55
13.693,Ting Chieh Wei,13.82,6.7
13.743,Allyce Jones,15.33,30.53
13.743,Emma Nelson,4.5,3.28
13.743,Etta Tuionetoa,6.7,29.69
13.743,Ting Chieh Wei,14.01,7.33
13.793,Allyce Jones,15.45,30.66
13.793,Emma Nelson,4.68,4.05
13.793,Etta Tuionetoa,6.7,29.83
13.793,Ting Chieh Wei,14.22,7.64
13.843,Allyce Jones,15.55,30.79
13.843,Emma Nelson,4.93,4.53
13.843,Etta Tuionetoa,6.7,29.91
13.843,Ting Chieh Wei,14.3,7.7
13.893,Allyce Jones,15.66,30.84
13.893,Emma Nelson,5.18,4.98
13.893,Etta Tuionetoa,6.7,29.96
13.893,Ting Chieh Wei,14.35,7.77
13.943,Allyce Jones,15.74,30.92
13.943,Emma Nelson,5.39,5.25
13.943,Etta Tuionetoa,6.7,30.0
13.943,Ting Chieh Wei,14.43,7.87
13.993,Allyce Jones,15.81,30.97
13.993,Emma Nelson,5.61,5.77
13.993,Etta Tuionetoa,6.7,30.11
13.993,Ting Chieh Wei,14.51,7.89
14.043,Allyce Jones,15.85,31.03
14.043,Emma Nelson,5.87,6.45
14.043,Etta Tuionetoa,6.7,30.24
14.043,Ting Chieh Wei,14.58,7.97
14.093,Allyce Jones,15.91,31.1
14.093,Emma Nelson,6.12,7.21
14.093,Etta Tuionetoa,6.67,30.34
14.093,Ting Chieh Wei,14.63,8.56
14.143,Allyce Jones,15.93,31.23
14.143,Emma Nelson,6.31,8.09
14.143,Etta Tuionetoa,6.65,30.47
14.143,Ting Chieh Wei,14.64,9.02
14.193,Allyce Jones,15.93,31.46
14.193,Emma Nelson,6.39,8.36
14.193,Etta Tuionetoa,6.65,30.6
14.193,Ting Chieh Wei,14.65,9.1
14.243,Allyce Jones,15.93,31.65
