p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Kathryn Glavinovich,Blake Suard,mixed,2,-0.071,0.554,0.454,22.3
Isabella Hoang,Matt Burkhardt,mixed,3,0.048,0.526,0.527,74.0
Averee Beck,Joel Poland,mixed,5,0.045,0.527,0.527,73.0
Cc Eleven Sacca,Ethan Bakalinsky,mixed,6,0.053,0.508,0.543,75.1
Nicolas Almeida,Stevie Petropouleas,mixed,7,0.192,0.522,0.643,94.9
Dayna La Belle,Sunny Krittayaweth,mixed,2,-0.087,0.538,0.439,16.1
Preston Lynch,Fabian Jacobo,mens,2,-0.086,0.528,0.425,16.3
Anderson Ju,Chloe Pham,mixed,4,-0.017,0.528,0.5,48.8
Matthew Powley,Mackenzie Lee,mixed,2,-0.035,0.528,0.48,39.3
Olivia Phillips,Braden Jacobson,mixed,5,-0.031,0.526,0.48,42.0
Ishan Balakrishnan,Julianne Le,mixed,6,-0.007,0.522,0.511,53.6
Josh Barber,Tayah Cross,mixed,3,-0.04,0.542,0.468,36.9
Natalia Simson,Karthik Ganesh,mixed,26,0.199,0.51,0.627,95.6
Matthew Sah,Cadell Traya,mens,8,-0.051,0.548,0.464,31.6
Dawoud Ghafarshad,Carl Taibl,mens,6,0.046,0.528,0.526,73.1
Ashley Mackie,Janaye Sakkas,womens,5,-0.034,0.546,0.464,40.4
Natalia Simson,Caroline Maguire,womens,6,0.192,0.526,0.641,95.0
Olivia Phillips,Maddy Rasmusen,womens,3,-0.027,0.498,0.482,44.0
Naomi Nguyen,Averee Beck,womens,7,0.123,0.534,0.591,89.1
Carlota Trevino,Cc Eleven Sacca,womens,10,0.007,0.514,0.511,59.8
Dayna La Belle,Kathryn Glavinovich,womens,2,-0.048,0.53,0.468,33.1
Connor McCartney,Jessica Mason,mixed,10,-0.076,0.492,0.446,19.9
Hannah Ward,Michael Kuhlman,mixed,5,0.004,0.517,0.503,58.7
Julianna Hess,Jessica Ho,womens,2,-0.121,0.544,0.412,8.6
Lyn Yuen Choo,Ryan Skufca,mixed,8,0.079,0.528,0.556,81.2
Michelle McLaughlan,Chase Ora,mixed,2,0.029,0.519,0.528,67.3
Janet Liu,Angel Hernandez,mixed,2,-0.063,0.509,0.444,26.6
Mike Radermacher,Jessica Ho,mixed,9,-0.113,0.517,0.419,9.5
Rafael Lenhard,Troy Akin,mens,25,0.304,0.516,0.718,98.8
Dylan Fullmer,Justin Fullmer,mens,11,0.032,0.537,0.522,68.5
Josh Bellisime,Matthew Mead,mens,5,-0.049,0.547,0.453,32.3
Isaac Hall,Aiden Schliekelman,mens,12,-0.068,0.542,0.459,24.2
Brian Bonilla,Mike Radermacher,mens,8,-0.055,0.512,0.471,30.0
Ant Tran,Flynn Orton,mens,5,0.117,0.508,0.586,88.2
Roman Hill,Alexander Valencia,mens,2,-0.077,0.54,0.454,19.6
Amir Tabatabaeian,Tiffany Wang,mixed,9,0.067,0.524,0.544,78.4
Ethan Bakalinsky,Eddy Kim,mens,11,0.149,0.52,0.607,91.5
Tennessee P,Logan Formaniuk,mens,2,-0.036,0.532,0.471,38.9
Levi Daniel,Amir Tabatabaeian,mens,8,-0.048,0.535,0.46,32.7
Duncan Mulenga Jr.,Martin Thomas,mens,11,0.05,0.516,0.537,74.4
Savanna Ticknor,Jace Howard,mixed,2,-0.116,0.565,0.43,9.2
Julianna Hess,Aizec Olson,mixed,4,0.102,0.504,0.576,86.0
Scott Berke,Chloe Diskin,mixed,3,-0.105,0.537,0.431,11.0
Martin Thomas,Elizabeth Roy,mixed,10,-0.053,0.539,0.455,30.8
Cori Sidell,Harrison Brown,mixed,3,-0.013,0.548,0.482,50.1
Erik Pailet,Jericho Grollman,mens,8,-0.118,0.525,0.405,8.8
Aizec Olson,Lucas Bellamy,mens,5,-0.075,0.528,0.44,20.5
Luke Calvert,Will Gardner,mens,3,-0.008,0.504,0.496,52.7
Janet Liu,Tiffany Wang,womens,2,-0.145,0.549,0.399,5.0
Hayden Rand,William Hsieh,mens,9,0.02,0.512,0.518,64.8
Beau Martin,Kyle Borawski,mens,4,-0.084,0.501,0.439,16.8
Louie Payetta,Chase Ora,mens,2,-0.073,0.495,0.444,21.2
Aaron Li,Matthew Powley,mens,11,0.135,0.527,0.6,90.4
Duncan Mulenga Jr.,Journey Barajas,mixed,2,-0.083,0.539,0.456,17.3
Jordan Theron,Chiron Burl,mens,7,0.045,0.526,0.546,72.4
Mackonner Dy,Michael McCaffrey,mens,3,0.008,0.515,0.51,59.9
Ishan Balakrishnan,Joshua Yoo,mens,10,0.061,0.54,0.529,76.9
Tanner Suard,Blake Suard,mens,2,-0.103,0.52,0.422,11.5
Jackson Ayotte,Jerry Worsham,mens,6,0.067,0.529,0.561,78.2
Chas Howard,Ethan Mahony,mens,2,-0.003,0.551,0.503,55.6
Zach Gonnering,Bret Berryman,mens,9,0.009,0.533,0.501,60.4
Jonathan Truong,Alix Truong,mixed,24,-0.111,0.454,0.409,9.8
Stephen Madonia,Pierina Imparato,mixed,6,-0.032,0.527,0.474,41.5
Eduardo Santini Ayon,Joel Poland,mens,90,0.164,0.486,0.611,93.1
Maggie Brascia,Augustus Ge,mixed,7,-0.169,0.529,0.376,3.1
Ivan Jakovljevic,Judit Castillo,mixed,46,0.474,0.513,0.831,99.8
Christian Alshon,Tyra Hurricane Black,mixed,21,0.235,0.509,0.675,97.1
Ella Yeh,Adam Harvey,mixed,6,0.002,0.529,0.498,57.4
Jade Rau,Cason Campbell,mixed,4,0.035,0.527,0.525,69.3
Caden Nemoff,Jaeda Minniefield,mixed,2,-0.057,0.522,0.456,29.1
Kento Tamaki,Claudio Quinones Garcia,mens,6,0.077,0.502,0.559,80.5
Gabriel Joseph,Ella Cosma,mixed,6,0.117,0.502,0.596,88.1
Catherine Parenteau,Gabriel Tardio,mixed,79,-0.007,0.456,0.504,53.5
Christine Trifunovic,Spartak Rahachou,mixed,4,-0.08,0.539,0.445,18.7
Elsie Hendershot,Andrew Caldarella,mixed,4,0.121,0.549,0.578,88.7
Chao Yi Wang,Tyson McGuffin,mixed,30,-0.052,0.485,0.444,31.1
Dekel Bar,Jackie Kawamoto,mixed,10,-0.011,0.505,0.49,51.5
Jalina Ingram,John Lucian Goins,mixed,15,0.031,0.501,0.516,68.1
Ethan Violette,Jase Edwards,mens,3,-0.068,0.532,0.453,23.4
Brooke Buckner,Pablo Tellez,mixed,27,-0.2,0.487,0.345,1.6
Rafa Hewett,Genie Bouchard,mixed,4,0.05,0.523,0.534,74.6
Austin Bricker,Camila Zilveti,mixed,4,-0.044,0.527,0.472,34.5
Luana Stanciu,Wil Shaffer,mixed,2,0.01,0.553,0.496,61.0
Juan Benitez,Brooke Caruso,mixed,5,0.023,0.525,0.526,65.4
Jorja Johnson,JW Johnson,mixed,95,-0.103,0.506,0.433,11.3
Etta Tuionetoa,Hunter Johnson,mixed,6,-0.013,0.517,0.487,50.4
Tamaryn Emmrich,Grayson Goldin,mixed,4,-0.201,0.505,0.351,1.6
Eric Oncins,Meghan Dizon,mixed,20,0.158,0.495,0.622,92.6
Collin Johns,Albie Huang,mixed,19,0.184,0.483,0.644,94.6
Ashley Griffith,John Cincola,mixed,2,-0.097,0.529,0.433,13.0
Max Freeman,Milan Rane,mixed,4,-0.008,0.529,0.5,53.2
Armaan Bhatia,Mya Bui,mixed,4,-0.133,0.514,0.416,6.8
Riley Newman,Cailyn Campbell,mixed,26,0.076,0.496,0.564,80.5
Tom Protzek,Allison Phillips,mixed,10,0.036,0.493,0.523,69.7
Jaikin Gomez,Mouaad Alhouni,mens,21,-0.021,0.49,0.484,46.5
David Litvinov,Angel Hernandez,mens,6,0.004,0.502,0.497,58.8
Ross Whittaker,Ava Ignatowich,mixed,2,0.019,0.51,0.524,64.5
Lucy Kovalova,Matt Wright,mixed,24,0.321,0.558,0.716,99.0
Tyler Loong,Kiora Kunimoto,mixed,6,0.012,0.544,0.514,61.9
Naveen Beasley,Rio Newcombe,mens,4,0.131,0.551,0.577,90.1
Ting Chieh Wei,Anderson Scarpa,mixed,4,-0.002,0.533,0.495,55.9
Zoeya Khan,Brandon French,mixed,2,-0.013,0.495,0.486,50.3
Noe Khlif,Tina Pisnik,mixed,46,-0.093,0.494,0.431,13.9
Callie Smith,CJ Klinger,mixed,11,0.14,0.519,0.599,91.0
Rachel Rettger,Wesley Burrows,mixed,4,0.071,0.551,0.544,79.2
Andre Mercado,Isabella Dunlap,mixed,2,-0.213,0.564,0.364,1.3
Luc Pham,Giovanna Morelli,mixed,4,0.297,0.521,0.721,98.5
Anna Bright,Hayden Patriquin,mixed,138,0.102,0.506,0.588,86.0
Nicole Conard,Pesa Teoni,mixed,12,-0.002,0.503,0.512,56.2
Blaine Hovenier,Jade Kawamoto,mixed,5,-0.225,0.535,0.334,0.8
Marshall Brown,Olivia McMillan,mixed,6,0.165,0.539,0.609,93.4
Albert Wan,Dylan Goldman,mens,3,-0.015,0.52,0.481,49.6
Roscoe Bellamy,Alex Walker,mixed,3,-0.018,0.524,0.489,47.9
Donald Young,Lindsey Newman,mixed,5,0.003,0.519,0.507,58.3
Chuck Taylor,Abbigal Hatton,mixed,3,-0.046,0.542,0.467,33.6
