p1_name,p2_name,chem_logit_mean,chem_logit_sd
Dylan Frazier,JW Johnson,0.0284,0.0441
Callie Smith,Lucy Kovalova,0.0191,0.0466
Dekel Bar,Tyson McGuffin,-0.0054,0.0423
Etta Tuionetoa,Meghan Dizon,0.0127,0.0453
Jay Devilliers,Patrick Smith,0.0151,0.0467
Tanner Crandall,Brendon Swazo,-0.0097,0.0493
Pally Ray,Tony Larson,0.0044,0.0478
Kyle Chittenden,Christian Harkins,-0.0079,0.0515
Samrat Nalla,Sam Young,-0.0028,0.0491
Kailas Shekar,Riley Inn,-0.0024,0.0468
Chance Finley,Christian Nowtash,-0.0046,0.049
Jeffrey Stone Jr.,Bret Berryman,0.0021,0.048
Jonas Valdez,Ross Mathews,-0.0014,0.0504
Joey Nassos,Russell Martinez,-0.0029,0.0496
Chas Howard,Nicholas Wade,-0.0003,0.0491
Alex Fillat Perez,Stavro Sophocleous,-0.0021,0.0502
Ryan Fu,Tanner Tomassi,-0.0118,0.0461
Zach Gonnering,Christopher Anderson,-0.0024,0.049
Ryan Lucci,Daniel Gonzalez,-0.0041,0.0472
Nate Gross,Nick Tomaino,-0.0017,0.0472
Trevor Machek,Adrian Garza,0.0123,0.0502
Claudio Quinones Garcia,Christopher Haworth,0.0039,0.0478
Thatcher Schwendiman,Clayton Boydston,0.0139,0.0481
Austin Oreilly,Adrian Garza,0.0004,0.049
Rumesh Vaikuntan,Andrew Wang,0.0014,0.048
Daniel Byun,Harrison Yee,0.0063,0.05
Chuck Tang,Jake Kuhlman,-0.0057,0.0498
Clayton Powell,Elijah Bertram,-0.0076,0.0514
Tavon Morrow,Evgeniy Kim,0.0116,0.0478
Flynn Kantzalis Orton,Matthew Mead,0.0056,0.0487
Nick Black,Logan Rosenbach,0.0096,0.0478
Joel Ticknor,Kale Klein,0.0063,0.0494
Matthew Fisher,Erik Josephs,-0.0034,0.0501
David Litvinov,Benjamin Grant,0.0019,0.0477
Garrett Blair,Paul Maple,-0.0065,0.0497
Sam Angelo,Devon Farnsworth,0.0048,0.0465
Jack Goldberg,Dave Musgrave,-0.0093,0.0494
Andre Millet,Luke Ness,-0.0115,0.048
Matthew Stith,Andre Feliz,-0.0019,0.0493
Darren Ho,Matthew Nola,-0.0009,0.0511
Walter Lau,Aron Ouye,0.0039,0.0501
Pablo Copetti,Agustin Crochi Torres,-0.0026,0.0505
Marcel Chan,Amanda Rosati,0.0124,0.0483
Cori Elliott,Bryce Larson,-0.001,0.0471
Jessica Mason,Clayton Powell,-0.0083,0.0492
Sally Clement,Michael Stephens,-0.0081,0.0484
Mary Brascia,Erik Lange,0.0022,0.0507
Rob Cassidy,Camila Garcia Wright,0.003,0.0497
Chas Howard,Mary Monson,0.0025,0.0458
Louie Payetta,Malia K Lum,-0.0015,0.0475
Madeline Schulte,Tavon Morrow,0.0023,0.0496
Carlota Trevino,Benjamin Grant,-0.006,0.0508
AJ Koller,Lacy Schneemann,-0.0083,0.0463
Nicola Slater,Rio Newcombe,-0.0009,0.0497
Jessica Wilcox,Jackson Ayotte,0.024,0.0512
Thatcher Schwendiman,Brenna Murray,0.0087,0.0509
Miranda Mizera,Peyton Mizera,-0.0099,0.0486
Caden Nemoff,Daria Walczak,-0.0045,0.0509
Dorothy Zerbst,Will Jamieson,0.0045,0.05
Samrat Nalla,Nora Tan,-0.0031,0.0521
Allison Phillips,John Cincola,-0.0027,0.049
Courtney McIntosh,Walter Lau,0.0075,0.0482
Ella Boydston,Clayton Boydston,-0.0222,0.0493
Chloe Igleski,Joel Ticknor,-0.0025,0.0494
Monica Piekarski,Etienne Blaszkewycz,0.0005,0.0495
Rachael James,Johnny Goldberg,-0.0036,0.0512
Belinda Gamez,Christopher Anderson,0.0037,0.0485
Lingwei Kong,Wyatt Stone,-0.0098,0.0465
Chao Yi Wang,Chuck Taylor,0.0025,0.0468
David Litvinov,Alexis Nelson,0.003,0.0476
David Hall,Lauren Wong,-0.0063,0.0491
Jeremy Swisher,Kimberly Burbank,-0.0069,0.0503
Christian Alshon,Catherine Parenteau,0.0091,0.0438
Lina Padegimaite,CJ Klinger,0.002,0.0475
Lea Jansen,Jack Munro,-0.001,0.0495
Christine Maddox,Tyler Loong,-0.0209,0.0513
Drake Palm,Marcela Aguila Ampon,-0.0022,0.0437
Mari Humberg,Martin Emmrich,-0.0018,0.0483
Zane Navratil,Andrea Koop,0.0028,0.0487
Kaitlyn Christian,Wesley Burrows,-0.0005,0.0479
