player_id,name,gender,games,b_adjusted,se,z,clutch_shrunk,shrunk_sd
574957ae-e8d5-486e-aabc-a1cc6a392f8d,Jalina Ingram,F,260,0.004303,0.007049,0.610,0.001924,0.004096
0c5b84bb-4c04-4906-86bc-deb533ff4eec,Zane Ford,M,250,0.003946,0.006562,0.601,0.001909,0.003993
34049405-b415-4f3a-aade-5be0111ac7db,Bruno Faletto,M,62,0.009625,0.012805,0.752,0.001904,0.004684
22989ac3-e778-487a-ba32-a30243acd294,Christine Trifunovic,F,98,0.008372,0.011739,0.713,0.001900,0.004625
3e6b668a-8d26-4424-9420-3ceb18486b65,Daria Walczak,F,85,0.009380,0.012650,0.742,0.001896,0.004676
f86cff72-5f9c-40b1-9f28-f28aafae245f,Wyatt Stone,M,368,0.003213,0.005355,0.600,0.001884,0.003667
02a3c8ae-fb47-4b82-8001-b33d9446a90e,Robert Laidlaw,M,62,0.007879,0.011455,0.688,0.001871,0.004607
bd7773b4-7b8e-4da2-96ce-98fe3490ee93,Lindsey Newman,F,202,0.004200,0.007163,0.586,0.001864,0.004118
efe9989b-5864-48c2-806c-06697024e1da,Allyce Jones,F,589,0.002739,0.004507,0.608,0.001836,0.003358
b9dbf1d9-f5a8-4d6b-8685-00d7f477a42e,Henry Boyle,M,63,0.008212,0.012177,0.674,0.001805,0.004651
6a87bc44-5190-44db-8a2f-467de4de48c6,Christa Gecheva,F,265,0.003535,0.006338,0.558,0.001803,0.003941
afc0bfc9-8cd8-4600-bd45-681092186db3,Vivienne David,F,377,0.002860,0.005017,0.570,0.001789,0.003553
a3ed7970-35d2-485c-8285-187c298a2d83,Lacy Schneemann,F,606,0.002623,0.004462,0.588,0.001781,0.003339
581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,989,0.002152,0.003265,0.659,0.001725,0.002739
ce7e7707-c94e-4d33-b34a-37efe3363774,Eli Steiner,M,123,0.006649,0.011105,0.599,0.001723,0.004584
b03ff4de-9b8f-46a8-a530-d8f19e9d6ec9,Max Freeman,M,378,0.002762,0.005311,0.520,0.001681,0.003653
2e858abd-e6cb-4a07-b6ea-fd6ca01556ae,Rachael James,F,78,0.010487,0.015277,0.686,0.001668,0.004780
25139050-f977-4456-9545-7d63b72fa380,David Litvinov,M,99,0.006385,0.011254,0.567,0.001656,0.004594
8f521dcc-1cb5-4c8d-933c-af6b267bd395,Meghan Dizon,F,708,0.002297,0.004157,0.552,0.001654,0.003205
9fa6a300-42c2-4a96-b7c0-9afbe1342e59,Adair Garcia,M,66,0.008048,0.013362,0.602,0.001622,0.004709
1d5698ad-f0a1-4ff7-8321-6c166069946e,Pally Ray,M,71,0.007949,0.013562,0.586,0.001587,0.004718
7319013d-d511-4aa5-a356-4aa2cccf94f5,Lea Jansen,F,726,0.002129,0.003986,0.534,0.001583,0.003124
5883c77e-d6e0-4848-9473-866396578248,Audrey Adele Brown,F,151,0.004273,0.009043,0.472,0.001553,0.004397
25104e43-16f9-4ce3-9085-70243d8b350a,Ella Yeh,F,189,0.003425,0.007562,0.453,0.001544,0.004190
53eadec7-a6b1-4ce3-9825-d76affdc3f4f,Juan Varon,M,83,0.006763,0.012690,0.533,0.001534,0.004678
84a2e8e4-b4fd-4625-8011-244c37e62b72,Jessica Mason,F,120,0.004737,0.009966,0.475,0.001529,0.004492
38b1bfb1-576b-4a3e-ab6b-e8bc46031c1d,Eric Roddy,M,249,0.002748,0.006351,0.433,0.001497,0.003944
66cb85be-fe8b-402d-a4f7-4a8e6a7c3ad7,Lucas Pascoe,M,74,0.005601,0.011688,0.479,0.001476,0.004622
fc684593-8841-4dd1-b77c-5154b2f25bca,Hailee Haymore,F,64,0.007721,0.014441,0.535,0.001470,0.004752
ea0b7d06-7e9f-4786-a4ed-24da5029559f,Dale Kim,M,69,0.005152,0.011395,0.452,0.001436,0.004603
11124e87-7f5d-45fd-8282-728c39068a3c,Nick Black,M,107,0.003843,0.009524,0.404,0.001395,0.004449
9d55617e-fe7a-4d1c-8bda-3637647ff5cc,Jonny Pickleball Andrews,M,77,0.007142,0.014752,0.484,0.001381,0.004763
6876576c-b20e-47e3-99e4-d32759cc9f48,Patrick Kawka,M,86,0.004775,0.011433,0.418,0.001371,0.004606
0d23964f-d43f-4006-b1e0-13001393216c,Ross Whittaker,M,195,0.002470,0.006796,0.363,0.001334,0.004044
1bb4e304-37c1-43eb-b223-6eb45ab3b78a,Madeline Schulte,F,81,0.006171,0.014086,0.438,0.001329,0.004739
