uuid,name,gender,n_high,n_low,serve_regular,return_regular,serve_big,return_big,regular,big,lift,lift_se,z,skill_adj,lift_rank,skill_adj_rank,lift_halfA,lift_halfB
2c2a2b82-9ec7-4046-97cb-3a199ed507af,Oscar Serra,M,919,1751,0.1385,-0.0027,0.1287,0.0864,0.1357,0.2151,0.0793,0.1687,0.47,-0.2551,249,691,-0.2366,0.2511
14da50fe-4769-4bc3-aa3c-5d2e8a8527c1,Court Zalinski,F,194,415,-0.0106,-0.2179,-0.054,-0.0972,-0.2285,-0.1512,0.0773,0.3126,0.25,0.5183,250,18,0.0013,0.2168
469988c9-b401-4c68-9e07-e1b1b104b791,Yates Johnson,M,2621,5108,0.0027,-0.004,0.0845,-0.0094,-0.0012,0.0751,0.0763,0.096,0.8,0.0415,251,319,-0.1281,0.1631
9dc57e5e-1e15-4c18-9f9b-ea82ae9a5d46,Andre Millet,M,292,516,-0.0092,-0.0385,-0.0033,0.03,-0.0477,0.0267,0.0744,0.2443,0.3,0.0036,252,376,0.2307,-0.0803
14c4c96f-0a49-4d07-b16d-f6cb782491f4,Kentaro Hamaguchi,M,860,1711,-0.0122,-0.0982,0.0176,-0.0549,-0.1103,-0.0373,0.0731,0.1776,0.41,0.113,253,223,-0.106,0.1923
41118195-75b3-4b25-adc9-07991301280a,Craig Johnson,M,1757,3626,0.0122,0.0301,0.0481,0.0639,0.0423,0.112,0.0696,0.1156,0.6,-0.0275,254,411,-0.0556,0.0389
1af53bb7-816e-4292-bd2e-08374c50aa42,Sergey Afanasenka,M,348,651,0.0396,-0.0039,0.0178,0.0865,0.0357,0.1043,0.0686,0.241,0.28,-0.1422,255,583,0.0375,0.0537
a9950e78-2b86-495e-a0d2-bb8efac93531,Malia K Lum,F,555,1093,0.0084,-0.0034,-0.0022,0.0743,0.005,0.0721,0.0671,0.1877,0.36,0.0564,256,294,0.1346,-0.1231
07aabe65-d0a6-4599-9ebf-48683b900917,Madison Wold,F,226,430,-0.1018,-0.1443,-0.0086,-0.1715,-0.2461,-0.1801,0.066,0.2677,0.25,0.2212,257,129,-0.098,0.1347
6a00b494-cc3d-4cd5-9fbe-077bc6958972,Dennis Uspensky,M,260,522,-0.0071,0.0744,0.0803,0.0526,0.0673,0.1329,0.0656,0.2427,0.27,0.0635,258,285,0.0096,0.1608
4025f403-d676-42ee-97a1-61d9b38c211b,Allison Phillips,F,2824,5832,0.0368,0.0533,0.1039,0.0517,0.09,0.1556,0.0655,0.0942,0.7,-0.1984,259,643,-0.0049,-0.1269
9a449e9c-69aa-4a48-8f28-217766ab25f7,Armaan Jiwa Mawji,M,468,895,-0.002,-0.0723,-0.0194,0.0093,-0.0743,-0.0101,0.0643,0.2044,0.31,0.0283,260,335,0.2209,-0.202
c5964640-5d39-4c95-b6a4-7a1faeda89a6,Amanda Rosati,F,503,1052,0.1009,-0.0841,0.1813,-0.1031,0.0167,0.0782,0.0615,0.2104,0.29,0.1106,261,225,0.0489,0.0552
4a7604e0-0f45-4057-8da0-bbfd0a58df83,Cami Blake,F,210,536,-0.1262,-0.0053,-0.0165,-0.0551,-0.1315,-0.0716,0.06,0.3132,0.19,0.3093,262,73,0.2856,-0.1673
9120d7ec-1a7e-413a-82cf-0e29009175d5,Maximo Agoglia,M,178,311,-0.0049,-0.0738,0.0224,-0.0419,-0.0787,-0.0195,0.0593,0.3038,0.2,0.2663,263,97,0.1556,-0.016
5ba3597f-0147-4420-bbc3-00da18ccf339,Justin Hunter,M,259,545,-0.0804,-0.0367,-0.0109,-0.0476,-0.1171,-0.0585,0.0586,0.3011,0.19,0.0418,264,317,-0.1654,0.2217
b3485ff8-bab5-4443-8245-3f81cbfb2b77,Emily Cederquist,F,274,509,0.1435,-0.0273,0.0444,0.129,0.1162,0.1735,0.0573,0.2399,0.24,-0.0924,265,514,-0.0714,0.0709
392de00d-8c51-4096-be1c-b9e59d882913,Lauren Wong,F,261,509,0.0192,-0.1938,-0.1055,-0.0125,-0.1746,-0.118,0.0566,0.2695,0.21,0.3978,266,45,0.0829,0.0505
8b96b5a9-1ed8-4bb8-956f-c46e8de9ab24,Mikar Larenzo Fisher,M,200,426,-0.0793,-0.1385,-0.0551,-0.1061,-0.2178,-0.1612,0.0566,0.2858,0.2,0.1062,267,228,0.0176,0.0389
9e2a5ee1-cdc9-4635-a15a-540ee99192b7,Mitchell Hargreaves,M,517,1074,-0.188,-0.0129,-0.0437,-0.1015,-0.2009,-0.1453,0.0556,0.2177,0.26,0.0545,268,300,0.0158,0.0622
ca3a3394-b5c4-4c95-9d31-910d4ce5bc9c,Brandon Fritze,M,327,722,-0.032,0.0143,-0.0089,0.0439,-0.0177,0.035,0.0527,0.2337,0.23,0.0755,269,268,0.1774,-0.0539
7464628e-931a-44c9-b0df-749a7cb32eaa,Adam Harvey,M,2490,5119,0.0242,0.0215,0.1394,-0.0412,0.0456,0.0981,0.0525,0.1006,0.52,-0.07,270,482,-0.27,0.2497
cc994f98-879e-4ef1-a4e6-bfe46cdaea7a,Chase Blocker,M,246,444,-0.0147,-0.2254,-0.0517,-0.1361,-0.2402,-0.1877,0.0524,0.2745,0.19,0.2698,271,94,-0.0998,0.1787
f5e7df5b-e14b-4a8d-9c13-e7b73ff4e48c,Sebastian Herrera,M,169,341,-0.1522,0.0044,-0.0795,-0.0173,-0.1477,-0.0968,0.0509,0.2912,0.17,0.1677,272,177,0.0304,0.0788
af94be9e-b2f9-413a-aa9c-450cf6021c10,Michael Vallejo,M,198,417,0.0833,-0.1604,0.044,-0.0703,-0.0771,-0.0263,0.0508,0.3001,0.17,0.1881,273,156,0.0889,0.0
eb88338a-8029-4801-9a7f-e4d48c9b5d83,Domenico Geminiani,M,411,800,-0.0783,0.0358,0.0142,-0.008,-0.0425,0.0062,0.0487,0.2365,0.21,-0.0565,274,462,-0.1528,0.133
