uuid,name,gender,n,attack,attack_se,defend,defend_se,level_serve,level_return,total
cc8832b9-9a8f-4cbc-8eff-b20e9a7ff09a,Jaume Martinez Vich,M,23663,0.21299766352491953,0.019093014373984744,0.19853354951843094,0.018871971028809123,0.042148920107098135,0.021785420607678168,0.4115312130433505
ff789b9c-80c4-442c-b97e-2e2311298cfb,Vivian Glozman,F,9754,0.22155489272293075,0.02946099967584506,0.1857707166315268,0.029112248112437813,-0.02350478679232122,0.06841477081839865,0.40732560935445755
8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,F,26172,0.19138303033247225,0.018639008962850492,0.207419608611661,0.018364520601185173,0.027248490243913372,0.029827957718291085,0.39880263894413326
759ecf95-26a6-4ffe-bb8b-035d3ec05f31,Matt Wright,M,17535,0.21194015110114936,0.02178084954763147,0.18018059695789013,0.021978455969791862,0.05331957028314822,0.03777350996204771,0.3921207480590395
efe9989b-5864-48c2-806c-06697024e1da,Allyce Jones,F,22090,0.18338884016948886,0.020057437492815577,0.20523430628022366,0.02021769846292267,0.022211257848619537,0.019193642057461983,0.3886231464497125
8160ad59-4654-46b1-b229-8d5f2a9a45f9,Hunter Johnson,M,18677,0.20485589542228028,0.021300974588444176,0.17946751361693222,0.02137825149338232,0.021584262284663907,0.056735080940074546,0.38432340903921247
0c1bb94d-3af2-42f4-b938-d712c707ace4,Callie Smith,F,22903,0.1860443696579503,0.019434838497523678,0.1977986599443385,0.019920483311711507,0.05134150113943062,0.03688422998650254,0.3838430296022888
52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Pablo Tellez,M,24638,0.17643087221415196,0.01852257449050478,0.20644643245138963,0.018925716320395736,0.03656165914261785,0.03682775692986393,0.3828773046655416
736475dd-7ccd-40d8-8b43-8c2d9ef9e674,Maggie Brascia,F,14198,0.2096823603558403,0.024468370949311893,0.16623003543876153,0.024130156102751068,0.05836754933445653,0.004370923787782017,0.37591239579460184
ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M,21686,0.1826811343151705,0.019814698935559344,0.18845643795600378,0.019836783350803664,0.013563612505984835,0.04872646569196757,0.3711375722711743
c18fb17d-e0bb-415c-901b-fa2f928ab22c,Harsh Mehta,M,1681,0.16166251822479052,0.05997622000817134,0.20873839452058057,0.059381432142283655,0.07742301003561193,0.07761794812038623,0.3704009127453711
f90428f0-e4a3-4a08-a664-518ba7f188d2,Jack Munro,M,2011,0.19680366705367197,0.05687727674658817,0.16384659425762133,0.055312343258325805,0.023741633324808588,0.06541561390093116,0.3606502613112933
20684550-cb89-4ea2-9e2f-0f44eb920b45,Chao Yi Wang,F,17588,0.19053908500670652,0.022158875381706886,0.1640793604566734,0.022216185831980505,0.02501265117343161,0.040164703047201544,0.35461844546337995
6876576c-b20e-47e3-99e4-d32759cc9f48,Patrick Kawka,M,3528,0.17070717068118588,0.04570551250215736,0.17795860218975704,0.04529163894805958,-0.06066183846325304,0.1085948796817475,0.3486657728709429
655e0349-7e66-4233-b999-b6cca2298f9b,Yana Newell,F,1026,0.18947792340029226,0.07101709182307361,0.15725171840784144,0.07040578895584461,0.060712915307900656,0.022082615573123965,0.3467296418081337
4057f30d-d42a-4189-a158-11576fb5f52a,Blaine Hovenier,M,17916,0.1512859946755376,0.02184107417745258,0.1908067963018556,0.02192680540035491,0.07647055788013676,0.008877368891199807,0.3420927909773932
33292af3-984d-4752-8d18-b3a5c147e9fe,Armaan Bhatia,M,6860,0.17323419578156027,0.034166769875255465,0.1650045970034953,0.03432224050830994,0.03774620180588725,-0.001358757238166612,0.33823879278505553
646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,18176,0.13603588875792114,0.02196472879861036,0.19821585642178965,0.021949613334997675,0.008690020068407939,0.028386688931818647,0.3342517451797108
ce4f0e14-80ea-4ed0-a81c-7341d356d427,Yuta Funemizu,M,4883,0.2004515600536584,0.039588281077367456,0.12859073703346346,0.03921592040858963,0.014882631517609329,-0.014155072839384343,0.32904229708712185
1d51becb-4ea0-4878-9660-e3fd2dfaa0ea,Ewa Radzikowska,F,8444,0.19739464683589306,0.03142801124045692,0.12918583808248496,0.03063225554724797,0.02650456323227803,0.007562114174694006,0.326580484918378
