p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Janaye Sakkas,Joshua Yoo,mixed,2,0.006,0.467,0.528,60.2
Nicolas Almeida,Karthik Ganesh,mens,4,-0.039,0.467,0.479,32.7
Carson Nguyen,Sunny Krittayaweth,mens,2,-0.039,0.462,0.477,32.8
Abigail Okelley,Will Mackinnon,mixed,5,0.033,0.479,0.528,71.4
Kelly Jensen,Eric Diaz,mixed,12,0.072,0.502,0.55,83.6
Brodie Smith,Omar Garcia-Heredia,mens,16,0.079,0.472,0.553,85.0
Maddox Castellanos,Rob Hutchins,mens,2,-0.002,0.448,0.493,55.6
Carlota Trevino,Rafael Lenhard,mixed,9,-0.169,0.464,0.364,1.6
Jessica Bowman,Matthew Mead,mixed,4,0.078,0.482,0.561,84.5
Cori Sidell,Tayah Cross,womens,2,-0.018,0.501,0.484,46.3
Natalie Hur,Lyn Yuen Choo,womens,30,0.044,0.459,0.534,75.2
Santhosh Narayanan,Harrison Brown,mens,5,0.051,0.48,0.534,77.6
Elliott Schupp,Kyle Koszuta,mens,36,0.099,0.481,0.575,88.5
David Litvinov,Maddy Rasmusen,mixed,5,0.013,0.468,0.521,63.1
Jase Edwards,Dana Raugust,mixed,4,0.057,0.482,0.543,79.2
Jericho Grollman,Madison Grollman,mixed,14,0.1,0.472,0.581,88.8
Jaden Lam,Jace Howard,mens,11,0.062,0.482,0.536,81.0
Josh Barber,Liam Jesperson,mens,3,0.004,0.471,0.491,58.8
Matthew Sah,Alyssia Fossorier,mixed,18,0.068,0.482,0.55,82.9
Michelle McLaughlan,Alyssia Fossorier,womens,2,-0.027,0.452,0.468,40.7
Victor Rodrigo,Matt Burkhardt,mens,16,0.082,0.445,0.573,85.5
Anderson Ju,Harrison Yee,mens,3,-0.06,0.457,0.458,21.4
Chase Holderman,Derek Shearer,mens,5,-0.053,0.485,0.441,25.4
Indigo Dagnall,Armaan Jiwa Mawji,mens,5,0.005,0.443,0.519,59.5
Connor McCartney,Jack Sahid,mens,14,0.016,0.502,0.518,64.3
Naomi Nguyen,Rio Newcombe,mixed,18,0.061,0.444,0.55,80.5
Kathryn Glavinovich,Blake Suard,mixed,2,-0.056,0.46,0.448,23.6
Isabella Hoang,Matt Burkhardt,mixed,3,0.042,0.455,0.539,74.3
Averee Beck,Joel Poland,mixed,5,0.014,0.491,0.518,63.9
Cc Eleven Sacca,Ethan Bakalinsky,mixed,6,0.089,0.45,0.578,86.7
Nicolas Almeida,Stevie Petropouleas,mixed,7,0.143,0.466,0.614,94.1
Dayna La Belle,Sunny Krittayaweth,mixed,2,-0.055,0.469,0.457,23.9
Preston Lynch,Fabian Jacobo,mens,2,-0.053,0.483,0.455,25.6
Anderson Ju,Chloe Pham,mixed,4,0.018,0.528,0.516,65.5
Matthew Powley,Mackenzie Lee,mixed,2,-0.027,0.487,0.464,40.9
Olivia Phillips,Braden Jacobson,mixed,5,-0.024,0.475,0.479,42.9
Ishan Balakrishnan,Julianne Le,mixed,6,-0.017,0.492,0.489,46.9
Josh Barber,Tayah Cross,mixed,3,-0.026,0.462,0.476,41.4
Natalia Simson,Karthik Ganesh,mixed,26,0.148,0.473,0.61,94.4
Matthew Sah,Cadell Traya,mens,8,-0.06,0.51,0.472,21.2
Dawoud Ghafarshad,Carl Taibl,mens,6,0.038,0.481,0.533,73.2
Ashley Mackie,Janaye Sakkas,womens,5,-0.03,0.48,0.473,39.0
Natalia Simson,Caroline Maguire,womens,6,0.152,0.473,0.616,94.6
Olivia Phillips,Maddy Rasmusen,womens,3,-0.01,0.466,0.506,51.4
Naomi Nguyen,Averee Beck,womens,7,0.093,0.48,0.577,87.4
Carlota Trevino,Cc Eleven Sacca,womens,10,-0.073,0.465,0.444,15.6
Dayna La Belle,Kathryn Glavinovich,womens,2,-0.012,0.457,0.482,49.8
Connor McCartney,Jessica Mason,mixed,10,-0.081,0.462,0.436,12.4
Hannah Ward,Michael Kuhlman,mixed,5,0.016,0.477,0.514,64.2
Julianna Hess,Jessica Ho,womens,2,-0.091,0.465,0.428,10.3
Lyn Yuen Choo,Ryan Skufca,mixed,8,0.094,0.469,0.579,87.6
