p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Maddy Rasmusen,Xavier Richard,mixed,7,0.071,0.388,0.571,91.2
Anna Lenhart,Ryan Camras,mixed,2,-0.054,0.413,0.456,9.7
Colby Hill,Helen To,mixed,4,0.055,0.425,0.546,86.8
Ahmad El-Zarif,Madalina Grigoriu,mixed,9,0.036,0.383,0.524,78.7
Caroline Maguire,Francis Chi,mixed,2,0.018,0.429,0.516,68.0
Edward Perez,Valerie R Simon,mixed,11,-0.071,0.413,0.444,4.5
Ashley Lu,Dale Kim,mixed,14,-0.017,0.399,0.487,40.1
James Seagraves,Brittany Yang,mixed,2,-0.023,0.403,0.484,33.7
Wesley Hanson,Dallas Fahr,mixed,4,0.018,0.43,0.509,67.8
Carlota Trevino,Ryan Torresin,mixed,12,-0.015,0.396,0.476,42.0
Nicole Conard,Anderson Scarpa,mixed,4,0.017,0.403,0.519,67.4
Liza Klyachkin,Jacob Bradshaw,mixed,2,-0.077,0.399,0.429,3.9
Amber Policare,Daniel De la Rosa,mixed,6,0.018,0.454,0.51,68.1
Parth Mody,Mary McGowan,mixed,4,-0.073,0.435,0.44,4.3
Braylon Ohrel,Andi Godwin,mixed,5,0.028,0.411,0.516,74.9
Luana Stanciu,Nicholas Wade,mixed,4,-0.036,0.381,0.465,22.5
Garrison Eaby,Alexa Quintanilla,mixed,9,0.106,0.45,0.574,97.7
Wade Heerboth,Shannon Pretorius,mixed,5,0.057,0.417,0.549,87.4
Karen Lu,Michael Vallejo,mixed,2,-0.036,0.421,0.47,22.0
Jemere Plummer,Sharienne Ricardo,mixed,5,0.002,0.398,0.491,56.3
MJ Greiner,Victoria Simon,mixed,3,-0.045,0.441,0.474,15.9
Jessica Brock,Ethan Aycock,mixed,2,-0.022,0.434,0.486,34.4
Liam Duffin,Yolena Carlon,mixed,5,0.019,0.406,0.516,68.4
Keri Lu,Adair Garcia,mixed,3,-0.018,0.422,0.491,38.4
Jarryd Woog,Rachael Fitzgerald,mixed,6,0.004,0.377,0.511,58.1
Courtenay Leonard,Blake Suard,mixed,2,-0.001,0.417,0.49,53.5
Brie Aldridge,Jake Anderson,mixed,9,0.01,0.39,0.521,61.3
Ashley Griffith,George Rangelov,mixed,21,0.06,0.432,0.549,88.6
Freddie Powell,Giovanna Morelli,mixed,10,-0.017,0.365,0.478,40.3
Cc Eleven Sacca,Ethan Bakalinsky,mixed,4,0.052,0.43,0.534,85.5
Dylan Lewis,Sable Yrjanson,mixed,2,-0.029,0.451,0.479,29.7
Beatriz Lopez,Alvaro Regalado,mixed,2,-0.003,0.394,0.504,51.9
Marshall Brown,Mehvish Safdar,mixed,5,-0.063,0.426,0.456,6.7
Madelyn Porter,Jay Evans,mixed,2,-0.026,0.413,0.481,31.0
Liz Truluck,Anouar Braham,mixed,12,0.158,0.469,0.612,99.8
Jenna Vlach,Eli Curls,mixed,2,-0.024,0.421,0.476,32.6
