player_id,platform_rating_latest,n_snapshots
1c49ab19-88d1-43b4-94cb-ab7ec9205ec9,5.316,3
1caa5a84-225b-4ad4-8446-ea743c375e76,5.102,2
1d36eae4-41f1-4739-b9d2-0783fd371112,5.72,9
1d51becb-4ea0-4878-9660-e3fd2dfaa0ea,5.76,5
1d5698ad-f0a1-4ff7-8321-6c166069946e,5.32,2
1d701c30-6b5d-485f-ae97-60f3b0c50896,5.405,54
1d775d93-6cbb-4ed0-addc-244a46d15aae,4.925,10
1dcfe215-9845-4590-9432-8a3087e748af,5.141,3
1dd5c313-10f5-4e0a-bb9b-699913a5abe8,5.66,1
1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,6.269,42
1e216feb-426b-400d-b79e-3db55899141e,4.891,1
1e538b1f-66e9-4166-ac60-3aef311ee0b5,5.36,20
1e5d81dc-961d-455a-b80f-d6c30c518cde,5.49,9
1e754a3f-b603-4e6f-b3d0-2cdd8819a267,5.2,3
1ea37944-3e4c-45da-ad87-506f5024d389,5.303,2
1ed4bf39-dea9-4cb4-8116-69f40604f25d,5.2,4
1f281337-8943-4c9b-8ee0-82b3c10cbeb1,4.783,3
1f90b0ab-f6eb-4b7c-b500-ac374c978857,4.691,6
20045230-82bb-4962-99fe-cf78c28f8641,5.64,7
20684550-cb89-4ea2-9e2f-0f44eb920b45,5.664,29
21086dd0-deef-46da-913f-4064d25ba550,4.996,1
2158878b-6457-4309-954a-e20e5b350240,5.009,1
2177a8cd-bc2d-4dfd-a6ed-e80eb7bf1cc6,5.61,5
219ce304-ebad-4c11-b043-f92ad6429d88,4.52,5
21ed6c0a-6f07-4e74-afae-9e2218085daf,5.48,13
220ac572-6824-41c5-b2da-18f4c7f18e2f,5.13,3
220e3821-0cac-4fce-a722-a079a5359262,5.583,10
222bf2cd-da9b-4c4c-ab99-0fa77bec15c6,5.31,6
22839b0d-41bf-4830-8f1e-0da170ebc723,4.881,19
228fdfb8-c8e8-478a-a5a5-6b9d3cf08ad1,6.005,13
22989ac3-e778-487a-ba32-a30243acd294,4.367,11
2299675b-4f10-401b-b4e2-c82a811977a4,6.12,2
237778ff-378f-4f99-82cb-cc3bb7b5d02e,5.78,3
2398b148-15c1-4a56-8c02-0d62ed504f03,5.012,8
23a8af5a-fed3-445d-99aa-1a5f69a05ff6,4.981,8
23becc4a-36a4-4854-884e-d2efa8998955,4.89,10
2403ee64-b50f-4dd4-b0bf-94d8c18ab6bc,5.125,3
24415389-0764-4512-a3e8-ddee23d96417,4.969,7
24807150-9de6-4d2b-9217-735ce7910a52,3.25,1
249681a0-4734-4ca1-8147-8b1f537417cc,4.476,2
24aa475d-722e-4ff5-8ecd-006083f23e46,5.306,1
24fead20-0b0e-409e-bd9e-dc69fa0a8162,5.25,8
25104e43-16f9-4ce3-9085-70243d8b350a,4.691,39
25139050-f977-4456-9545-7d63b72fa380,5.655,8
25a6f570-d617-427a-9fc4-3bf6115a9a84,5.374,14
25d59da5-27bb-4584-941c-c2f8bd72577c,4.51,2
25e61ef1-a9a2-4d05-8e75-4f0dd1bb0a2a,4.9,3
261e4370-c013-4670-ad0e-4895056f7248,4.715,1
26698393-0add-4cdf-bbb3-203b233ebdba,5.58,1
26898786-4fd1-4dd9-bc18-a5c515a6b0ef,5.001,16
26b13d9f-ccab-497c-8e3a-68299be5ea70,5.555,26
26bd8869-21d6-4c7e-9edc-0bd16aebf18a,5.517,1
26ef815c-33ef-404d-a3b8-f0a26c240109,5.6,2
279e884e-f905-44cd-b820-6c873b68debc,4.828,9
27abe9f1-12ad-4e8b-a8ed-97b3362d38b9,5.911,2
27ec8d58-6907-42a3-b994-fc0b3c304fe3,5.51,1
28084fc7-8653-4ff0-bc3b-1bf582d03a75,4.686,8
283c842a-ddbd-4e94-9922-ef3080f75ad3,5.48,3
2850083d-65e2-4816-ad0b-6af9678a4f09,5.37,4
2856d69d-887b-4e89-a5c9-975f581f84a0,4.117,34
2897f904-8b8a-4eec-aef0-370d7be5a805,4.734,4
292a5cd6-fa7c-45d2-83d9-99763342972c,4.99,1
295e343a-31a0-4e1d-a286-d62592291435,6.159,42
297c0964-7348-4a6d-a99a-88b3e56fc5d0,4.735,2
299484fa-15ea-4fd9-aff4-c8d66fc30f7a,4.77,4
29e8121d-6f86-4192-b7af-ab05b77b89fe,5.303,41
2a0171dc-c866-4170-9021-78d3c53c7318,5.41,12
2a490031-a7b4-4833-8d61-b9970960d2dc,5.1,39
2a8b7adb-5f06-4b01-88a7-86e56d8d9274,5.102,2
2aa8ced3-d599-4c83-86dd-ecc80196833b,6.07,5
2acb2c6e-288a-4f0c-a294-4e54b878eee1,4.453,2
2b265c0d-e9b3-473e-9585-3670707c044e,4.89,3
2b508074-59ec-455c-8974-31de393bc165,5.36,9
2b6f9cd1-b4bd-41a7-b418-4b3596fe6cdd,4.944,6
2ba55b93-98c3-4fbd-a963-95fc8467d00a,4.52,3
2bfe44bb-d558-411f-abeb-c8522dd42ce9,6.28,7
2c115b6b-4c0a-4992-9912-ed00d7bf07fc,5.51,5
2c1692a6-0fa2-47b0-9d2b-e12b5c054ef4,5.17,23
2c2a2b82-9ec7-4046-97cb-3a199ed507af,6.087,5
2c4de762-88d6-47c3-8b2b-af562c5d1f93,5.189,54
2c59d3b0-507b-4387-83d3-010a1f4ce718,4.946,2
2cb697da-8f48-4208-95ff-7e419fbc0013,5.08,13
2d1e1dd4-906a-4a93-b172-4e948fa88041,4.74,2
2d4d304f-dcae-45f6-b26a-ab192ab0e1a1,4.416,1
2d70078a-161b-4641-a9d9-167101c87c61,4.83,8
2d8e3a89-e94a-4750-b9d2-9134862e3572,5.53,2
2decd5af-eb99-46ba-8c96-19869e62ec6f,4.77,1
2df9061c-a8bf-4436-952d-047857d851f9,5.408,5
2e0acd0d-95a3-49c3-8648-720ed0fbc7d5,5.37,6
2e0c0227-6e3e-43d5-8037-7f8bd0f9b935,6.257,6
2e534a52-4d73-4243-a5f0-e3e71fc8941c,5.08,1
2e802b92-f1ce-47bd-ac37-bc61337923fc,5.346,3
2e858abd-e6cb-4a07-b6ea-fd6ca01556ae,5.552,5
2f28b85f-2645-4f75-8571-67335413387b,4.506,3
