idx,player_id,full_name,gender
37,404094a4-c65d-4e15-8023-f025ac226e30,Riley Bohnert,F
38,0d14405e-2e45-4dcb-8fb7-73558c261b4f,Seone Mendez,F
39,c9f03b76-b64d-4176-b338-a6b3a180a23c,Jessica Warren,F
40,cecffdc0-29ee-46c0-9832-2dbe04700307,Nejc Sitar,M
41,79ee2d66-5ba3-47cc-bc43-f489a09d2d5a,George Rangelov,M
42,c7579768-3bba-418b-90ca-4f0e09e701d1,Joe Wiencek,M
43,0f8632ee-7263-4a59-b486-a273333519d6,Logan Rowe,M
44,e2466ee7-aaa4-4c6a-a288-63e717054640,Bret Berryman,M
45,e18b2cb6-ae9b-4175-8947-697eabf80061,Mark Growcott,M
46,26bd8869-21d6-4c7e-9edc-0bd16aebf18a,Evan Pratt,M
47,14f68da3-a855-4656-a618-81b5d8ff6bec,Jarryd Woog,M
48,d1467954-5b55-4724-9cd5-4d8dd54f2fc0,Jake Benjamin,M
49,ab4e123b-f089-497a-ac5d-5b5065a1fcf9,Michael Coleman,M
50,8a614993-d082-4ab8-af12-348c954ff276,Emanuel Dickson,M
51,03ee9ee1-7ce1-4704-9a48-a504790e91b0,Justin Graham,M
52,24415389-0764-4512-a3e8-ddee23d96417,Evan Zoeteman,M
53,8aac4bf9-2442-48f4-83c1-589b0a00b071,Mulima Mulenga,M
54,7fe81996-b961-4578-95a6-d97c55768e96,Tendai Tapfuma,M
55,0c5b84bb-4c04-4906-86bc-deb533ff4eec,Zane Ford,M
56,05bf7513-7f0a-4f6b-bc11-5d4b14314d91,Tom Protzek,M
57,e9849183-4693-4340-abf5-f4b6f3cb226f,Martin Emmrich,M
58,fd565e56-6223-4ef0-882e-02346e7e0573,Brooke Caruso,F
59,38fdc174-96d6-459f-a27c-df35eb9f945c,Ashley Griffith,F
60,dba7cf49-9f57-43e3-878d-a63ced26a243,Jaeda Minniefield,F
61,bf84d952-c6a8-4494-943d-064b223e764f,Estee Widdershoven,F
62,34270d82-e968-407d-a918-8aa57f0123a6,Elsie Hendershot,F
63,cd7b97fc-d912-4c59-8ab3-c2d70e79d998,Lina Padegimaite,F
64,65bcab7c-9c93-4dc8-a847-a34da426b933,Martina Frantova,F
65,79046b96-4601-4443-ad6a-b1d2451be668,Rachel Summers,F
66,23a8af5a-fed3-445d-99aa-1a5f69a05ff6,Brie Aldridge,F
67,2f28b85f-2645-4f75-8571-67335413387b,Morgan Downing,F
68,070be5dd-2dcf-44b6-b2e7-37d9fbd29aa2,Adalynn Lund,F
69,507d4427-617b-4607-b842-e3a12dc03d7a,Monica Perez,F
70,0df3b359-d935-4c79-a16a-ce373f55db07,Ernesto Fajardo,M
71,7a300520-8298-4458-8968-db478e23e9be,Tobias Moreno,M
72,7ad44e60-98f9-4c58-9a73-63eebef2c770,Rey Greenlaw,M
73,27abe9f1-12ad-4e8b-a8ed-97b3362d38b9,Caio Bardauil,M
74,1d51becb-4ea0-4878-9660-e3fd2dfaa0ea,Ewa Radzikowska,F
75,435e466e-22c7-4917-8cb4-ff45bbccde19,Tamaryn Emmrich,F
76,6a87bc44-5190-44db-8a2f-467de4de48c6,Christa Gecheva,F
77,be74032b-1035-4ece-bf4f-773b45da4d58,Mehvish Safdar,F
78,28084fc7-8653-4ff0-bc3b-1bf582d03a75,Jay Evans,M
79,6eb8ea1c-31ca-4c18-ba0c-ab8a75cdc24f,William Hsieh,M
80,370e5d82-716e-4a25-8048-170cf7deb74d,Tyler Glowaki,M
81,18c26e29-906c-4020-9bf0-73eda5da52b0,Brian Chamberlin,M
82,8983be9d-1de3-4ae2-a6ed-1584a478bc33,William Owens,M
83,ab0e7256-6f4e-43de-b85d-6bfab0bbc41d,Brayden Nguyen,M
84,283c842a-ddbd-4e94-9922-ef3080f75ad3,Maksims Kazijevs,M
85,11e203e1-6239-4f00-aaf9-752aae883120,Rodrigo Reyes,M
86,7ea6e46a-c319-4768-9fb3-a286dd5f69ce,TJ Rudden,M
87,a973d880-71ca-48d1-b127-a7e23afd5a19,Matthew Mead,M
88,dafc4c81-f88d-46cd-ba95-938451cfc7c3,Matthew Pokorny,M
89,3bb15eba-5e68-4c58-b866-a80945be280d,Evan Ankrom,M
90,7867cc51-11d1-471f-a8bb-9d8370b6a698,Nicholas Wade,M
91,3b7dc75e-0c73-4576-872a-a32e27106d67,Cole Whitaker,M
92,762638fa-47d4-4763-b313-10674edd62f7,Kleyton Martins da Silva,M
93,ab191e61-9fad-463b-aab5-b8db45fecf9b,Carlos Miranda,M
94,f4c43443-fdff-4344-b291-274cfd26361e,Juan Benitez,M
95,99b25b49-2a51-412d-9fbf-e1b6804acce0,Camden Chaffin,M
96,086c9ee0-0aa3-4d2e-bc64-22a683f44d73,Ahmad El-Zarif,M
97,95015a41-423e-4439-94ee-84e275c45787,Stephen Preissler,M
98,22839b0d-41bf-4830-8f1e-0da170ebc723,Haley Ferguson,F
99,6518ca38-f4c7-4fd8-84e1-38a7904132c2,Sharienne Ricardo,F
100,8d01e666-4546-4a07-8e01-898269fe10a3,Caroline Stepnowski,F
101,9c5d6416-b8d1-4a12-becc-964afdf2f01c,Veronica Alteri,F
102,b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F
103,45e53881-72e4-4de1-9763-c2e7f7f854ba,Andrea Koop,F
