player_id,full_name,gender,singles_games,singles_value
1cc04f43-9a69-4b16-9333-c5e182c2eef8,Richard Carr,M,2,-0.6023
ac760e49-0a7e-4e3f-9ec6-85090c0ce3c6,Rich Matson,M,2,-0.6029
0dcfc8bf-8aee-47dd-9e55-0b857e093359,Emanuel Nguyen,M,2,-0.6054
980f3629-b549-4eb6-a17d-f1ed08d7512f,Andrew Stout,M,2,-0.6058
d092303b-f30e-4da9-8ff6-9ccc7b500e71,Teano Balducci,M,4,-0.6062
c529f810-19b1-4bad-b004-c7811070ff76,Ari Chandra,M,6,-0.6067
327d9a97-a00f-4b28-b8dd-c91b6f8296ef,Jenna Vlach,F,2,-0.61
73f50d1e-71dd-479b-90ea-c6f7ce2ec6ae,Joshua Small,M,2,-0.6103
088fc9d6-12b3-4dc1-9cd6-07cadb2f3a1b,Keiichiro Adachi,M,8,-0.611
8480cf29-f806-4726-978e-4fd21dff2736,Yuichiro Aoki,M,2,-0.6113
191cdd75-de29-4a9f-ae03-28159a973f6e,Javon Turcsany,M,12,-0.6127
0148e484-77e4-44e5-a898-073e09dc2d70,Andrew Givens,M,2,-0.6128
d4fd8e65-83dd-482c-ab21-086948a85e48,Carson Stovall,M,2,-0.6136
4d9522be-6e10-4035-b743-d85049f7b543,Danielle McNamara,F,2,-0.6138
f30a846b-f77b-4270-99fe-f0cf918a8d28,Sarah Bowman,F,2,-0.6151
939f3770-314e-472a-ad79-33889f4e85f3,Kantapat Chankasem,M,3,-0.617
fdb3aaf0-0116-4e0b-aa69-7fa34a3a99e5,Juan Ramírez,M,2,-0.6171
2b1d00c9-3430-4662-a8ca-5428ef664d2f,Justin Archer,M,2,-0.6202
53e6e33c-5cb8-4579-9e8d-8b1857a85f72,Meggan William,F,19,-0.6225
dd2f2fe3-5333-4036-9d88-f108bdcee3fc,Giovanna Morelli,F,16,-0.6236
6b9eb8f3-f4da-4890-ac19-6cf2fff87bfd,Nico Regas,M,2,-0.6242
fe568e1a-552d-4d28-85d8-edbf7575fa9f,Ben Grunert,M,7,-0.6247
a9dea662-39ae-41d4-9467-51279877f1f1,Shayden Hinton,M,8,-0.6249
77e5fd48-291a-4780-879e-c06b1a11dcef,Ryan Dinsmore,M,4,-0.6261
f639f27e-0cad-4cae-89a6-2c5c2aed2310,Luke Moore,M,7,-0.6285
16e09fcf-0d79-4e88-bccb-09cfad9603e1,Dylan Wang,M,2,-0.6308
a64e78b8-6baa-4a5c-9eaf-af737685991b,Kameron Smith,M,2,-0.631
1fa6b14f-c16a-4c41-82e5-31d8464c1c76,Christopher Macdonald,M,2,-0.6327
c739088c-4a93-4960-b11e-fd8f5769cc6e,Ivana King,F,10,-0.6333
99a2c15e-b177-4c99-9eb4-f5d4e518e6f9,Eden Malloy,F,8,-0.6341
25d59da5-27bb-4584-941c-c2f8bd72577c,Journey Barajas,F,8,-0.6346
