match_id,game_number,ra_pre,wa_pre,rb_pre,wb_pre,ra_post,wa_post,rb_post,wb_post
0a75e1e3-a8df-4b76-a3a9-d7c7e06995c4,3,8,6,3,1,16,5,17,5
0a8bce05-de7c-43f6-a781-30a451d017a4,3,16,6,15,5,5,1,8,6
0a8d924e-7a5d-4aa1-a980-95bfb27ab9df,1,10,3,13,6,8,2,11,5
0a92a517-f613-4a73-be4a-0a334351528d,3,7,3,10,6,12,8,6,1
0a99a966-a37c-417c-9f2d-55413afb44e4,1,12,4,14,6,12,6,12,6
0a9a38a3-330f-473d-9e66-191494ebe1ab,3,10,6,6,1,8,5,2,0
0a9ed9a6-2342-4f52-9dfd-f1d084c504f3,3,6,6,0,0,12,5,13,5
0a9fa3d9-e751-4213-a377-ab97faa737a0,1,11,5,11,6,3,1,8,5
0aaa0414-9cb6-4d10-ae91-1dd29a9a0e00,3,20,4,21,6,9,7,4,1
0aaf2169-d044-44ab-b6d5-aa758b019759,3,10,2,14,6,4,2,7,5
0ad1c1ef-e420-480c-87b8-758fba041503,3,11,6,5,1,11,5,8,2
0ad5d497-526e-48b9-9532-4df0b89fc212,1,4,1,8,6,20,10,15,3
0add753f-d0f7-494a-bf58-b26cb207cdfe,3,7,6,3,1,7,5,2,0
0addac59-7edf-4784-a83a-304f67c07b00,1,11,6,7,1,9,5,6,2
0af117f0-4ef3-4ac7-9447-a38c488ed80a,3,10,5,11,6,11,3,13,5
0af3dbdd-7700-4352-b92b-800c4fd3cf7a,3,16,6,15,4,0,0,0,0
0b0d8845-23a4-4fe5-9096-bb569c3ec547,3,2,1,3,1,0,0,0,0
0b2a1f54-3200-478b-bf58-ed266d20b033,3,14,6,13,5,14,5,12,2
0b46e419-89be-4ca1-aa1d-4ffd5d29d68a,3,8,3,10,6,19,8,15,3
0b4a39f8-3a06-4b3f-a147-c992c91daacf,3,8,6,3,1,13,5,15,7
0b543ca6-1ff7-40e3-b0e7-ae8d3b46587c,1,8,6,3,0,9,5,5,1
0b6479a5-ae74-4b31-9d59-d76554bf066d,3,10,2,12,6,5,1,10,5
0b6af93a-b975-4015-bb2f-62a891496977,3,17,6,12,3,17,5,18,6
0b74a56a-14d9-4af1-ad74-5bc44ff98de2,1,13,6,9,1,11,5,16,12
0b760f45-d7cc-4be9-9cc4-4069a0a8f1eb,1,17,6,17,5,14,7,13,7
0b84b0af-3782-4f83-bd03-37cc76bd896d,1,13,4,14,6,12,3,13,5
0b87b168-e4cf-4a8d-b66a-d07472a3c29a,3,8,6,4,1,10,5,5,1
0b8afec6-325c-4df4-a9cf-19e7ea6f065f,1,14,6,10,2,10,5,10,4
0ba28a3a-3c5d-49ac-9719-4b3085b98ca6,3,16,6,15,5,2,1,6,6
0bd3e7df-ec7b-4930-a40c-2b4efcb37a7b,3,10,3,12,6,2,0,8,5
0befd1e6-a7ea-473d-ab79-e28f80dd8df0,1,7,6,8,5,13,5,7,1
0bfb205c-47be-4109-8641-844c9c21ed81,3,9,2,13,6,14,8,12,6
0c053d29-f3bc-46af-a775-2b1c0b29d3fe,1,6,3,8,6,14,8,8,0
0c1b72e5-2ea9-40e8-ad3f-cb484e4ca5bf,1,7,4,8,6,15,7,11,3
0c1d3df8-1913-4c64-983d-3d0607e7c19a,3,15,6,15,5,11,4,14,7
0c215fe1-fe5d-43c0-8e22-aaa238ff296c,3,3,1,8,6,5,3,6,5
0c23bfa7-ecdd-4ef0-8a31-70585967206a,1,11,6,7,1,22,5,24,7
0c2615e6-7d02-420e-9140-d8a051985c11,3,8,3,11,6,8,2,10,5
0c358cd4-28b1-4adc-a771-e06be0511c39,3,11,6,10,4,12,4,15,8
0c41d31d-33dc-40e3-9c48-48dd784a6728,1,11,1,16,6,17,9,14,6
0c5ebd5d-ac01-4931-a806-f52cc5f51b87,3,10,6,9,3,14,5,13,4
0ca25f29-5bad-481e-8cf1-49b4bec6cfd5,1,1,0,8,6,0,0,5,5
0cb811bc-4f87-4d24-9cbc-040133902a35,3,16,6,12,2,8,5,8,4
0cbeb606-5ac6-4168-97b9-eb541cbeedb7,3,12,6,10,4,7,5,3,1
0cd3dafa-16bc-48d4-ba3d-77102d80faf7,3,8,4,9,6,7,3,9,5
0d01aaaf-99f1-4bf6-84df-c0aee04eaa2f,3,10,6,6,1,12,5,8,2
0d07f4a5-67a5-4a59-affc-b257ab68b916,1,9,5,10,6,7,3,8,5
0d123984-7290-417d-b11f-660edc39cc43,3,7,5,8,6,2,0,6,5
0d254f38-d21a-4771-954c-6dd571cee3cb,1,11,5,7,2,16,5,19,7
0d278a44-3bcb-482e-9599-522d3d91e0aa,1,7,5,8,6,8,2,10,5
0d2cb1d7-66a2-4d17-969e-afa536105d19,3,7,3,10,6,20,9,15,4
0d49c96c-0de3-43bd-b221-d59cb7a00caa,3,9,4,11,6,10,7,4,0
0d516f23-ab55-44de-b59f-80e6a3e473d5,3,10,6,7,3,11,5,9,3
0d535426-6039-4257-9490-22469b601c85,3,15,6,15,5,9,5,5,1
0d5988fa-0fd1-4b82-bfa8-141f7b2a517f,1,7,0,12,6,11,5,11,5
0d65ae55-4361-413c-b738-b1642717d714,3,7,4,9,6,8,2,12,5
0d74cd06-cd70-49a5-a73e-74d7d5136c02,3,10,6,8,4,12,6,12,6
0d7568a9-47a6-4690-991a-99c58211e6f3,3,2,0,8,6,7,5,6,5
0d7663bc-270c-445e-a27e-a94109b8793f,1,2,0,7,5,8,0,19,10
0d88406e-2aa5-4256-b85b-59cbd0628428,3,12,6,8,2,8,5,2,0
0d910113-4b9f-40ad-8af4-0f505eaf52d8,3,8,6,3,1,12,5,16,8
0d910ee6-e392-4843-a7d0-24900b47bc29,1,14,5,14,6,12,6,8,0
0d98446a-5ad0-4701-8920-79ac7131d949,1,12,6,11,4,13,3,16,7
0dc82701-ec4e-4617-beea-d811f4c3e2da,3,12,5,12,6,15,6,12,2
0dc914a5-11ec-4dbc-a386-29785b00fb14,3,8,3,9,6,19,9,16,4
0dca14c8-7bf3-4889-b6e2-d36392d7e14d,3,10,6,5,1,20,6,23,9
0dcaf17a-bf7f-432d-9bd6-51d5ddd91fae,3,9,3,12,6,17,9,13,4
0dccca02-a31a-4028-9e39-6edc886b8dc8,1,7,1,11,6,8,4,11,5
0ddb9d29-340b-432d-89b9-7e0563f98ec6,3,8,6,2,0,7,5,2,0
0df3846c-1ee4-4149-993d-71eac86b51a2,3,8,5,9,6,10,7,7,4
0dff690d-f2bf-413a-a430-d1a8fd838286,3,13,6,13,5,12,5,8,2
0e1ad22c-bb10-46b7-8fc7-4abd424fed67,1,4,1,9,6,13,7,11,5
0e236618-7547-4e31-846e-2e6f08713d68,3,8,6,3,0,7,5,2,0
0e3d23c3-2731-4737-a513-a63cd10b477b,3,18,6,16,4,11,5,11,5
0e44b552-b5f1-4e0b-9cc9-b5c574be7ff9,1,14,6,9,1,9,5,5,1
0e49ff45-6ec5-4a8b-9b91-c4a07710f441,3,1,0,7,6,8,0,12,5
0e572a6c-c1bd-4b26-a658-94f4ceb110b5,3,13,6,11,4,11,4,15,8
0e5f81f0-bac2-4403-8d81-b5b8a56941c0,1,19,6,17,4,10,3,13,7
0e6230a5-7b91-4526-ac4e-294943c59b81,1,12,4,13,6,14,6,14,6
0e63de73-9aaf-4ab5-9ded-49318a847a8e,3,8,6,4,2,13,5,15,7
0e6a0b0f-891d-4a0d-be6d-b2e22edb850f,3,17,5,18,6,10,4,11,5
0e7c68ab-cca9-4bf5-a35f-eb5589f374aa,3,14,6,13,4,6,5,0,0
0e7e386f-4f57-4100-8952-553f5a88e440,3,7,6,3,1,10,5,5,1
0e8b6e87-f17e-46da-8a9e-b57eb5b061ca,1,8,4,10,6,2,0,7,5
