p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jade Kawamoto,Darrian Young,mixed,2,-0.027,0.262,0.466,10.2
Zack Taylor,Casey Diamond,mens,2,-0.0,0.256,0.503,55.1
Madeline Schulte,Dionne Lim,womens,4,-0.029,0.258,0.454,8.7
AJ Koller,Chuck Taylor,mens,7,-0.041,0.271,0.433,3.3
Parris Todd,Vivian Glozman,womens,4,-0.043,0.268,0.444,2.9
Callie Smith,Jay Devilliers,mixed,73,0.02,0.253,0.523,82.2
James Ignatowich,Anna Bright,mixed,92,0.11,0.255,0.668,99.7
Andrei Daescu,Lea Jansen,mixed,14,-0.046,0.248,0.434,2.3
Mary Brascia,Maggie Brascia,womens,106,-0.043,0.248,0.442,2.9
Travis Rettenmaier,Lacy Schneemann,mixed,20,-0.074,0.269,0.401,0.4
Tamaryn Emmrich,Genie Erokhina,womens,19,0.003,0.24,0.5,60.6
Brooke Buckner,Lina Padegimaite,womens,32,-0.078,0.255,0.393,0.4
Lucy Kovalova,Matt Wright,mixed,84,-0.023,0.229,0.463,14.0
Julian Arnold,Lauren Stratman,mixed,52,0.087,0.255,0.616,99.1
Jack Sock,Catherine Parenteau,mixed,38,0.051,0.245,0.567,96.5
Dekel Bar,Tina Pisnik,mixed,135,-0.081,0.256,0.383,0.3
Callan Dawson,Hayden Patriquin,mens,58,0.001,0.248,0.497,57.9
Thomas Wilson,Vivienne David,mixed,108,0.181,0.3,0.721,100.0
Jorja Johnson,JW Johnson,mixed,151,-0.018,0.219,0.474,21.4
Jack Sock,Collin Shick,mens,66,-0.014,0.255,0.476,27.9
Chao Yi Wang,Genie Bouchard,womens,5,-0.061,0.258,0.403,0.9
Rafa Hewett,Connor Garnett,mens,8,-0.012,0.248,0.482,33.0
Riley Newman,Jackie Kawamoto,mixed,40,0.064,0.258,0.577,98.0
Dylan Frazier,Tyra Hurricane Black,mixed,77,-0.053,0.251,0.421,1.4
Allyce Jones,Connor Garnett,mixed,23,0.01,0.272,0.51,71.2
Meghan Dizon,Tyson McGuffin,mixed,30,0.039,0.257,0.548,93.5
Jorja Johnson,Tina Pisnik,womens,14,0.044,0.279,0.545,95.0
Phillip Locklear,Spencer Smith,mens,4,-0.074,0.263,0.411,0.5
Andrei Daescu,Gabriel Tardio,mens,83,-0.09,0.251,0.361,0.1
Christine Maddox,Jillian Braverman,womens,15,0.085,0.262,0.626,99.1
Anna Leigh Waters,Ben Johns,mixed,202,0.026,0.234,0.551,87.1
Riley Newman,Thomas Wilson,mens,24,0.036,0.236,0.563,92.8
Julian Arnold,Christian Alshon,mens,16,-0.021,0.249,0.466,16.6
Collin Johns,Ben Johns,mens,185,0.199,0.302,0.746,100.0
Lacy Schneemann,Vivienne David,womens,37,0.035,0.25,0.544,92.3
Jade Kawamoto,Jackie Kawamoto,womens,39,0.014,0.245,0.519,76.9
Lea Jansen,Tyra Hurricane Black,womens,4,-0.004,0.265,0.498,47.9
Pablo Tellez,Federico Staksrud,mens,71,-0.121,0.264,0.347,0.0
Matt Wright,James Ignatowich,mens,48,0.104,0.259,0.643,99.6
Rachel Rohrabacher,Anna Bright,womens,191,0.16,0.291,0.698,99.9
Lauren Stratman,Allyce Jones,womens,34,0.037,0.239,0.541,92.9
Anna Leigh Waters,Catherine Parenteau,womens,190,0.032,0.249,0.55,90.8
Dylan Frazier,JW Johnson,mens,159,0.088,0.24,0.644,99.2
Callie Smith,Lucy Kovalova,womens,84,0.044,0.243,0.565,95.1
Dekel Bar,Tyson McGuffin,mens,76,0.013,0.239,0.531,75.6
Etta Tuionetoa,Meghan Dizon,womens,139,0.017,0.244,0.529,79.5
Jay Devilliers,Patrick Smith,mens,57,0.032,0.25,0.547,90.8
Tanner Crandall,Brendon Swazo,mens,2,-0.025,0.259,0.479,12.3
Pally Ray,Tony Larson,mens,5,0.017,0.247,0.531,79.7
Kyle Chittenden,Christian Harkins,mens,3,-0.019,0.253,0.463,20.1
Samrat Nalla,Sam Young,mens,5,-0.01,0.252,0.496,36.1
Kailas Shekar,Riley Inn,mens,2,-0.028,0.264,0.468,9.3
