player_id,gender,singles_surplus
574957ae-e8d5-486e-aabc-a1cc6a392f8d,F,-0.0286
146dd2f7-7f5d-495d-b2f1-96d433742fec,M,-0.0294
f0484f0e-f240-4b6f-9da5-b6dba3fa370e,M,-0.0335
fa8d5d28-d8f5-4996-8c35-0f4ca3c35bae,M,-0.0352
348255bf-f94e-47cb-ab5d-95969c2bd7b9,F,-0.0358
1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,M,-0.0466
ba491f1c-0112-47a8-a348-4695289e958a,M,-0.0484
ec94501d-8b59-4236-b77d-7238f8925e48,F,-0.0489
d45a3391-82f4-45d0-ba66-f1901854a8d0,M,-0.0489
1bb4e304-37c1-43eb-b223-6eb45ab3b78a,F,-0.0538
70c18684-f615-4d05-9aa9-5cbdbd53ab9f,F,-0.0547
66cb85be-fe8b-402d-a4f7-4a8e6a7c3ad7,M,-0.0558
a7e358b0-517e-4972-89ff-d95f0797e1c7,M,-0.0564
9d7b2972-477c-4cea-977d-f65f86dccac5,M,-0.0577
ba70f3a5-4693-4aa8-a8cc-1b5c0544b75a,M,-0.0590
ad6e69ff-7913-4b21-86dd-9489f749be01,F,-0.0590
763b4d27-8140-47cd-86f5-982706cd4ebb,M,-0.0598
ff38654d-daae-4bad-a1a7-690e4e5706eb,M,-0.0611
eb14fc6e-ede1-4999-bec3-e36695e7f94e,F,-0.0635
1d701c30-6b5d-485f-ae97-60f3b0c50896,F,-0.0641
b51ea0fb-c243-4427-85f8-b798febb51ff,F,-0.0650
b6fe1237-b049-405c-a641-d57f8170a9a0,F,-0.0719
d50310a6-9378-4228-823f-7fb54f7bd698,M,-0.0806
b3f6f49d-bc24-44fd-8068-4e5971e9d61a,M,-0.0831
c971bb40-090b-4e47-be58-905495e38401,M,-0.0934
0b75af4a-8c68-4ff7-a2f1-09bda71b5bed,M,-0.0961
87d60b6f-6f2e-4610-ab89-487e8acc097e,F,-0.0971
20684550-cb89-4ea2-9e2f-0f44eb920b45,F,-0.0980
88fb0858-b9c3-4620-9408-0dda0eb241ef,M,-0.0994
9d55617e-fe7a-4d1c-8bda-3637647ff5cc,M,-0.1096
06ba18e0-687b-4aa3-822d-1c86981f576b,M,-0.1150
4553e8f7-d51d-41cd-bc23-752742441bff,M,-0.1195
602ac701-c27e-408d-9e4e-1f7c02578def,M,-0.1261
74afd19c-8f82-4ca2-9345-e4d693111033,M,-0.1282
614e164a-4197-44eb-855c-586cf79fbfc9,M,-0.1339
1d36eae4-41f1-4739-b9d2-0783fd371112,F,-0.1395
10397234-6551-4a06-8bc6-aa50d6915731,M,-0.1434
3d9c8684-953f-4008-b355-b6104ee56a5b,M,-0.1438
d43db93c-6710-4a18-a406-497eb7a068ce,M,-0.1462
4025f403-d676-42ee-97a1-61d9b38c211b,F,-0.1472
35f81e87-382e-41cc-9bab-687116861954,M,-0.1477
5f367bee-cf3e-4aad-a6e6-72cca04d97e2,F,-0.1490
fe1a9f36-62eb-4ce2-b068-cb754c00051e,F,-0.1510
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,M,-0.1548
5925398b-b2a9-4e8f-ae46-5c2b59b1b818,F,-0.1595
8df7caa9-af2f-4381-833a-f56776546f88,M,-0.1596
525bfe63-4047-4100-9289-b4af47a25f98,F,-0.1637
719e2d3b-d10d-402d-a195-41f072214679,F,-0.1638
7886d6aa-2310-4ae8-9874-f0fc9c3e534f,M,-0.1710
e2466ee7-aaa4-4c6a-a288-63e717054640,M,-0.1715
06dc9b8a-5c01-49cf-bb4d-70d7b5f85acf,F,-0.1747
0ccab93d-398c-40a8-821f-07a2ded79dde,F,-0.1776
a973d880-71ca-48d1-b127-a7e23afd5a19,M,-0.1911
4057f30d-d42a-4189-a158-11576fb5f52a,M,-0.1956
0517f4a6-2648-470e-a9ff-8cf78eee3421,M,-0.2055
d8d51930-abf9-468b-9e43-55a9c0728d58,M,-0.2081
53eadec7-a6b1-4ce3-9825-d76affdc3f4f,M,-0.2125
2e0acd0d-95a3-49c3-8648-720ed0fbc7d5,F,-0.2146
8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,F,-0.2214
a2c56686-b330-41e4-b7e8-bda8a3ec97a8,M,-0.2370
bd7773b4-7b8e-4da2-96ce-98fe3490ee93,F,-0.2392
62955f38-bdf5-46af-9622-13c7afe90619,M,-0.2403
65bcab7c-9c93-4dc8-a847-a34da426b933,F,-0.2404
306da673-de7e-44f5-bc16-0738b44bd089,M,-0.2475
b1ab7d76-a859-4136-8405-3ed7c9be287a,F,-0.2512
ce4f0e14-80ea-4ed0-a81c-7341d356d427,M,-0.2553
29e8121d-6f86-4192-b7af-ab05b77b89fe,F,-0.2556
f4c43443-fdff-4344-b291-274cfd26361e,M,-0.2558
30d6d999-b324-4744-b08c-8309e83c57b0,M,-0.2633
80217cca-df99-4019-a90f-385622ca057a,M,-0.2836
f6e249dc-5bb9-483a-a99f-df364df93341,F,-0.2847
4e39b9bd-436d-495d-99d7-c2818bbea4ab,F,-0.3209
135937d9-d132-41c5-9cfd-d2b0112288b2,M,-0.3423
bc7b2475-e580-4734-bc14-814a153bec5d,M,-0.3499
0f2bcb8e-7a61-420c-ac30-b9626b8049a6,F,-0.3606
d0a30dc1-a7d7-475c-bfc9-d55e0aa8e7e3,M,-0.3681
f370a1a0-2e1a-463b-a35c-30899131f7d6,M,-0.3710
9e8ad96a-17a3-48bf-9363-7b35cc96b2b8,F,-0.3853
53b056f9-095a-40fa-881d-142629905f8a,F,-0.4048
258ef186-666f-4fb3-be50-916b633c96e6,M,-0.4381
c3066b2d-fc90-4774-a571-cde5fc5583d4,F,-0.4652
dc69fcde-bcda-4441-8b66-a8bafeb12ded,M,-0.4706
89647b43-f3f5-49e6-896f-614f0175a3f5,M,-0.5067
04158680-ebb3-4554-96a1-500cc6d00882,F,-0.5102
c96f7a83-9cc1-4fbe-a610-126ed8e3a202,M,-0.5652
a0582749-fb23-42cc-98ed-1915464c4814,M,-0.6196
28084fc7-8653-4ff0-bc3b-1bf582d03a75,M,-0.6770
