player_id,name,deciders,other_games,D_raw,D_null,D_adjusted,sd,z,v2_value
146dd2f7-7f5d-495d-b2f1-96d433742fec,Eduardo Santini Ayon,33,208,-0.00151,-0.00396,0.00245,0.03260,0.075,0.3353
e2466ee7-aaa4-4c6a-a288-63e717054640,Bret Berryman,29,190,0.00715,0.00462,0.00253,0.03608,0.070,0.1904
a9a168ae-7822-4d31-b07b-fba40480c1fc,Brandon French,57,364,0.00270,0.00125,0.00145,0.02598,0.056,0.5871
4057f30d-d42a-4189-a158-11576fb5f52a,Blaine Hovenier,64,360,0.00170,0.00025,0.00145,0.02744,0.053,0.6497
518626d4-2600-4134-8c6a-0ae9315f9625,Cason Campbell,40,216,0.00223,0.00049,0.00175,0.03443,0.051,0.5092
763b4d27-8140-47cd-86f5-982706cd4ebb,Michael Loyd,61,338,-0.00112,-0.00193,0.00081,0.02684,0.030,0.6160
ca3c21b0-a715-40fd-bf00-c81e22d7da11,Daniel De la Rosa,36,238,0.00137,0.00100,0.00036,0.02811,0.013,0.6834
7319013d-d511-4aa5-a356-4aa2cccf94f5,Lea Jansen,71,554,-0.00202,-0.00051,-0.00151,0.02144,-0.070,0.7014
306da673-de7e-44f5-bc16-0738b44bd089,Christopher Crouch,37,212,-0.00567,-0.00236,-0.00331,0.03458,-0.096,0.5109
574957ae-e8d5-486e-aabc-a1cc6a392f8d,Jalina Ingram,31,262,0.00031,0.00370,-0.00340,0.03094,-0.110,0.4943
7b85c35f-6a90-4c61-af0b-565658feeb3c,Freddie Powell,28,166,-0.01136,-0.00736,-0.00400,0.03430,-0.117,0.5019
a3ed7970-35d2-485c-8285-187c298a2d83,Lacy Schneemann,58,480,-0.00503,-0.00218,-0.00284,0.02330,-0.122,0.8950
bc7b2475-e580-4734-bc14-814a153bec5d,Pesa Teoni,46,316,-0.00281,0.00188,-0.00469,0.02962,-0.158,0.3646
71992955-8b6f-470b-a991-796cfa56a826,Liz Truluck,46,356,-0.00397,0.00078,-0.00476,0.02738,-0.174,0.6809
55ed7e0a-ff2d-4ac2-aad6-b6772ef4f448,Layne Sleeth,36,240,-0.00644,-0.00016,-0.00627,0.03236,-0.194,0.7881
