uuid,name,gender,n_high,n_low,regular,big,lift,lift_rank,skill_adj,skill_adj_rank,lift_halfA,lift_halfB
75b14d37-7db7-492d-8a47-fe11d5aa2f82,Mayu Ito,F,317,697,-0.2363,-0.6127,-0.3764,738,0.007,371,0.0315,-0.3454
348255bf-f94e-47cb-ab5d-95969c2bd7b9,Aiko Yoshitomi,F,1179,2329,0.1325,-0.2453,-0.3778,739,-0.2991,734,-0.5985,-0.0806
1e216feb-426b-400d-b79e-3db55899141e,Savanna Ticknor,F,385,795,0.0405,-0.3377,-0.3782,740,0.0173,347,-0.4212,-0.0265
b08631ba-76d5-4262-8d27-5b2350646c00,Tomoko Taniguchi,F,382,759,-0.0836,-0.4626,-0.379,741,-0.0042,385,-0.007,-0.3778
64a6650b-96f6-4382-8db8-9edcd7838743,Kento Tamaki,M,786,1615,0.0052,-0.3751,-0.3803,742,-0.3164,746,-0.2088,-0.3916
aa45af3b-41b0-4e03-9a17-4ca16a108df3,Vincent Rettke,M,412,874,0.061,-0.3198,-0.3808,743,-0.2646,701,-0.1703,-0.2841
e6129a52-f99b-4c66-be30-8f96d7635250,Andrew Angulo,M,234,431,-0.0342,-0.4151,-0.381,744,-0.1885,632,-0.1751,-0.2538
ad27fa70-ef8e-493c-8871-caf9afce0801,Dave Weinbach,M,366,685,-0.0748,-0.47,-0.3952,745,-0.3319,752,-0.3142,-0.0472
7969379b-12b1-4f80-8fa2-0e548c1e4127,Julian Slive,M,263,619,0.1383,-0.2581,-0.3964,746,-0.2108,659,-0.2662,-0.2403
9b5db00a-b0b7-46a5-815d-56878e28326c,Nok Yiu Tang,F,544,1156,0.2023,-0.1968,-0.3991,747,-0.4824,784,-0.2033,-0.5153
c2c74ae6-6b11-4a40-80e6-b7b924d2d83f,Matthew Finnerty,M,509,1036,-0.0438,-0.4492,-0.4054,748,-0.2634,700,-0.3777,0.0041
9684fa0b-ddad-4427-962f-ed7a309a21d4,Kasia Carr,F,199,412,0.1354,-0.2743,-0.4097,749,-0.0908,513,-0.0762,-0.3137
ab53383d-abb2-4bcf-adea-398e6c6dd36a,Cleo Bond,F,429,1020,-0.1035,-0.5133,-0.4097,750,-0.1287,561,-0.2516,-0.225
48359011-0793-437a-bfa2-b7a4c5194689,Roger Dugas,M,390,789,0.0671,-0.3469,-0.414,751,-0.2361,677,-0.2883,-0.1587
ae06a675-5997-41b0-a199-6da1bb0b49a1,Giorgia Vitale,F,411,809,0.0827,-0.3334,-0.4161,752,-0.4636,781,-0.5083,-0.1702
2a490031-a7b4-4833-8d61-b9970960d2dc,Monika Wynne,F,1043,1983,-0.0344,-0.4506,-0.4162,753,-0.2399,679,-0.0619,-0.3935
d5d2a4dc-fb77-4686-8f63-d75694831b5c,Karthik Ganesh,M,353,659,-0.0335,-0.4502,-0.4166,754,-0.4307,775,-0.2863,-0.2026
a9782e86-e5ae-46d3-9194-ac89fdaed622,Alexander Crum,M,826,1581,-0.072,-0.4918,-0.4199,755,-0.2804,716,-0.2202,-0.3424
135937d9-d132-41c5-9cfd-d2b0112288b2,Daniel Traxler,M,703,1395,0.036,-0.3861,-0.4221,756,-0.418,772,-0.2437,-0.4052
101e37db-cdb8-4c51-9630-2aecd12baa89,Jimmy Liong Kai Long,M,486,916,0.0642,-0.3616,-0.4258,757,-0.3325,753,-0.0464,-0.4301
f8b6b217-f9f8-4fd3-a71d-ae4dfcbb9c89,Ava Ignatowich,F,2080,4322,-0.1608,-0.5909,-0.4301,758,-0.2049,650,-0.351,-0.4232
c62c2081-d9ce-4750-93f5-c9163bf46f74,Yaamunan Venkatesan,M,453,865,0.0291,-0.4026,-0.4317,759,-0.1939,637,-0.0369,-0.3819
bbf16648-a08b-4864-ad42-80848523bf44,Chelsea Purcell,F,231,450,0.1944,-0.2381,-0.4326,760,-0.3127,742,-0.484,-0.069
6aa0a796-9759-40f5-9c8f-bf4461d032fb,Helena Jansen,F,963,2083,0.1658,-0.269,-0.4348,761,-0.4604,780,-0.2035,-0.6063
ab4e123b-f089-497a-ac5d-5b5065a1fcf9,Michael Coleman,M,280,521,0.2006,-0.2345,-0.4352,762,-0.2692,705,-0.1679,-0.302
a8256366-d2f9-4787-bf8c-d8e76c55fa86,Mouaad Alhouni,M,683,1399,-0.0455,-0.4811,-0.4356,764,-0.2928,729,-0.3297,-0.2931
eb3f00bd-6375-4e9f-9e4a-9a945ebdfd74,Anri Ferris,F,178,391,0.0468,-0.3888,-0.4356,763,-0.1051,535,-0.178,-0.3664
3701f5a0-aa34-4a06-a718-7b223491362e,Ethan Violette,M,344,725,-0.0584,-0.495,-0.4365,765,-0.1845,627,-0.1688,-0.3061
46f2280d-18d7-4589-9157-c5e6492099cd,Polina Libo,F,606,1251,-0.0347,-0.4779,-0.4432,766,-0.2988,731,-0.3189,-0.3334
b8339aa2-dc4f-47be-963e-6f6bf373562d,Devon Sikora,M,214,411,0.067,-0.3771,-0.4441,767,-0.1645,604,-0.2432,-0.2298
258ef186-666f-4fb3-be50-916b633c96e6,Maximilian Wild,M,878,1586,0.0421,-0.4047,-0.4468,768,-0.4436,777,-0.4666,-0.166
84a2e8e4-b4fd-4625-8011-244c37e62b72,Jessica Mason,F,1162,2336,-0.2409,-0.6891,-0.4482,769,0.1717,174,-0.2721,-0.2855
d1045e15-2ae2-4e2c-b7ba-21a326affe05,Alexa Quintanilla,F,171,322,0.229,-0.2222,-0.4512,770,-0.3803,766,-0.4239,-0.1475
edfe3f1d-98b7-4bfb-a107-01ce62316094,Dionne Lim,F,447,928,-0.1493,-0.6019,-0.4525,771,-0.1294,563,-0.2106,-0.3836
cd9ee524-11da-4099-805f-1f362f2bc468,Stevie Petropouleas,F,811,1556,-0.1119,-0.5653,-0.4534,772,-0.1632,600,-0.0311,-0.523
6e4cfa2f-6e11-4c05-9490-059d6218a579,Brett Finan,M,332,655,0.0479,-0.4117,-0.4596,773,-0.2884,725,-0.2295,-0.2671
5520bc45-676e-45a7-bf34-7d91529fdd63,Billy Buchhauser,M,330,694,0.1717,-0.2896,-0.4613,774,-0.164,602,-0.3362,-0.2419
d69ec633-93c9-4d07-8870-be9f5acd5330,Rachel Rettger,F,1723,3718,-0.0291,-0.4916,-0.4625,775,-0.2502,688,-0.5966,-0.3392
24415389-0764-4512-a3e8-ddee23d96417,Evan Zoeteman,M,155,291,0.0047,-0.4604,-0.4651,776,-0.242,682,-0.3836,-0.1325
