p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Ana Gordon,Shailla Alda,womens,2,-0.058,0.362,0.439,10.0
Josiah Watje,Dan Nguyen,mens,2,-0.028,0.39,0.465,29.7
Thomas Provost,Logan Thompson,mens,2,0.006,0.377,0.516,61.5
Rachel Janssen,Mike Radermacher,mixed,2,-0.066,0.415,0.444,6.7
Juan Varon,Karen Lu,mixed,3,-0.027,0.39,0.471,30.9
Winston Cannon,Nicholas Howell,mens,2,-0.006,0.364,0.505,51.6
Saurav Santhosh Nair,Karthikeya Jagadish,mens,4,-0.039,0.377,0.456,20.7
James Peng,Eileen Wang,mixed,3,-0.035,0.374,0.469,23.6
James Peng,Rahul Datta,mens,2,-0.037,0.378,0.478,22.4
Kate S,Hanson H,mixed,2,-0.036,0.391,0.486,23.1
Liza Klyachkin,Ross Cottrell,mixed,2,-0.04,0.38,0.457,20.1
Haley Ferguson,Maddy Rasmusen,womens,4,-0.036,0.384,0.451,22.7
Samantha Buyckx,Helen To,womens,6,0.001,0.356,0.494,57.2
Kentaro Hamaguchi,Abigail Okelley,mixed,2,-0.071,0.372,0.433,5.8
Matthew Schiller,Max Davis,mens,2,-0.02,0.396,0.48,38.3
Josiah A,Edward Kim,mens,3,-0.038,0.393,0.46,21.4
Martina Frantova,Mehvish Safdar,womens,5,-0.089,0.374,0.403,2.7
Polina Libo,Luana Stanciu,womens,3,0.06,0.375,0.559,88.2
Ava Cavataio,Alexa Schull,womens,11,-0.077,0.363,0.429,4.6
Jade Rau,Wil Shaffer,mixed,2,-0.062,0.396,0.449,8.2
Layne Sleeth,Victoria Dimuzio,womens,4,0.012,0.388,0.509,66.0
Camila Zilveti,Rachel Rettger,womens,2,-0.043,0.358,0.461,18.1
Ella Cosma,Andrew Caldarella,mixed,3,0.013,0.391,0.497,66.5
Zoey Weil,Pierina Imparato,womens,4,-0.005,0.371,0.482,52.1
Roscoe Bellamy,Connor Garnett,mens,15,0.128,0.363,0.622,97.6
Roscoe Bellamy,Kiora Kunimoto,mixed,6,0.061,0.374,0.546,88.6
Sahra Dennehy,Tama Shimabukuro,mixed,14,0.085,0.379,0.575,93.5
Daniel Phillips,Cleo Bond,mixed,2,0.034,0.384,0.53,78.2
Zane Navratil,Will Mackinnon,mens,4,0.037,0.371,0.546,79.4
Rafa Hewett,Nicolas Acevedo,mens,7,-0.005,0.366,0.486,52.4
Danni-Elle Townsend,CJ Klinger,mixed,22,-0.021,0.366,0.481,36.8
Chao Yi Wang,Armaan Bhatia,mixed,5,-0.023,0.379,0.456,34.7
Ava Cavataio,Anouar Braham,mixed,2,-0.038,0.385,0.454,21.5
Luana Stanciu,Chuck Taylor,mixed,2,0.03,0.391,0.527,76.4
Ting Chieh Wei,Camden Chaffin,mixed,5,-0.037,0.355,0.464,22.3
Lingwei Kong,Tyler Loong,mixed,5,0.057,0.354,0.544,87.3
AJ Koller,Martin Emmrich,mens,5,-0.014,0.378,0.489,43.7
Brooke Buckner,AJ Koller,mixed,3,-0.034,0.413,0.472,24.8
Noe Khlif,Jessie Irvine,mixed,6,-0.028,0.381,0.47,29.1
Nicole Conard,Mota Alhouni,mixed,4,-0.028,0.407,0.465,29.1
Aiko Yoshitomi,Estee Widdershoven,womens,4,0.041,0.372,0.528,81.6
Xiao Yi Wang-Beckvall,Albie Huang,womens,4,0.042,0.39,0.524,82.0
Julian Arnold,Kaitlyn Christian,mixed,2,-0.059,0.388,0.442,9.6
Will Mackinnon,Cailyn Campbell,mixed,23,-0.011,0.343,0.486,47.1
Julian Arnold,Yates Johnson,mens,4,-0.024,0.377,0.493,33.7
Daniel Phillips,Wil Shaffer,mens,2,-0.025,0.359,0.473,32.4
Polina Libo,Spartak Rahachou,mixed,2,-0.009,0.385,0.484,49.1
Allison Phillips,Abbigal Hatton,womens,6,-0.054,0.388,0.44,11.5
Callie Smith,Max Freeman,mixed,4,-0.026,0.371,0.484,32.1
Andrea Koop,Alexander Crum,mixed,2,-0.042,0.37,0.466,18.7
John Cincola,Rachel Rettger,mixed,2,-0.004,0.377,0.506,53.2
Hunter Johnson,Meghan Dizon,mixed,6,0.051,0.376,0.548,85.1
Ella Yeh,Collin Johns,mixed,3,-0.052,0.366,0.434,12.6
Matthew Barlow,Mya Bui,mixed,5,0.03,0.382,0.512,76.1
Victoria Dimuzio,Clayton Powell,mixed,2,0.036,0.377,0.53,79.1
Lacy Schneemann,Jaume Martinez Vich,mixed,5,-0.093,0.39,0.418,2.2
Carlos Di Laura III,James Delgado,mens,2,-0.087,0.405,0.419,3.2
Blaine Hovenier,Allyce Jones,mixed,5,-0.058,0.362,0.445,10.1
Pablo Tellez,Giovanna Morelli,mixed,3,0.009,0.352,0.504,63.7
Hunter Johnson,Christopher Haworth,mens,8,0.033,0.396,0.529,77.5
Jace Morris,Braden Jacobson,mens,8,-0.062,0.382,0.436,8.5
Tom Protzek,Donald Young,mens,8,0.122,0.389,0.608,97.3
George Rangelov,Alexander Crum,mens,2,-0.045,0.377,0.464,16.5
Chloe Igleski,Ella Yeh,womens,4,-0.052,0.38,0.437,12.8
Zoeya Khan,Austin Bricker,mixed,2,-0.038,0.375,0.454,21.8
Xiao Yi Wang-Beckvall,Luc Pham,mixed,4,-0.006,0.387,0.496,51.3
Genie Bouchard,Patrick Smith,mixed,2,0.019,0.401,0.514,70.3
Dylan Frazier,Jade Kawamoto,mixed,4,-0.025,0.403,0.471,32.5
Jonathan Truong,Jaume Martinez Vich,mens,5,-0.036,0.371,0.46,22.6
Kenta Miyoshi,Brooke Caruso,mixed,4,0.053,0.395,0.541,85.8
Michael Loyd,Camden Chaffin,mens,4,0.007,0.385,0.506,62.0
Caden Nemoff,John Cincola,mens,2,-0.008,0.382,0.497,49.8
Riley Newman,Layne Sleeth,mixed,2,-0.125,0.402,0.391,0.6
Will Howells,Tyra Hurricane Black,mixed,6,0.016,0.348,0.528,68.7
Jay Devilliers,Etta Tuionetoa,mixed,7,0.01,0.35,0.516,64.2
Lingwei Kong,Andrea Koop,womens,4,-0.008,0.379,0.494,50.0
Audrey Adele Brown,Ava Ignatowich,womens,2,-0.02,0.364,0.487,38.4
Mohaned Alhouni,Patrick Smith,mens,2,-0.039,0.369,0.453,21.0
Matthew Barlow,Ivan Jakovljevic,mens,4,0.035,0.369,0.531,78.8
Indigo Dagnall,Camila Zilveti,mixed,2,-0.026,0.365,0.474,31.1
Tam Trinh,Marshall Brown,mens,2,-0.064,0.396,0.434,7.2
Eric Roddy,Austin Bricker,mens,4,0.05,0.366,0.548,84.7
Jalina Ingram,Kiora Kunimoto,womens,2,-0.056,0.374,0.457,10.7
Pesa Teoni,Marcela Aguila Ampon,mixed,3,0.012,0.38,0.509,66.2
Angie Walker,Donald Young,mixed,4,0.015,0.387,0.526,68.5
Jack Sock,Blaine Hovenier,mens,9,0.004,0.347,0.486,60.3
Meghan Dizon,Tina Pisnik,womens,7,-0.014,0.38,0.497,44.1
Sahra Dennehy,Danni-Elle Townsend,womens,13,-0.066,0.365,0.434,6.8
Liz Truluck,Mari Humberg,womens,6,0.1,0.381,0.598,95.5
Lauren Stratman,Alex Walker,womens,6,0.056,0.402,0.531,87.0
Cleo Bond,Giovanna Morelli,womens,2,0.058,0.359,0.553,87.5
Lucy Kovalova,Kaitlyn Christian,womens,3,-0.05,0.374,0.447,13.8
Noe Khlif,Matt Wright,mens,2,-0.07,0.391,0.439,5.8
Angie Walker,Cailyn Campbell,womens,2,-0.043,0.359,0.466,17.9
Brooke Buckner,Milan Rane,womens,4,0.075,0.38,0.585,91.8
Elsie Hendershot,Genie Erokhina,womens,6,0.013,0.387,0.509,66.9
Ella Cosma,Kelly Goodnow,womens,3,0.001,0.365,0.494,57.3
Clayton Powell,Will Howells,mens,4,0.039,0.368,0.546,80.4
Jake Anderson,Ryan Camras,mens,8,0.017,0.356,0.512,69.5
Ninh Nguyen,Sunny Krittayaweth,mens,12,0.06,0.369,0.573,88.2
Joshua Spencer Jr.,Justin Chock,mens,2,-0.032,0.396,0.465,25.9
Sammy Lee,Mike Radermacher,mens,5,0.026,0.37,0.531,74.3
Tyson Tuiloma-T,Beau Covell,mens,2,-0.048,0.377,0.456,15.1
Jackson Ayotte,Andrew Caldarella,mens,4,-0.059,0.375,0.454,9.7
Austin Hardy,Pesa Teoni,mens,5,-0.021,0.38,0.472,36.7
