uuid,name,gender,n_high,n_low,low,high,clutch,clutch_se,z
03b91579-1bd5-4f20-a9c1-e400cbd21255,Antoaneta Toskova,F,296,569,-0.14237418068687963,0.05614570593766165,0.1985198866245413,0.22131175476961437,0.8970146517124704
dc69fcde-bcda-4441-8b66-a8bafeb12ded,Joel Poland,M,1278,2710,-0.030396866824410472,0.16219350809048255,0.19259037491489303,0.15480529245181854,1.2440813351057405
3cec5850-24e2-44e3-96bc-ee87aa34581d,Katerina Stewart,F,176,321,-0.1384770870711908,0.05333757779340368,0.19181466486459448,0.276249024729656,0.6943541793579505
fe1a9f36-62eb-4ce2-b068-cb754c00051e,Nicola Schoeman,F,634,1249,-0.05748454802059612,0.13195292079019247,0.1894374688107886,0.17695864320766672,1.0705183164660546
9c48e40b-ebfa-49d4-a3b9-c487c0248567,Aibika Kalsarieva,F,309,624,-0.13437347795431048,0.04981946717306826,0.18419294512737874,0.22010610075500775,0.8368370731004742
1bab49f1-6891-4d3e-8f77-42aa4fc1d18e,Mohaned Alhouni,M,3045,5884,-0.0822944582393643,0.10072953583117698,0.18302399407054126,0.09091346620934715,2.0131670444628136
577d1124-44c9-435d-88e9-01a146f2d177,Eugenia Carolina Lopez Ascarate,F,214,472,-0.052572991486320594,0.13016546591499353,0.1827384574013141,0.24293037728442707,0.7522256353611997
2e858abd-e6cb-4a07-b6ea-fd6ca01556ae,Rachael James,F,701,1401,-0.07351442039534824,0.1089026323212949,0.18241705271664316,0.18123640396432547,1.0065144128138301
c3b08889-9218-45d7-a712-72d78dd9a0bb,Tanner Tomassi,M,876,1749,-0.11864093242749452,0.062486815988680236,0.18112774841617474,0.16787072586127208,1.0789716163249228
4025f403-d676-42ee-97a1-61d9b38c211b,Allison Phillips,F,2824,5832,-0.06717722570336332,0.11172556629970942,0.17890279200307274,0.09458562086480538,1.8914375183812022
50c2125b-406c-41e7-aad6-5432c7cd8e1c,AJ Koller,M,3642,7136,-0.09123084077278111,0.08724079399458831,0.17847163476736944,0.08215163248887812,2.172466077183936
c85c50d9-eaa4-4581-b6bb-583a808706bf,Kyle Koszuta,M,729,1338,-0.05481129517574236,0.12348530524065315,0.1782966004163955,0.17060033163901495,1.045112859414984
5dc48fe9-12fa-4762-8814-7892ac78c67a,Jayden Broderick,M,273,469,-0.148693604442204,0.028394649465911262,0.17708825390811528,0.2556836592771919,0.6926068502333592
1af53bb7-816e-4292-bd2e-08374c50aa42,Sergey Afanasenka,M,348,651,-0.1412517078835102,0.03560765172074235,0.17685935960425256,0.24117563864850988,0.7333218255182395
4fde43e3-433f-45df-8a9e-1f3abbf82dc8,Lorena Duknic,F,195,392,-0.041395232441628634,0.13512616790933518,0.1765214003509638,0.2606476729234692,0.6772414208462688
64e104e8-d388-4d03-9eb9-e3f836ef942c,Tia Elpusan,F,303,622,-0.12307388034750334,0.05251112480589391,0.17558500515339726,0.2321780624225805,0.7562514878508209
e18b2cb6-ae9b-4175-8947-697eabf80061,Mark Growcott,M,373,778,-0.03197387465200813,0.13906085237063617,0.1710347270226443,0.24073230554515215,0.7104768370631699
12c765d0-8384-41d3-a498-de63fd7c37da,Naomi Nguyen,F,607,1215,-0.05790364709162663,0.1124221966143463,0.17032584370597292,0.17563293520762832,0.9697830506824845
941ee654-0687-490d-b570-8e779ceff2ac,Florencia Rossi Luqur,F,291,549,-0.011310932053428074,0.1542725597090208,0.16558349176244885,0.22768373366133043,0.7272521804686629
8ad8769e-9ecc-41dd-804f-b84e3ef90593,Sarah Hua,F,389,784,-0.014115637822846906,0.1490575396381444,0.1631731774609913,0.21484124337141863,0.7595058327739087
2512a654-2feb-48f2-936e-7ddd02ca2508,Samantha Greenhut,F,158,337,-0.013269661661736848,0.14790656430319843,0.16117622596493528,0.29434495513107156,0.5475759755867521
0df3b359-d935-4c79-a16a-ce373f55db07,Ernesto Fajardo,M,347,664,-0.1404322282436898,0.01812011293531312,0.15855234117900294,0.24183926347726967,0.6556104203232705
41118195-75b3-4b25-adc9-07991301280a,Craig Johnson,M,1757,3626,-0.06002690376593901,0.09038273231232274,0.15040963607826174,0.11584379399154345,1.2983832011686496
f6fa549d-8a9c-46fd-aeb8-af8a3f0f7a59,Robert Slutsky,M,380,724,-0.08733302918167339,0.06203246243420735,0.14936549161588075,0.23407220785099267,0.638117156185261
bb4de7dc-9f25-4218-a601-318492e0884c,Usama Khalid,M,890,1562,-0.16597525056016346,-0.0187923161925133,0.14718293436765018,0.17789548605614458,0.8273562057735327
fc684593-8841-4dd1-b77c-5154b2f25bca,Hailee Haymore,F,603,1254,-0.24611849766396904,-0.1001109912280579,0.14600750643591115,0.19811805845066344,0.7369722254383531
55dbee1f-1ee7-464b-9c80-d14cd9e44b8d,Carlos Di Laura III,M,1370,2617,-0.15569985649743415,-0.011217573332106379,0.14448228316532777,0.13305961569778713,1.0858462382266643
efedfcd1-7638-4c6e-8225-fea7f8d40031,Victoria Simon,F,759,1447,-0.13935692411269227,0.004914864411850552,0.1442717885245428,0.18233169298774882,0.7912600720174121
8620b5f6-d9d5-4cb9-9a28-ed21da77511e,Lauren Cole,F,153,335,-0.12854791330517495,0.015003443738133844,0.1435513570433088,0.25839473309806077,0.5555506310913507
f6dd1c21-d872-42e6-a8a4-7c42d9063b74,Jes Rochefort,F,197,388,-0.11659115279205566,0.02349823748317535,0.140089390275231,0.2735542769977223,0.5121082068711266
d8d51930-abf9-468b-9e43-55a9c0728d58,Anouar Braham,M,3339,6706,-0.051644946806433514,0.08752201077773666,0.1391669575841702,0.09132823999773194,1.5238107904808664
6866df42-48ad-423c-9e57-d7d4d6fb66ef,Vanshik Kapadia,M,257,502,-0.15338802152285344,-0.01600827626899229,0.13737974525386115,0.2551406180790329,0.5384471758679604
3d67b6d0-063e-466c-a475-7679d0764354,Austin Bricker,M,2195,4290,-0.026640618049519758,0.11003333811970435,0.13667395616922412,0.11501946970261621,1.1882680082128336
f76f4ac5-e3cc-4fe6-a4bc-a968b8b991b1,Alex Walker,F,3517,6901,-0.08395623522824489,0.05073270108041592,0.1346889363086608,0.08520174220082771,1.580823734697673
9972caa3-8ae5-4559-b5f3-720f9cb6317b,Zac Hirschler,M,217,456,-0.12412150528259216,0.010188813949126338,0.1343103192317185,0.28365470963405776,0.4734993450487457
3cab1673-2522-4dd5-ba07-2a1b88749d86,Tristan Dussault,M,972,1929,-0.07282436605581968,0.06146435523872869,0.13428872129454839,0.16186425354029688,0.8296379117524956
469988c9-b401-4c68-9e07-e1b1b104b791,Yates Johnson,M,2621,5108,-0.05655438026659117,0.07745726723853302,0.13401164750512418,0.09619047543612765,1.3931904057809812
794634b2-7e1a-4928-ac82-a13fd3e984b2,Jessica Wilcox,F,224,442,-0.1904571210334456,-0.05654523972609225,0.13391188130735332,0.262821345405353,0.5095167635673548
437c71fe-2e32-4ba4-b053-96e21195fe4b,Yu-Chieh Hsieh,F,416,799,-0.19136154322345555,-0.05763148455954417,0.13373005866391138,0.21918830049535012,0.6101149484789602
4d79c4da-92de-4292-b231-59d2bd32c944,Alex Bowers,F,205,385,-0.10290429921140332,0.030802248962808434,0.13370654817421174,0.3501718402370141,0.3818312405809455
0dfe6dd7-dcc9-407b-a761-1cafc880401b,Erik Pailet,M,1051,2035,-0.07290931182292971,0.05952010556637931,0.13242941738930902,0.16755223058994073,0.7903769285734572
94478a4a-a920-4a12-936c-4dead2ecd1d6,Max Green,M,417,880,-0.17104017486664136,-0.03878603937473865,0.1322541354919027,0.21623029185906023,0.6116355592680164
47cdc6f5-3e06-4249-adde-f588681bb483,Maria Klokotzky,F,400,784,-0.08290868645559646,0.04917549307802935,0.1320841795336258,0.20678150763264555,0.6387620491106869
66e1ddf7-61f6-4683-afdf-b6cc313af407,Todd Fought,M,2270,4530,-0.024753356198768776,0.10567064637230127,0.13042400257107004,0.10397719252800247,1.2543520304796176
52915580-0a12-4791-8f82-6f6e56e90f76,Elizabeth Boydston,F,170,315,-0.20565996251556065,-0.076059819517877,0.12960014299768363,0.3660379832892259,0.35406200698925755
7b85c35f-6a90-4c61-af0b-565658feeb3c,Freddie Powell,M,1174,2205,-0.02797155429808492,0.10137736384594613,0.12934891814403104,0.14926875140810106,0.8665505467409642
6382a284-3db4-4d37-ac8a-2234c250bc81,Amrik Donkena,M,497,1053,-0.10308809527378031,0.025932346169256812,0.12902044144303712,0.2130653103298085,0.6055440993342536
7464628e-931a-44c9-b0df-749a7cb32eaa,Adam Harvey,M,2490,5119,-0.06581565118768924,0.06117111731825706,0.1269867685059463,0.10094762041270018,1.2579471213565145
167e7a23-c919-460b-8586-a3966f588dcb,Hong Kit Wong,M,1013,2078,-0.07721944747240991,0.04906694746758963,0.12628639493999955,0.16185785859471663,0.7802302343330384
57d81852-8998-4d7c-9ed6-737c404c8650,Jericho Grollman,M,956,1814,0.07325224979413011,0.19904354691668846,0.12579129712255835,0.16367308927563556,0.7685521039486097
1d36eae4-41f1-4739-b9d2-0783fd371112,Samantha Buyckx,F,555,1083,-0.12294489943745598,0.0024558056968933296,0.1254007051343493,0.18251539569568945,0.6870691902804282
ababc250-f834-4e1b-a3e5-f7152faf0888,Kendall Warren,F,169,357,-0.14792936779339586,-0.023588034655211646,0.12434133313818421,0.38995567185764635,0.31886017337779643
b3485ff8-bab5-4443-8245-3f81cbfb2b77,Emily Cederquist,F,274,509,0.027334212800544183,0.14953772585269223,0.12220351305214805,0.24036486174524418,0.5084083928276839
337c76f4-2e83-4a59-b66b-7dc2e0555ce2,Cassidy Hoag,F,1020,2162,-0.02292366154385228,0.09914671867606997,0.12207038021992225,0.1429256640430823,0.8540830020781041
eb88338a-8029-4801-9a7f-e4d48c9b5d83,Domenico Geminiani,M,411,800,-0.1360280218291446,-0.01652988181689586,0.11949814001224876,0.23654189027441194,0.505188065731694
315153f1-6830-49ac-9b35-8a68b82d120d,Jack Foster,M,239,442,-0.27405104630656596,-0.1553992920166214,0.11865175428994457,0.2982137829632328,0.3978748168879012
90b27004-f6bd-4a12-9cfa-acde87301310,Joel Cassens,M,300,597,-0.07536982052719204,0.042402249457793584,0.11777206998498563,0.28435217729718004,0.4141767828346908
1bbc9415-96dd-4751-9513-95274c5fc0f9,Nicole Eugenio,F,624,1390,-0.0872765935273774,0.027329182857739213,0.11460577638511663,0.1796260656399663,0.6380241975283634
9dc57e5e-1e15-4c18-9f9b-ea82ae9a5d46,Andre Millet,M,292,516,-0.10120608308522697,0.013163163015615022,0.11436924610084198,0.2445405125174037,0.4676903835829756
8187d00f-7c10-4947-a218-1641c659356c,Sam Angelo,M,798,1438,-0.1998103139632145,-0.08647968851361623,0.11333062544959827,0.18054900235403312,0.6277000923404253
89aaafba-7d47-4938-b918-b960dff5bebc,Ryan Finley,M,382,713,-0.021309134434756426,0.09027737197389724,0.11158650640865367,0.22528635521629853,0.4953096529149265
a2c56686-b330-41e4-b7e8-bda8a3ec97a8,Ryan Fu,M,2732,5428,-0.11452774099225524,-0.003361728451042101,0.11116601254121314,0.09662088662453415,1.1505381126670977
f370a1a0-2e1a-463b-a35c-30899131f7d6,Troy Akin,M,739,1468,0.013201511628483736,0.12379787700361673,0.110596365375133,0.17510313081734402,0.6316070127295428
a9a168ae-7822-4d31-b07b-fba40480c1fc,Brandon French,M,3742,7451,-0.06485886084666916,0.04274809736321803,0.1076069582098872,0.08256398552268088,1.3033159376775343
b3dd67b6-42ba-4109-b974-149162bb7211,Federico Nani,M,314,691,-0.1340375118372335,-0.02836983261493523,0.10566767922229828,0.23301744335208366,0.4534754038247557
90661183-81b1-49aa-b1fe-b977bb7bf272,Jonah Matos,M,167,252,-0.048117724600922555,0.05596177978911196,0.10407950439003452,0.3050980374890026,0.34113462428871283
98c2531f-f5ce-48b5-b251-eb69425d409c,Jillian Braverman,F,597,1269,0.026169788193870187,0.12945818845807758,0.1032884002642074,0.18187368471649074,0.5679128370067168
fc90f09b-f8a7-4c1f-922b-bbf3294cd736,Rougel Jon Lutz Aninon,M,428,898,-0.06258966673064424,0.03978618628678959,0.10237585301743383,0.20985832726163342,0.4878331698975203
525bfe63-4047-4100-9289-b4af47a25f98,Alia Brown,F,779,1435,-0.1290665182924991,-0.02697742563371709,0.10208909265878201,0.16299274473921346,0.6263413308495627
a7e358b0-517e-4972-89ff-d95f0797e1c7,Jase Edwards,M,836,1559,-0.09982524457213743,0.0012995524276082915,0.10112479699974572,0.18550739352240464,0.5451254264296068
9bce3fcf-8e63-4ed7-b4a5-00e0063a618f,Ariana Rodriguez,F,711,1487,-0.003803325076094403,0.09500104506671735,0.09880437014281175,0.18168121838998766,0.5438337050928584
e2b605ed-b830-499b-a1b0-c74546ff4777,Sophia Nhi Huynh,F,433,874,-0.07410341175759623,0.02386252142533194,0.09796593318292818,0.21077298149092055,0.4647936015800405
fcc36b68-b11b-4589-baa0-7d31f599eba1,Aaron Fuhrman,M,265,517,-0.09782996577425825,-0.004621800071218825,0.09320816570303941,0.3602820372382613,0.25870888933993424
bd8e1ad4-5402-4c55-a95b-1d39c1de2344,Spencer Liang,F,165,294,-0.07355909832573787,0.019640025937898122,0.093199124263636,0.33178007402644516,0.2809063339234995
45596674-36ae-4768-b4ee-c7181d9b2ea7,Sammy Lee,M,760,1550,-0.13423766968006057,-0.04168568456702074,0.09255198511303983,0.17092636008936393,0.5414728603864944
35f81e87-382e-41cc-9bab-687116861954,Jace Morris,M,1472,2926,-0.08644380338848125,0.005953148563340151,0.0923969519518214,0.13111524603266392,0.7047002903751035
43a35ec2-3d7a-4c6f-b412-cac02d237a46,Vritti Sethi,F,312,690,-0.07948308365822891,0.012577912175733959,0.09206099583396288,0.25086445279777203,0.3669750528911145
6a00b494-cc3d-4cd5-9fbe-077bc6958972,Dennis Uspensky,M,260,522,0.03732987080388123,0.12924760034840885,0.09191772954452762,0.24278744769687077,0.3785934174788573
3f872035-3abb-434d-9fc7-6134ec6c40f5,Alvaro Terron,M,191,416,-0.09048386180897695,0.00088267206417042,0.09136653387314737,0.2588540929430536,0.3529653822906616
2debba8d-e0c6-4fec-9ff2-dcb4732abe90,Chandra Kusuma,F,308,572,-0.2540979995777104,-0.16313063039263576,0.09096736918507464,0.23682782807340408,0.3841076022403903
a9950e78-2b86-495e-a0d2-bb8efac93531,Malia K Lum,F,555,1093,-0.0031423926080141763,0.0874703426750007,0.09061273528301488,0.1882959758260465,0.48122502292202807
bc7b2475-e580-4734-bc14-814a153bec5d,Pesa Teoni,M,2527,5032,-0.06610456422457346,0.02417641906675974,0.0902809832913332,0.10088079829845638,0.8949273282338274
a70be599-8b9f-405d-9e10-f501b0046e74,Shannon Pretorius,F,448,989,0.057476868264458046,0.14543384836984097,0.08795698010538291,0.1981751746950836,0.443834502685391
b35ed876-bcdc-4024-9746-fe1bcb3957f5,John Cincola,M,1931,3701,-0.037667159626272005,0.048560628316336896,0.08622778794260891,0.11529236616351025,0.7479054408538958
20045230-82bb-4962-99fe-cf78c28f8641,Joshua Giannelli,M,619,1189,-0.015434845261829228,0.06544981150421009,0.08088465676603931,0.20749823770509038,0.38980888541809067
f1151ea2-759d-4d9f-a5b9-5ccd966dc3ca,Hoang Nam Ly,M,427,838,0.0026896933356795535,0.08347506526370618,0.08078537192802662,0.21329988070305114,0.37874082095945133
17acdeab-879d-46c1-bc2c-b31d17acb8ed,Jeremy Lim,M,303,508,-0.023538681096241465,0.05701075379480096,0.08054943489104242,0.30721253772077467,0.2621944907868759
bf96031e-108d-4a37-810a-d43f63339231,Audrey Banada,F,1124,2481,0.02757992922006775,0.10620800962468135,0.07862808040461361,0.15708624731547316,0.5005408286742404
cd7b97fc-d912-4c59-8ab3-c2d70e79d998,Lina Padegimaite,F,3018,6029,-0.05155444169873975,0.02543672504961787,0.07699116674835763,0.09182253031174553,0.8384779474815808
e8e10ea8-2ff2-4155-9169-cc33ff8c6265,Rio Newcombe,M,1638,3381,-0.07268551875562133,0.0034005369056962927,0.07608605566131763,0.1273091027878394,0.5976481963596508
b2188c16-8955-451d-8b6a-945a8907528f,Tom Evans,M,298,645,-0.12498109289142133,-0.04958115967122443,0.07539993322019689,0.2343892164684767,0.3216868692009025
38b1bfb1-576b-4a3e-ab6b-e8bc46031c1d,Eric Roddy,M,2473,4864,-0.06809479395461783,0.004954514010499039,0.07304930796511687,0.10299251097922645,0.7092681523208119
86e1b9d3-15ea-4b76-b488-d3135e78aa7c,Wade Heerboth,M,290,614,-0.13721645254227768,-0.06516770853900744,0.07204874400327024,0.2454722158764842,0.2935107899931268
875df336-1f62-4929-896e-8f458591d636,Zack Taylor,M,215,394,-0.03927260823825271,0.03224963415458816,0.07152224239284087,0.27375473888791657,0.2612639426202745
20a05d48-2059-4900-ad17-c58c875d715b,Thatcher Schwendiman,M,252,475,-0.03346940033209647,0.037598637623355795,0.07106803795545227,0.27649778777256184,0.25702931849100563
