match_id,date,team_uuid,team_title,order,order_names,order_genders
82135c2d-36cd-47de-80b9-12f956f45745,2025-08-22,b7b1049e-446a-44f8-88ff-865db2298db5,Columbus Sliders,581183e8-3d9e-459e-b69f-7337d8b6f3d2|ead35052-7367-4296-96d4-064f546cc2b9|1728d016-1f02-4789-be73-63d12d5a5b42|7319013d-d511-4aa5-a356-4aa2cccf94f5,Andrei Daescu|CJ Klinger|Parris Todd|Lea Jansen,MMFF
82135c2d-36cd-47de-80b9-12f956f45745,2025-08-22,519868c1-a900-4db4-b123-0a49acd49c34,St. Louis Shock,d50310a6-9378-4228-823f-7fb54f7bd698|fc05556e-3e38-4a38-99c2-f855174a7c28|3af01041-5679-400a-87b8-12c01db8cec4|db5eef5c-99dd-49d9-bbfc-65171a366bda,Gabriel Tardio|Hayden Patriquin|Kate Fahey|Anna Bright,MMFF
fa3d1232-2625-4e2c-ae5b-9d863a562c42,2026-05-24,0c38d948-0091-469a-9ddb-e6ecc0cf1dee,New Jersey 5s,1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4|d0f19d1e-2a6e-4eb3-b10c-1311edd599a8|129b2771-34b5-4b7f-9c23-e020a6aa3e6a|b51ea0fb-c243-4427-85f8-b798febb51ff,Noe Khlif|Will Howells|Anna Leigh Waters|Jorja Johnson,MMFF
fa3d1232-2625-4e2c-ae5b-9d863a562c42,2026-05-24,802e3e69-7173-48e4-9ac9-622d2fd20463,Orlando Squeeze,7edb882c-6d17-4129-8208-710e3c82364c|3a43c56f-b9d8-4e72-ae8a-58fd69291946|eb14fc6e-ede1-4999-bec3-e36695e7f94e|a3ed7970-35d2-485c-8285-187c298a2d83,Federico Staksrud|Jack Sock|Milan Rane|Lacy Schneemann,MMFF
cd2bb62d-1613-41a2-b687-7056131ba5e7,2025-05-04,802e3e69-7173-48e4-9ac9-622d2fd20463,Orlando Squeeze,7edb882c-6d17-4129-8208-710e3c82364c|1de884f8-7bf7-4b49-9de8-3f1fd74cabd6|6794d224-7da3-43d9-8300-e24e731f5dea|a3ed7970-35d2-485c-8285-187c298a2d83,Federico Staksrud|Dylan Frazier|Samantha Parker|Lacy Schneemann,MMFF
cd2bb62d-1613-41a2-b687-7056131ba5e7,2025-05-04,71e58382-1a3a-40b2-bcbb-0a391e67c519,Chicago Slice,9decd87b-03ac-4d79-a1e7-d03ca3f7519b|b03ff4de-9b8f-46a8-a530-d8f19e9d6ec9|0c1bb94d-3af2-42f4-b938-d712c707ace4|afc0bfc9-8cd8-4600-bd45-681092186db3,James Ignatowich|Max Freeman|Callie Smith|Vivienne David,MMFF
d505e6da-7e09-4401-98db-a738d8b21168,2026-06-27,45f9b36e-9e22-4218-b40f-e9c25281d225,SoCal Hard Eights,9ce32de7-16c9-4786-a7b0-8c1c2c623d69|33292af3-984d-4752-8d18-b3a5c147e9fe|9eff9049-c45c-42ee-9a49-e9a797cc2116|12c765d0-8384-41d3-a498-de63fd7c37da,Rafael Lenhard|Armaan Bhatia|Cailyn Campbell|Naomi Nguyen,MMFF
d505e6da-7e09-4401-98db-a738d8b21168,2026-06-27,db0e1408-288d-4046-b6e0-9b6b279ea8cb,Texas Ranchers,a000a067-1bf1-442f-a961-e6c97cb50006|06ba18e0-687b-4aa3-822d-1c86981f576b|66a6c35b-33a2-4a23-b5db-fa53c96d643a|7319013d-d511-4aa5-a356-4aa2cccf94f5,Nicolas Acevedo|Rafa Hewett|Kaitlyn Christian|Lea Jansen,MMFF
f493cd72-6e2d-4d07-8bec-2eb46a5f0016,2025-08-02,8d4a420e-5e4d-44f0-af02-4f2d4b655d09,Atlanta Bouncers,cc8832b9-9a8f-4cbc-8eff-b20e9a7ff09a|66e1ddf7-61f6-4683-afdf-b6cc313af407|608756f6-bfc7-41b5-9cfd-5e69eacfe513|afc0bfc9-8cd8-4600-bd45-681092186db3,Jaume Martinez Vich|Todd Fought|Victoria Dimuzio|Vivienne David,MMFF
f493cd72-6e2d-4d07-8bec-2eb46a5f0016,2025-08-02,db0e1408-288d-4046-b6e0-9b6b279ea8cb,Texas Ranchers,f86cff72-5f9c-40b1-9f28-f28aafae245f|52690a0c-ed4a-4e0b-bf69-4ef416cf7d55|66a6c35b-33a2-4a23-b5db-fa53c96d643a|f879086b-e0e5-4772-b0a6-4055c265da69,Wyatt Stone|Eric Oncins|Kaitlyn Christian|Tina Pisnik,MMFF
