player_id,name,gender,discipline,games,cwpa_games,cwpa_per_100_games,noise_sd,v2_value
6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,doubles,1148,26.246,2.286,4.874,1.1139
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,doubles,1077,20.972,1.947,4.126,1.7994
d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,doubles,935,15.414,1.649,4.940,1.0708
79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,doubles,930,10.623,1.142,5.010,1.0143
461f063e-a587-4638-bad9-421ff33d91d7,Genie Erokhina,F,doubles,434,9.973,2.298,3.313,0.6853
fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,doubles,890,8.686,0.976,4.469,1.0877
b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,doubles,942,8.545,0.907,4.582,1.1731
88fb0858-b9c3-4620-9408-0dda0eb241ef,Tyler Loong,M,doubles,469,8.207,1.750,3.547,0.5987
fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,doubles,964,7.145,0.741,5.112,1.0803
295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M,doubles,575,6.753,1.174,3.904,0.9207
db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,doubles,1089,6.170,0.567,4.770,1.3267
fa8d5d28-d8f5-4996-8c35-0f4ca3c35bae,Anderson Scarpa,M,doubles,382,6.005,1.572,3.312,0.7082
d43db93c-6710-4a18-a406-497eb7a068ce,Spencer Smith,M,doubles,189,5.671,3.001,2.362,0.4808
8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,F,doubles,706,5.553,0.787,4.246,0.7421
be33755f-9262-461b-aedd-e9a7a686a82c,Jackie Kawamoto,F,doubles,492,5.505,1.119,3.391,1.0882
3d67b6d0-063e-466c-a475-7679d0764354,Austin Bricker,M,doubles,227,5.341,2.353,2.244,0.4743
74afd19c-8f82-4ca2-9345-e4d693111033,Marshall Brown,M,doubles,284,5.129,1.806,2.823,0.6011
8172788a-eec8-4064-90ee-a01dd09e2729,Jaikin Gomez,M,doubles,79,5.005,6.335,1.799,0.1974
bc7b2475-e580-4734-bc14-814a153bec5d,Pesa Teoni,M,doubles,289,4.956,1.715,2.539,0.3646
9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,doubles,900,4.632,0.515,4.402,0.8946
3d9c8684-953f-4008-b355-b6104ee56a5b,Connor Mogle,M,doubles,213,4.222,1.982,2.427,0.6884
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,doubles,579,4.130,0.713,3.808,0.9479
146dd2f7-7f5d-495d-b2f1-96d433742fec,Eduardo Santini Ayon,M,doubles,145,4.097,2.825,1.920,0.3353
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,doubles,998,4.085,0.409,4.806,1.0854
e8e10ea8-2ff2-4155-9169-cc33ff8c6265,Rio Newcombe,M,doubles,178,4.079,2.291,2.163,0.4129
ff38654d-daae-4bad-a1a7-690e4e5706eb,Connor Garnett,M,doubles,615,4.074,0.662,4.205,0.8096
1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,Dylan Frazier,M,doubles,724,4.047,0.559,4.223,0.7531
4025f403-d676-42ee-97a1-61d9b38c211b,Allison Phillips,F,doubles,304,3.982,1.310,2.791,0.6435
7886d6aa-2310-4ae8-9874-f0fc9c3e534f,James Delgado,M,doubles,344,3.924,1.141,2.985,0.4910
1607a4f2-2592-4745-ba49-21bbeb199151,Sydney Sonday,F,doubles,65,3.865,5.946,1.477,0.3461
c96f7a83-9cc1-4fbe-a610-126ed8e3a202,Gregory Dow,M,doubles,194,3.565,1.838,2.269,0.4427
1374dfe9-4573-4ab6-991d-16bed0a6d25c,Edward Perez,M,doubles,233,3.562,1.529,2.384,0.2445
62955f38-bdf5-46af-9622-13c7afe90619,Jonathan Truong,M,doubles,276,3.530,1.279,2.534,0.6515
2e0acd0d-95a3-49c3-8648-720ed0fbc7d5,Lingwei Kong,F,doubles,288,3.469,1.205,2.741,0.5361
2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F,doubles,162,3.448,2.128,1.971,1.0217
4e39b9bd-436d-495d-99d7-c2818bbea4ab,Camila Zilveti,F,doubles,145,3.445,2.376,1.659,0.0355
581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,doubles,989,3.431,0.347,5.131,0.9750
05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M,doubles,571,3.264,0.572,3.753,0.9049
646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,doubles,495,3.198,0.646,3.279,0.7944
0c1bb94d-3af2-42f4-b938-d712c707ace4,Callie Smith,F,doubles,602,3.189,0.530,3.884,0.6431
dc69fcde-bcda-4441-8b66-a8bafeb12ded,Joel Poland,M,doubles,139,3.110,2.237,1.868,0.6002
435e466e-22c7-4917-8cb4-ff45bbccde19,Tamaryn Emmrich,F,doubles,330,3.093,0.937,2.983,0.4472
d45a3391-82f4-45d0-ba66-f1901854a8d0,Darrian Young,M,doubles,353,2.947,0.835,3.031,0.5220
d69ec633-93c9-4d07-8870-be9f5acd5330,Rachel Rettger,F,doubles,195,2.846,1.460,2.036,0.0727
759ecf95-26a6-4ffe-bb8b-035d3ec05f31,Matt Wright,M,doubles,447,2.775,0.621,3.325,0.5527
dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M,doubles,611,2.745,0.449,3.856,0.6494
12d79cbe-b5c7-4504-ab8f-f352a6bb8629,Thomas Wilson,M,doubles,165,2.710,1.643,2.445,0.8655
41118195-75b3-4b25-adc9-07991301280a,Craig Johnson,M,doubles,192,2.702,1.407,2.390,0.4436
7cf93ef3-86b7-4bb4-937b-5b5dc4c72c32,Valerie R Simon,F,doubles,128,2.693,2.104,1.816,0.2434
bf96031e-108d-4a37-810a-d43f63339231,Audrey Banada,F,doubles,125,2.681,2.145,1.798,0.3193
a000a067-1bf1-442f-a961-e6c97cb50006,Nicolas Acevedo,M,doubles,117,2.535,2.167,1.910,0.8422
a018902f-114c-4519-997c-4fdf52d4a0e1,Abbigal Hatton,F,doubles,134,2.521,1.881,1.756,0.3863
a92239e2-429d-4a0a-85b7-58cac29488ee,Jordan Chrysostom,M,doubles,97,2.470,2.546,1.708,0.2906
dcd029fb-2814-401b-a1cb-0c4269d9954b,Allie Reichert,F,doubles,69,2.463,3.570,1.413,0.7129
581520bf-6bd3-4c66-9ee3-756f955ec968,Rob Cassidy,M,doubles,111,2.445,2.203,1.554,0.3805
