player,game,rally,player_uuid,n_frames,peak_share,peak_inc_ft,terr_mean,terr_end
Christian Alshon,"('c4eb30d0', '1')",28,79a11da1-6aeb-4719-9b1e-9918e0163cec,110,0.6861,0.0,0.8507,0.9408
Hayden Patriquin,"('c4eb30d0', '1')",28,fc05556e-3e38-4a38-99c2-f855174a7c28,39,0.6571,0.0,0.0107,0.0378
Anna Bright,"('c4eb30d0', '1')",28,db5eef5c-99dd-49d9-bbfc-65171a366bda,39,0.5611,0.0,0.9893,0.9622
Christian Alshon,"('c4eb30d0', '1')",33,79a11da1-6aeb-4719-9b1e-9918e0163cec,72,0.7345,3.49,0.5854,0.5251
Tyra Hurricane Black,"('c4eb30d0', '1')",33,fec65f7e-f2c8-482f-ab5b-541cf53b1064,72,0.666,0.0,0.4146,0.4749
Anna Bright,"('c4eb30d0', '1')",33,db5eef5c-99dd-49d9-bbfc-65171a366bda,71,0.6007,0.61,0.5028,0.2516
Hayden Patriquin,"('c4eb30d0', '1')",33,fc05556e-3e38-4a38-99c2-f855174a7c28,71,0.9231,5.39,0.4972,0.7484
Tyra Hurricane Black,"('c4eb30d0', '1')",37,fec65f7e-f2c8-482f-ab5b-541cf53b1064,41,0.5309,0.0,0.4003,0.3478
Christian Alshon,"('c4eb30d0', '1')",37,79a11da1-6aeb-4719-9b1e-9918e0163cec,41,0.5922,0.0,0.5997,0.6522
Hayden Patriquin,"('c4eb30d0', '1')",37,fc05556e-3e38-4a38-99c2-f855174a7c28,41,0.6293,0.0,0.549,0.5333
Anna Bright,"('c4eb30d0', '1')",37,db5eef5c-99dd-49d9-bbfc-65171a366bda,41,0.4486,0.0,0.451,0.4667
Tyra Hurricane Black,"('c4eb30d0', '1')",39,fec65f7e-f2c8-482f-ab5b-541cf53b1064,10,0.5637,0.0,0.4314,0.3706
Christian Alshon,"('c4eb30d0', '1')",39,79a11da1-6aeb-4719-9b1e-9918e0163cec,10,0.5602,0.0,0.5686,0.6294
Anna Bright,"('c4eb30d0', '1')",39,db5eef5c-99dd-49d9-bbfc-65171a366bda,9,0.4548,0.0,0.0398,0.1085
Hayden Patriquin,"('c4eb30d0', '1')",39,fc05556e-3e38-4a38-99c2-f855174a7c28,9,0.6385,0.0,0.9602,0.8915
Tyra Hurricane Black,"('c4eb30d0', '1')",40,fec65f7e-f2c8-482f-ab5b-541cf53b1064,12,0.4911,0.0,0.4857,0.4836
Christian Alshon,"('c4eb30d0', '1')",40,79a11da1-6aeb-4719-9b1e-9918e0163cec,12,0.5363,0.0,0.5143,0.5164
Anna Bright,"('c4eb30d0', '1')",40,db5eef5c-99dd-49d9-bbfc-65171a366bda,12,0.3628,0.0,0.4264,0.4272
Hayden Patriquin,"('c4eb30d0', '1')",40,fc05556e-3e38-4a38-99c2-f855174a7c28,12,0.7513,2.18,0.5736,0.5728
Christian Alshon,"('c4eb30d0', '1')",41,79a11da1-6aeb-4719-9b1e-9918e0163cec,132,0.7439,1.65,0.4153,0.6887
Tyra Hurricane Black,"('c4eb30d0', '1')",41,fec65f7e-f2c8-482f-ab5b-541cf53b1064,132,0.8699,4.21,0.5847,0.3113
Anna Bright,"('c4eb30d0', '1')",41,db5eef5c-99dd-49d9-bbfc-65171a366bda,84,0.8064,0.0,0.3565,0.5064
Hayden Patriquin,"('c4eb30d0', '1')",41,fc05556e-3e38-4a38-99c2-f855174a7c28,84,0.7419,3.28,0.6435,0.4936
Christian Alshon,"('c4eb30d0', '1')",42,79a11da1-6aeb-4719-9b1e-9918e0163cec,72,0.7255,0.29,0.5943,0.641
