p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Lauren Hidalgo-Smith,Stevie Petropouleas,womens,2,-0.025,0.381,0.471,32.2
Samuel Wells,Michael Vallejo,mens,12,-0.004,0.369,0.499,53.4
Jonas Daehler,Jamie Carmichael,mens,2,-0.021,0.402,0.504,36.6
Ben Cawston,Maksims Kazijevs,mens,5,0.06,0.375,0.564,89.1
Django Chassang,Kalen Harbaugh,mens,6,-0.029,0.403,0.46,29.4
Kelsey Roundtree,Frankee Hendricks,womens,2,-0.044,0.392,0.473,16.9
George Rangelov,Mouaad Alhouni,mens,2,-0.091,0.385,0.424,2.1
Audrey Adele Brown,Mia Turcsany,womens,2,-0.034,0.362,0.463,24.6
Patricio Pereyra,Nejc Sitar,mens,9,0.066,0.374,0.563,90.5
Arielle Butler,Andrea Koop,womens,6,0.002,0.381,0.523,58.1
Juan Varon,Eli Steiner,mens,20,0.047,0.361,0.558,84.3
Andrew Loftin,Jae Centonze,mens,2,-0.013,0.385,0.489,44.8
Eileen Wang,Brittany Yang,womens,2,-0.042,0.396,0.477,18.6
Jade Rau,Victoria Shinkaretzky,womens,4,-0.012,0.401,0.494,46.4
Regina Goldberg,Kamyla Held,womens,2,0.002,0.396,0.516,58.2
Claudia Flores,Natalia Sanchez,womens,2,-0.029,0.409,0.491,28.9
Federico Nani,Michael Shaw,mens,2,0.021,0.399,0.52,70.3
Javon Turcsany,Elisha Turner,mens,2,0.022,0.381,0.527,71.1
Abigail Okelley,Ariana Rodriguez,womens,2,0.011,0.379,0.51,64.4
Jimmy Terzian,Ryan Gilbert,mens,2,-0.027,0.371,0.463,30.9
Tyler Glowaki,Luis Rojas,mens,2,0.004,0.392,0.524,59.5
Sofia Manzanares,Stephanie Mazurek,womens,3,0.008,0.366,0.519,62.3
Nolan Smyth,Xavier Richard,mens,2,-0.026,0.388,0.497,32.0
Connor Mogle,Jhonnatan Medina Alvarez,mens,3,-0.082,0.411,0.435,3.2
Jessica Jones,Kristin Kennedy,womens,2,-0.026,0.388,0.479,31.6
Bruno Faletto,Ariana Rodriguez,mixed,6,0.004,0.383,0.514,60.0
Andrew Loftin,Ava Ignatowich,mixed,2,-0.039,0.377,0.464,20.3
Ben Cawston,Jaeda Minniefield,mixed,4,-0.016,0.386,0.479,41.6
Maksims Kazijevs,Giovanna Morelli,mixed,7,0.069,0.394,0.566,91.2
Cassidy Hoag,Federico Nani,mixed,6,0.005,0.379,0.5,60.7
Ryan Gilbert,Sophie Abrams,mixed,3,0.005,0.374,0.497,60.2
Evan Pratt,Mia Turcsany,mixed,2,-0.009,0.381,0.479,48.8
Tamaryn Emmrich,James Delgado,mixed,17,0.039,0.373,0.527,81.3
Isabella Dunlap,Freddie Powell,mixed,25,0.09,0.359,0.59,94.4
Adam Harvey,Mehvish Safdar,mixed,11,-0.077,0.388,0.414,4.3
Patrick Smith,Mara Vasvatekis,mixed,2,-0.045,0.359,0.451,16.4
Claudia Flores,Emanuel Dickson,mixed,3,-0.002,0.372,0.514,55.0
Julian Slive,Allie Reichert,mixed,7,0.05,0.375,0.567,85.6
Tyler Glowaki,Christee Chargot,mixed,2,0.007,0.401,0.508,61.5
Kamden Bradstreet,Victoria Shinkaretzky,mixed,4,-0.015,0.363,0.49,43.1
Forest Dennis,Francesca Randazzo,mixed,2,-0.058,0.371,0.452,10.1
Shannon Pretorius,Nicholas Romano,mixed,4,0.016,0.381,0.515,67.6
Nadia Echeverria,Jaikin Gomez,mixed,2,-0.023,0.396,0.477,34.5
Rachael James,Erik Forsythe,mixed,5,0.054,0.371,0.541,87.2
Paula Rives,Martin Emmrich,mixed,3,-0.047,0.422,0.462,15.6
Ava Cavataio,Clayton Powell,mixed,15,-0.05,0.378,0.473,13.8
Martina Frantova,Randy Blanco,mixed,11,0.243,0.419,0.708,99.9
Andrea Koop,Daniel De la Rosa,mixed,5,-0.032,0.355,0.481,26.2
Jada Bui,Nejc Sitar,mixed,15,0.033,0.389,0.54,77.2
Arielle Butler,Tristan Dussault,mixed,5,0.016,0.359,0.521,67.9
Iryna Kostirko,Maiz Sinclair,mixed,2,-0.019,0.377,0.482,38.5
Ahmad El-Zarif,Haley Ferguson,mixed,3,0.027,0.372,0.529,74.6
Amanda Hendry,Mark Dancuart,mixed,7,-0.031,0.387,0.479,27.4
Monika Wynne,Juan Varon,mixed,13,-0.07,0.367,0.443,6.0
Jemi Aguilar,Carlos Zambrano,mixed,2,-0.036,0.374,0.456,23.0
Jade Rau,Ben Slive,mixed,5,-0.056,0.381,0.43,10.8
Jay Evans,Eileen Wang,mixed,2,-0.031,0.371,0.463,27.2
Kamyla Held,Elisha Turner,mixed,2,0.003,0.413,0.503,59.4
Andi Godwin,Matthew Finnerty,mixed,2,-0.022,0.359,0.477,35.8
Dylan Lewis,Valerie R Simon,mixed,5,0.047,0.37,0.545,84.4
Madalina Grigoriu,Jorge Nunez,mixed,2,-0.052,0.376,0.463,13.0
Jarryd Woog,Brittni Tonnessen,mixed,2,-0.012,0.377,0.492,46.4
Hudson De Risi,Patara Tezduyar,mixed,2,0.04,0.359,0.539,81.6
Scott McRee,Masa Grgan,mixed,11,0.017,0.36,0.511,68.2
Sharienne Ricardo,Daniel Couzens,mixed,2,0.013,0.401,0.503,65.8
Adalynn Lund,Lucas Erlikh,mixed,2,-0.039,0.373,0.455,20.8
Pesa Teoni,Etienne Blaszkewycz,mens,9,0.019,0.351,0.532,69.4
Manfred Jeske,Chris Cooprider,mens,5,0.028,0.366,0.532,74.8
Lyn Yuen Choo,Brandon Fritze,mixed,9,0.042,0.397,0.541,82.1
Hudson Hall,Blake Suard,mens,4,0.035,0.367,0.53,78.7
Wade Heerboth,Shannon Pretorius,mixed,9,0.063,0.382,0.555,90.0
Rachel Janssen,Loc Lam,mixed,2,-0.005,0.377,0.501,52.4
Ethan Bakalinsky,Bret Berryman,mens,7,-0.026,0.361,0.474,31.4
Mackonner Dy,Armaan Jiwa Mawji,mens,10,0.076,0.376,0.563,92.3
Justin Dages,Gabriel Zimeri,mens,5,0.049,0.41,0.543,85.1
David Perez,Louis Theriault,mens,2,-0.025,0.409,0.485,32.4
Natalie Hur,Miles Hoover,mixed,4,-0.077,0.395,0.431,4.4
Patricia Martins,Eshaan Mylavarapu,mixed,2,-0.001,0.358,0.496,55.7
David Miller,Patrik Kevin Tsati-Onla,mens,2,-0.042,0.41,0.443,18.5
Shannon Pretorius,Allie Reichert,womens,9,-0.032,0.371,0.468,26.0
Grace Crosby,Neha Khurana,womens,2,-0.037,0.374,0.469,22.5
Ellie Douglas,Blake Goodman,mixed,5,0.034,0.346,0.544,78.3
Natalia Simson,Vritti Sethi,womens,10,-0.03,0.392,0.462,28.2
Patricia Martins,Abla Mannarino,womens,3,0.009,0.379,0.501,63.1
Natalia Simson,Edgaras Zilys,mixed,2,-0.077,0.407,0.446,4.2
Cole Whitaker,Sarah Williams,mixed,9,0.062,0.367,0.566,89.7
JP Gorby,Abla Mannarino,mixed,3,-0.045,0.406,0.467,16.7
Cristobal Del Castillo,Kyle Rowe,mens,4,-0.008,0.388,0.499,50.1
Jordan Chrysostom,Brandon Fritze,mens,7,-0.003,0.364,0.511,54.4
Sam Libo,Braylon Ohrel,mens,4,-0.012,0.406,0.49,45.9
Victoria Nguyen,Etienne Blaszkewycz,mixed,5,-0.063,0.393,0.454,8.2
Eli Steiner,Shea Donahue,mixed,5,-0.061,0.37,0.443,8.8
Ryder Brown,Caroline Maguire,mixed,3,-0.009,0.359,0.487,48.6
Daniel Miron,Austin White,mens,11,0.045,0.381,0.542,83.7
London Leon,Grant Johnson,mixed,2,-0.055,0.384,0.457,11.3
Mike Radermacher,Sebastian Gutierrez,mens,2,-0.079,0.386,0.403,3.8
Blake Goodman,Eshaan Mylavarapu,mens,2,-0.005,0.386,0.507,52.1
Kylie Imperial,Domenico Geminiani,mixed,8,0.108,0.414,0.595,96.2
Alexander Valencia,Savannah K,mixed,2,-0.026,0.36,0.458,32.1
Noah Torres,Jonathon Hart,mens,2,-0.061,0.404,0.455,9.0
Dylan Wilhelm,William Hsieh,mens,4,0.027,0.388,0.52,74.4
Joseph Evans,Grace Crosby,mixed,2,-0.038,0.391,0.461,22.0
Rachel Janssen,Marie Lutz,womens,7,0.08,0.385,0.57,93.1
Jazz Hearn IV,Shea Donahue,womens,2,-0.004,0.368,0.49,53.2
Janet Liu,Jessica Ho,womens,12,0.08,0.365,0.586,93.1
Hilary Toole,Julianna Hess,womens,2,-0.045,0.373,0.449,16.5
Ryder Brown,Jasper Schaadt,mens,2,-0.07,0.363,0.427,6.0
Hunter Merritt,James Ngo,mens,5,-0.011,0.367,0.482,47.0
Nicholas Wade,Domenico Geminiani,mens,16,-0.063,0.402,0.451,7.9
Marie-Claude Boisvert-Bégin,Frances Altick,womens,2,-0.02,0.367,0.499,37.6
Kinshuk Sharma,Christopher Depetro,mens,2,-0.039,0.384,0.465,20.3
Petra Jones,Joshua Gallardo,mixed,2,-0.041,0.375,0.47,19.6
Jasper Schaadt,Ariana Ajani,mixed,5,-0.019,0.395,0.479,38.5
Chris Jammal,Jazz Hearn IV,mixed,3,0.006,0.392,0.504,61.1
Kayla Williams,Braden Jacobson,mixed,3,-0.069,0.398,0.45,6.2
Casey Garretson,Ryan Camras,mens,16,0.056,0.365,0.544,87.8
Edgaras Zilys,Martin Stanchev,mens,6,0.018,0.404,0.52,69.0
Alexander Valencia,Mario Jurisic,mens,3,-0.012,0.375,0.501,45.9
Joseph Evans,James Crosby,mens,2,-0.034,0.357,0.47,24.9
Mark Moore,Robert Brown,mens,2,-0.045,0.391,0.467,16.7
Kelsey Laurente,Sarah Williams,womens,7,-0.021,0.365,0.47,36.9
Vritti Sethi,Martin Stanchev,mixed,10,0.032,0.345,0.53,77.1
Julianna Hess,Divin Sarthak,mixed,2,0.024,0.415,0.512,72.5
John Davenport,Loc Lam,mens,2,-0.037,0.402,0.468,22.1
Arianna Raga,Ryan Camras,mixed,2,-0.02,0.398,0.482,37.6
Dan Nguyen,Benjamin Pepion,mens,2,-0.009,0.391,0.498,48.8
Frances Altick,Austin White,mixed,3,-0.013,0.391,0.458,44.9
Poongi Hong,Cole Whitaker,mens,2,-0.008,0.363,0.503,49.6
Alexandra Valenstein,Caroline Maguire,womens,3,0.033,0.349,0.527,77.3
Stephen Madonia,Rachel Rettger,mixed,5,0.03,0.378,0.537,76.1
Clayton Powell,Gregory Dow,mens,4,0.033,0.375,0.534,77.3
Gabriel Joseph,George Rangelov,mens,2,-0.033,0.395,0.473,25.2
Tom Protzek,Mya Bui,mixed,6,-0.067,0.364,0.437,6.6
Christopher Haworth,Patrick Smith,mens,2,-0.039,0.383,0.466,20.9
Ross Whittaker,Jace Morris,mens,4,0.054,0.392,0.552,87.3
Anouar Braham,Juan Benitez,mens,4,-0.022,0.396,0.459,35.7
Zane Ford,Andrew Caldarella,mens,5,-0.107,0.38,0.398,1.2
Ross Whittaker,Luana Stanciu,mixed,2,-0.012,0.375,0.505,46.2
Matthew Barlow,Emma Nelson,mixed,4,-0.017,0.371,0.495,41.4
Luc Pham,Brooke Caruso,mixed,3,-0.054,0.393,0.452,12.0
Mohaned Alhouni,Marshall Brown,mens,5,-0.01,0.353,0.485,47.4
Jonathan Truong,Lacy Schneemann,mixed,10,-0.037,0.351,0.469,22.3
Christopher Crouch,Braden Jacobson,mens,2,-0.056,0.342,0.432,10.7
Mohaned Alhouni,Lingwei Kong,mixed,2,-0.084,0.377,0.446,3.0
Rafa Hewett,Pierina Imparato,mixed,10,0.142,0.386,0.633,98.1
Callie Smith,Jay Devilliers,mixed,13,0.081,0.361,0.597,93.3
Andre Mercado,Abbigal Hatton,mixed,3,-0.014,0.379,0.477,43.7
Ava Cavataio,George Wall,mixed,5,0.022,0.398,0.532,71.5
Ting Chieh Wei,Armaan Bhatia,mixed,5,-0.107,0.379,0.406,1.3
Kaitlyn Christian,Jaume Martinez Vich,mixed,15,0.07,0.383,0.569,91.3
Tama Shimabukuro,Cailyn Campbell,mixed,2,-0.053,0.385,0.458,12.1
Lina Padegimaite,John Lucian Goins,mixed,2,-0.056,0.382,0.437,10.9
Zane Navratil,Elsie Hendershot,mixed,7,-0.034,0.395,0.47,24.5
Jade Rau,Elsie Hendershot,womens,4,0.061,0.407,0.546,89.4
Ava Cavataio,Audrey Adele Brown,womens,2,-0.08,0.365,0.432,3.7
Eric Roddy,Carlos Di Laura III,mens,3,-0.052,0.363,0.447,12.8
Ashley Griffith,Jaeda Minniefield,womens,2,-0.037,0.394,0.459,22.4
Hannah Blatt,Julian Arnold,mixed,2,-0.068,0.391,0.424,6.5
Tamaryn Emmrich,Marshall Brown,mixed,7,0.002,0.405,0.497,58.1
Lucas Pascoe,Albie Huang,mixed,2,-0.01,0.397,0.498,48.2
Christian Alshon,Jessie Irvine,mixed,10,-0.044,0.386,0.458,17.1
Rafael Lenhard,Giovanna Morelli,mixed,13,-0.051,0.403,0.458,13.1
Tyler Loong,Lindsey Newman,mixed,23,-0.005,0.34,0.511,52.6
Samantha Parker,Brandon French,mixed,5,-0.07,0.364,0.43,5.9
Carlos Di Laura III,Martina Frantova,mixed,9,-0.08,0.376,0.431,3.4
Tam Trinh,John Cincola,mens,5,0.016,0.379,0.5,67.9
Andre Mercado,Daniel Phillips,mens,3,-0.018,0.364,0.479,40.1
Genie Erokhina,Augustus Ge,mixed,7,0.069,0.374,0.571,91.1
Indigo Dagnall,Alexander Crum,mens,7,0.079,0.395,0.559,93.0
Ella Yeh,Will Mackinnon,mixed,4,0.009,0.381,0.513,62.9
Christine Trifunovic,Daniel Phillips,mixed,2,0.016,0.362,0.513,67.4
Tyler Loong,John Lucian Goins,mens,18,0.101,0.398,0.581,95.8
Rachel Rohrabacher,Dekel Bar,mixed,7,0.036,0.363,0.54,79.5
Austin Bricker,Jaeda Minniefield,mixed,2,-0.061,0.379,0.437,8.7
Gabriel Joseph,Camila Zilveti,mixed,3,0.071,0.388,0.562,91.7
George Rangelov,Marcela Aguila Ampon,mixed,3,-0.021,0.39,0.475,37.1
Blaine Hovenier,Lauren Stratman,mixed,5,-0.07,0.365,0.44,5.8
Eric Roddy,Rachel Summers,mixed,2,-0.032,0.386,0.475,26.3
Alix Truong,Clayton Powell,mixed,2,-0.07,0.4,0.437,5.8
Nicole Conard,Juan Benitez,mixed,8,0.122,0.381,0.614,97.3
Isabella Dunlap,Abbigal Hatton,womens,23,0.083,0.354,0.576,93.5
Pierina Imparato,Marcela Aguila Ampon,womens,3,0.027,0.352,0.527,74.3
Matt Wright,Dekel Bar,mens,5,-0.042,0.366,0.461,18.7
Lauren Stratman,Lindsey Newman,womens,3,-0.014,0.393,0.481,43.4
Ting Chieh Wei,Lina Padegimaite,womens,3,-0.063,0.37,0.434,8.0
Noe Khlif,Blaine Hovenier,mens,7,-0.003,0.374,0.503,53.7
Mari Humberg,Milan Rane,womens,18,0.053,0.337,0.545,87.0
Victoria Dimuzio,Mya Bui,womens,2,-0.012,0.353,0.489,46.1
Ella Yeh,Kiora Kunimoto,womens,13,0.061,0.379,0.556,89.3
Armaan Bhatia,Pablo Tellez,mens,6,0.058,0.361,0.552,88.6
Brandon French,Wyatt Stone,mens,4,0.05,0.375,0.536,85.4
Rafa Hewett,Jonathan Truong,mens,10,0.048,0.38,0.548,84.7
Angie Walker,Michael Loyd,mixed,7,0.058,0.395,0.545,88.3
Giovanna Morelli,Brooke Caruso,womens,4,-0.043,0.381,0.458,17.6
Chao Yi Wang,Jessie Irvine,womens,7,0.044,0.412,0.537,83.3
Kaitlyn Christian,Emma Nelson,womens,11,0.129,0.397,0.626,97.7
Nicole Conard,Cailyn Campbell,womens,3,-0.032,0.357,0.473,26.2
Mike Radermacher,Bret Berryman,mens,9,0.138,0.381,0.62,98.0
Patrik Kevin Tsati-Onla,Mario Jurisic,mens,5,-0.03,0.41,0.473,28.5
Mihae Kwon,Nok Yiu Tang,womens,19,0.039,0.363,0.548,80.8
Stephanie Alliev,Caroline Maguire,womens,7,0.034,0.373,0.542,78.2
Zach Gonnering,Matt Burkhardt,mens,7,0.014,0.365,0.508,65.9
Beau Martin,Dave Conley,mens,4,0.0,0.37,0.506,57.2
