event_id,date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,precipitation_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,cloudcover_mean,relative_humidity_2m_mean
970d08db-a426-424e-8d45-b7a9ee13b08b,2024-08-24,89.7,65.9,77.4,0.0,22.9,40.9,167,20,24
970d08db-a426-424e-8d45-b7a9ee13b08b,2024-08-25,79.8,59.0,76.2,0.016,17.2,32.9,288,37,31
dd85421f-87b4-483b-ae78-646424be9fbe,2024-08-26,95.8,69.6,92.4,0.0,8.9,15.9,336,0,13
dd85421f-87b4-483b-ae78-646424be9fbe,2024-08-27,101.0,74.7,95.7,0.0,12.6,19.2,144,0,12
dd85421f-87b4-483b-ae78-646424be9fbe,2024-08-28,104.5,77.4,99.5,0.0,14.9,24.2,230,0,12
dd85421f-87b4-483b-ae78-646424be9fbe,2024-08-29,104.5,77.0,99.7,0.0,13.6,21.5,236,6,14
dd85421f-87b4-483b-ae78-646424be9fbe,2024-08-30,104.2,82.2,102.3,0.0,19.2,30.4,260,17,16
dd85421f-87b4-483b-ae78-646424be9fbe,2024-08-31,103.7,79.9,102.6,0.0,7.0,32.0,325,28,17
dd85421f-87b4-483b-ae78-646424be9fbe,2024-09-01,102.5,81.8,99.7,0.0,6.8,14.1,49,4,18
2edb8f20-82c0-4edf-ba16-7f67bcaf92fb,2024-08-30,88.0,55.9,87.1,0.0,11.0,21.7,324,2,64
2edb8f20-82c0-4edf-ba16-7f67bcaf92fb,2024-08-31,91.9,65.4,92.5,0.0,10.6,23.9,321,0,56
2edb8f20-82c0-4edf-ba16-7f67bcaf92fb,2024-09-01,90.1,62.2,92.3,0.0,11.6,23.0,342,0,61
1c186bb9-a8fd-40e9-988b-118e2f10b62c,2024-09-09,82.9,60.7,85.9,0.0,8.0,15.7,71,4,57
1c186bb9-a8fd-40e9-988b-118e2f10b62c,2024-09-10,84.1,61.2,86.2,0.0,6.8,15.2,93,32,57
1c186bb9-a8fd-40e9-988b-118e2f10b62c,2024-09-11,82.2,63.4,80.4,0.0,12.5,25.1,97,98,55
1c186bb9-a8fd-40e9-988b-118e2f10b62c,2024-09-12,72.5,63.3,67.5,0.413,21.8,42.3,93,98,82
1c186bb9-a8fd-40e9-988b-118e2f10b62c,2024-09-13,77.1,65.1,77.7,0.126,16.0,28.6,89,93,83
1c186bb9-a8fd-40e9-988b-118e2f10b62c,2024-09-14,79.5,68.2,77.6,0.063,19.5,36.2,88,97,81
1c186bb9-a8fd-40e9-988b-118e2f10b62c,2024-09-15,79.0,69.3,77.9,0.012,19.1,34.4,85,72,68
e36b4125-8164-4cf8-a6bf-09bd0019619b,2024-09-30,75.2,70.9,80.0,0.035,12.1,23.7,69,61,89
e36b4125-8164-4cf8-a6bf-09bd0019619b,2024-10-01,72.1,69.4,74.4,1.882,15.2,28.9,63,86,91
e36b4125-8164-4cf8-a6bf-09bd0019619b,2024-10-02,73.7,66.7,75.1,0.035,10.7,21.3,24,44,83
e36b4125-8164-4cf8-a6bf-09bd0019619b,2024-10-03,73.1,64.5,76.3,0.0,8.8,18.6,52,3,79
e36b4125-8164-4cf8-a6bf-09bd0019619b,2024-10-04,75.0,63.0,78.9,0.0,6.4,14.8,81,43,81
e36b4125-8164-4cf8-a6bf-09bd0019619b,2024-10-05,75.7,62.2,79.6,0.02,8.5,19.2,14,36,88
e36b4125-8164-4cf8-a6bf-09bd0019619b,2024-10-06,73.6,60.1,76.6,0.0,7.5,14.5,68,15,80
068f6d56-97d9-42c9-87f5-54c2e7d3040f,2024-10-09,92.6,68.9,85.6,0.0,9.0,17.0,276,0,14
068f6d56-97d9-42c9-87f5-54c2e7d3040f,2024-10-10,93.9,67.7,83.9,0.0,14.5,26.4,91,35,13
068f6d56-97d9-42c9-87f5-54c2e7d3040f,2024-10-11,92.5,73.0,82.7,0.0,15.1,29.5,187,61,13
068f6d56-97d9-42c9-87f5-54c2e7d3040f,2024-10-12,92.2,64.5,82.9,0.0,13.9,24.2,233,8,15
068f6d56-97d9-42c9-87f5-54c2e7d3040f,2024-10-13,88.6,63.1,78.8,0.0,11.5,20.8,40,0,14
4b073aa7-e67f-43f4-9fcb-cab0fff733fe,2024-11-04,78.9,66.0,77.4,1.791,24.0,38.7,182,73,83
4b073aa7-e67f-43f4-9fcb-cab0fff733fe,2024-11-05,65.9,54.7,68.3,0.343,12.5,22.4,267,45,71
4b073aa7-e67f-43f4-9fcb-cab0fff733fe,2024-11-06,70.2,50.0,68.1,0.0,8.1,15.2,90,0,76
4b073aa7-e67f-43f4-9fcb-cab0fff733fe,2024-11-07,75.7,56.6,76.2,0.0,14.4,24.6,79,53,84
4b073aa7-e67f-43f4-9fcb-cab0fff733fe,2024-11-08,74.1,61.4,74.3,0.972,16.9,27.7,109,99,90
4b073aa7-e67f-43f4-9fcb-cab0fff733fe,2024-11-09,68.8,49.7,66.6,0.024,8.1,19.0,316,8,67
4b073aa7-e67f-43f4-9fcb-cab0fff733fe,2024-11-10,74.1,52.0,73.6,0.0,6.7,11.4,292,0,67
7cf26ebf-54ec-4342-8293-a9c0025af28e,2024-11-13,49.3,42.8,44.2,0.134,13.8,30.2,140,74,80
7cf26ebf-54ec-4342-8293-a9c0025af28e,2024-11-15,53.9,43.1,50.8,0.0,5.9,14.8,289,65,83
7cf26ebf-54ec-4342-8293-a9c0025af28e,2024-11-16,50.6,40.7,45.2,0.004,12.0,28.9,170,81,84
7cf26ebf-54ec-4342-8293-a9c0025af28e,2024-11-17,54.9,45.8,50.8,0.0,10.5,23.3,222,83,83
2e5f903e-93e3-4463-a85c-c08ef65b62dd,2024-12-04,60.7,50.4,58.6,0.0,4.8,13.6,309,34,82
2e5f903e-93e3-4463-a85c-c08ef65b62dd,2024-12-05,60.7,48.4,58.1,0.0,4.4,13.0,280,10,84
2e5f903e-93e3-4463-a85c-c08ef65b62dd,2024-12-06,69.0,47.8,65.9,0.0,5.9,13.4,279,25,63
2e5f903e-93e3-4463-a85c-c08ef65b62dd,2024-12-07,71.6,52.6,69.4,0.0,5.8,13.4,288,1,39
2e5f903e-93e3-4463-a85c-c08ef65b62dd,2024-12-08,66.3,49.4,60.8,0.0,6.3,15.2,158,45,54
796cbe85-b541-4ab1-870e-0c4498087745,2024-12-18,76.3,65.0,82.9,0.067,9.9,17.7,74,42,91
796cbe85-b541-4ab1-870e-0c4498087745,2024-12-20,67.3,54.5,64.3,0.0,9.9,21.5,296,31,74
796cbe85-b541-4ab1-870e-0c4498087745,2024-12-21,57.7,44.8,52.1,0.0,10.6,23.0,330,45,69
796cbe85-b541-4ab1-870e-0c4498087745,2024-12-22,64.3,47.8,59.5,0.0,14.0,29.5,346,12,74
2a35d3a1-bb1a-474b-9986-897a09de73b1,2025-01-06,69.8,51.1,61.8,0.0,7.2,20.4,51,36,25
2a35d3a1-bb1a-474b-9986-897a09de73b1,2025-01-07,70.3,53.2,61.1,0.0,12.2,28.2,291,61,26
2a35d3a1-bb1a-474b-9986-897a09de73b1,2025-01-08,71.2,54.4,61.9,0.0,12.6,29.5,289,23,16
2a35d3a1-bb1a-474b-9986-897a09de73b1,2025-01-09,73.3,50.3,64.1,0.0,11.6,23.7,247,0,14
2a35d3a1-bb1a-474b-9986-897a09de73b1,2025-01-10,65.8,45.7,57.5,0.0,10.0,18.3,228,0,15
2a35d3a1-bb1a-474b-9986-897a09de73b1,2025-01-11,73.7,47.4,67.0,0.0,9.3,18.3,245,0,15
2a35d3a1-bb1a-474b-9986-897a09de73b1,2025-01-12,67.6,50.0,59.3,0.0,8.5,18.1,245,0,15
a26c60b0-a00a-49cd-b93e-9fa2ac32f433,2025-01-30,69.8,60.3,67.8,0.0,11.5,30.0,177,72,56
a26c60b0-a00a-49cd-b93e-9fa2ac32f433,2025-01-31,72.4,58.0,73.3,0.0,12.7,33.1,171,12,61
a26c60b0-a00a-49cd-b93e-9fa2ac32f433,2025-02-01,89.9,57.4,91.8,0.0,8.4,23.0,166,10,56
a26c60b0-a00a-49cd-b93e-9fa2ac32f433,2025-02-02,103.1,72.4,104.0,0.307,15.0,44.5,21,72,52
6e284f6f-ef45-43cf-a09a-eff88f9ce391,2025-02-05,77.2,50.7,71.8,0.0,4.5,12.8,69,0,16
