team_uuid,team_title,franchise,event,lineup_date,matchup_uuid,player_uuid,full_name,gender,slot,singles_games,singles_value_raw,doubles_value,value_used,value_source
01835b00-5626-4d6e-ad40-9357b072eb73,Dallas Flash,1,MLP San Diego,2026-07-19,fbfc30f2-75a0-4530-aad6-81458f5ebe0a,646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,F1,94,0.6994,0.7944,0.6994,singles
01835b00-5626-4d6e-ad40-9357b072eb73,Dallas Flash,1,MLP San Diego,2026-07-19,fbfc30f2-75a0-4530-aad6-81458f5ebe0a,2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F,F2,36,0.5694,1.0217,0.5694,singles
01835b00-5626-4d6e-ad40-9357b072eb73,Dallas Flash,1,MLP San Diego,2026-07-19,fbfc30f2-75a0-4530-aad6-81458f5ebe0a,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,M1,174,1.3713,1.0854,1.3713,singles
01835b00-5626-4d6e-ad40-9357b072eb73,Dallas Flash,1,MLP San Diego,2026-07-19,fbfc30f2-75a0-4530-aad6-81458f5ebe0a,ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M,M2,119,0.9983,0.7419,0.9983,singles
e9b1ce59-d394-4570-8776-2782c94723f5,Florida Smash,1,MLP San Diego,2026-07-18,2e439a6d-f906-4528-b758-8b9a4a251426,87d60b6f-6f2e-4610-ab89-487e8acc097e,Mya Bui,F,F1,104,0.5478,0.4678,0.5478,singles
e9b1ce59-d394-4570-8776-2782c94723f5,Florida Smash,1,MLP San Diego,2026-07-18,2e439a6d-f906-4528-b758-8b9a4a251426,ad6e69ff-7913-4b21-86dd-9489f749be01,Paula Rives,F,F2,55,0.1520,0.4726,0.1520,singles
e9b1ce59-d394-4570-8776-2782c94723f5,Florida Smash,1,MLP San Diego,2026-07-18,2e439a6d-f906-4528-b758-8b9a4a251426,518626d4-2600-4134-8c6a-0ae9315f9625,Cason Campbell,M,M1,212,1.1792,0.5092,1.1792,singles
e9b1ce59-d394-4570-8776-2782c94723f5,Florida Smash,1,MLP San Diego,2026-07-18,2e439a6d-f906-4528-b758-8b9a4a251426,306da673-de7e-44f5-bc16-0738b44bd089,Christopher Crouch,M,M2,125,0.6782,0.5109,0.6782,singles
43437cb4-02e1-4653-9bf6-c999a5d6315e,Las Vegas Night Owls,1,Edward Jones Mid-Season Tournament,2026-07-09,fb7dfc22-d2bc-4e1d-8d18-6dea3e1de532,20684550-cb89-4ea2-9e2f-0f44eb920b45,Chao Yi Wang,F,F1,273,1.2202,0.8588,1.2202,singles
43437cb4-02e1-4653-9bf6-c999a5d6315e,Las Vegas Night Owls,1,Edward Jones Mid-Season Tournament,2026-07-09,fb7dfc22-d2bc-4e1d-8d18-6dea3e1de532,0c1bb94d-3af2-42f4-b938-d712c707ace4,Callie Smith,F,F2,10,0.8995,0.6431,0.8995,singles
