p1_name,p2_name,chem_logit_mean,chem_logit_sd
Jay Devilliers,Patrick Smith,0.0158,0.0478
Tanner Crandall,Brendon Swazo,-0.0079,0.0524
Pally Ray,Tony Larson,0.0036,0.0497
Kyle Chittenden,Christian Harkins,-0.0082,0.0493
Samrat Nalla,Sam Young,-0.0057,0.0537
Kailas Shekar,Riley Inn,0.0025,0.0465
Chance Finley,Christian Nowtash,-0.0053,0.0527
Jeffrey Stone Jr.,Bret Berryman,0.0003,0.0507
Jonas Valdez,Ross Mathews,0.0008,0.0547
Joey Nassos,Russell Martinez,-0.0017,0.0527
Chas Howard,Nicholas Wade,-0.0014,0.051
Alex Fillat Perez,Stavro Sophocleous,-0.0041,0.0516
Ryan Fu,Tanner Tomassi,-0.0122,0.0523
Zach Gonnering,Christopher Anderson,-0.0002,0.0528
Ryan Lucci,Daniel Gonzalez,-0.0052,0.0504
Nate Gross,Nick Tomaino,-0.0022,0.0526
Trevor Machek,Adrian Garza,0.0109,0.0523
Claudio Quinones Garcia,Christopher Haworth,0.0064,0.0496
Thatcher Schwendiman,Clayton Boydston,0.0125,0.0526
Austin Oreilly,Adrian Garza,0.0007,0.0532
Rumesh Vaikuntan,Andrew Wang,0.0011,0.0515
Daniel Byun,Harrison Yee,0.0073,0.0511
Chuck Tang,Jake Kuhlman,-0.0072,0.0525
Clayton Powell,Elijah Bertram,-0.0075,0.0511
Tavon Morrow,Evgeniy Kim,0.0108,0.049
Flynn Kantzalis Orton,Matthew Mead,0.0075,0.052
Nick Black,Logan Rosenbach,0.0079,0.0501
Joel Ticknor,Kale Klein,0.0067,0.0541
Matthew Fisher,Erik Josephs,-0.0034,0.0502
David Litvinov,Benjamin Grant,0.0002,0.0503
Garrett Blair,Paul Maple,-0.0025,0.05
Sam Angelo,Devon Farnsworth,0.0049,0.0518
Jack Goldberg,Dave Musgrave,-0.0087,0.0518
Andre Millet,Luke Ness,-0.0119,0.0512
Matthew Stith,Andre Feliz,-0.0003,0.0537
Darren Ho,Matthew Nola,-0.0013,0.0502
Walter Lau,Aron Ouye,0.0018,0.0508
Pablo Copetti,Agustin Crochi Torres,-0.0019,0.0518
Marcel Chan,Amanda Rosati,0.013,0.0527
Cori Elliott,Bryce Larson,-0.0034,0.0525
Jessica Mason,Clayton Powell,-0.0127,0.0531
Sally Clement,Michael Stephens,-0.0093,0.0481
Mary Brascia,Erik Lange,-0.0002,0.0494
Rob Cassidy,Camila Garcia Wright,0.0062,0.0504
Chas Howard,Mary Monson,0.0003,0.055
Louie Payetta,Malia K Lum,-0.0036,0.053
Madeline Schulte,Tavon Morrow,0.0033,0.0502
Carlota Trevino,Benjamin Grant,-0.0072,0.052
AJ Koller,Lacy Schneemann,-0.0097,0.049
Nicola Slater,Rio Newcombe,0.0015,0.0509
Jessica Wilcox,Jackson Ayotte,0.0229,0.0513
Thatcher Schwendiman,Brenna Murray,0.0072,0.0509
Miranda Mizera,Peyton Mizera,-0.0082,0.055
Caden Nemoff,Daria Walczak,-0.0036,0.0523
Dorothy Zerbst,Will Jamieson,0.002,0.0512
Samrat Nalla,Nora Tan,-0.0016,0.0528
Allison Phillips,John Cincola,-0.0042,0.0513
Courtney McIntosh,Walter Lau,0.0082,0.0502
Ella Boydston,Clayton Boydston,-0.0224,0.0479
Chloe Igleski,Joel Ticknor,-0.0017,0.0498
Monica Piekarski,Etienne Blaszkewycz,0.0003,0.0509
Rachael James,Johnny Goldberg,-0.006,0.0495
Belinda Gamez,Christopher Anderson,0.0016,0.0546
Lingwei Kong,Wyatt Stone,-0.0109,0.0506
Chao Yi Wang,Chuck Taylor,0.0043,0.0509
David Litvinov,Alexis Nelson,0.0055,0.0507
David Hall,Lauren Wong,-0.0078,0.0513
Jeremy Swisher,Kimberly Burbank,-0.0057,0.0523
Christian Alshon,Catherine Parenteau,0.0083,0.0447
Lina Padegimaite,CJ Klinger,0.0054,0.0522
Lea Jansen,Jack Munro,-0.0025,0.052
Christine Maddox,Tyler Loong,-0.0249,0.0528
Drake Palm,Marcela Aguila Ampon,-0.0012,0.054
Mari Humberg,Martin Emmrich,-0.0039,0.0485
Zane Navratil,Andrea Koop,0.0008,0.0508
Kaitlyn Christian,Wesley Burrows,-0.0023,0.0494
Callan Dawson,Emilia Schmidt,0.0015,0.0493
Christine Trifunovic,Brandon French,0.0031,0.049
Dana Raugust,Daniel Jensen,-0.0047,0.0492
