p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Adair Garcia,Jaeda Minniefield,mixed,4,0.089,0.512,0.56,83.5
Vincent Rettke,Andrea Miller,mixed,2,-0.116,0.52,0.423,8.8
Luca Mack,Estee Widdershoven,mixed,30,-0.099,0.522,0.443,12.5
Arianna Raga,Vladimir Orellana,mixed,2,0.033,0.537,0.517,69.3
Audrey Banada,MJ Marrero,mixed,24,0.022,0.537,0.521,65.7
Jazz Hearn IV,Julian Slive,mixed,3,-0.0,0.511,0.494,56.6
Brittany Levkulich,Roger Dugas,mixed,9,-0.008,0.511,0.499,53.1
Mandy Gabriel,Michael Leonard,mixed,2,-0.091,0.533,0.446,14.8
Regina Goldberg,Johnny Goldberg,mixed,10,-0.19,0.524,0.358,2.0
Eliel Herminas,Monica Perez,mixed,2,-0.029,0.524,0.49,42.2
Brandon Johnson,Scout Johnson,mixed,2,-0.032,0.523,0.475,40.3
Adalynn Lund,Christian Lund,mixed,17,0.01,0.516,0.499,60.8
Tom Protzek,Tamaryn Emmrich,mixed,2,-0.172,0.534,0.383,3.0
Haley Ferguson,Adam Harvey,mixed,3,-0.078,0.535,0.441,19.5
Alicia Lai,Miles Hoover,mixed,2,-0.078,0.511,0.444,19.2
Zach Gonnering,Christee Chargot,mixed,2,-0.065,0.567,0.459,24.6
Ernesto Fajardo,Alia Brown,mixed,3,-0.012,0.526,0.473,50.8
Morgan Downing,Brendan Gallagher,mixed,3,0.05,0.506,0.524,74.4
Caroline Stepnowski,Joe Wiencek,mixed,2,0.01,0.545,0.506,60.9
Samantha Buyckx,Michael Vallejo,mixed,2,-0.102,0.563,0.443,11.5
Warren Tamanaha,Yaamunan Venkatesan,mens,10,-0.076,0.536,0.448,20.2
Jake Panno,Eric Diaz,mens,11,0.02,0.535,0.503,64.9
Natalie Hur,Jaikin Gomez,mixed,8,0.013,0.494,0.504,62.0
Janaye Sakkas,Joshua Yoo,mixed,2,0.009,0.53,0.508,60.4
Nicolas Almeida,Karthik Ganesh,mens,4,-0.04,0.493,0.459,35.9
Carson Nguyen,Sunny Krittayaweth,mens,2,-0.057,0.519,0.458,28.3
Abigail Okelley,Will Mackinnon,mixed,5,0.061,0.519,0.538,77.6
Kelly Jensen,Eric Diaz,mixed,12,0.109,0.528,0.579,87.4
Brodie Smith,Omar Garcia-Heredia,mens,16,0.083,0.508,0.573,81.8
Maddox Castellanos,Rob Hutchins,mens,2,-0.035,0.515,0.487,38.8
Carlota Trevino,Rafael Lenhard,mixed,9,-0.196,0.529,0.365,1.8
Jessica Bowman,Matthew Mead,mixed,4,0.112,0.536,0.585,87.8
Cori Sidell,Tayah Cross,womens,2,-0.02,0.525,0.493,46.9
Natalie Hur,Lyn Yuen Choo,womens,30,0.083,0.516,0.573,81.9
Santhosh Narayanan,Harrison Brown,mens,5,0.053,0.533,0.531,75.2
Elliott Schupp,Kyle Koszuta,mens,36,0.057,0.517,0.551,76.6
David Litvinov,Maddy Rasmusen,mixed,5,0.009,0.509,0.511,60.4
Jase Edwards,Dana Raugust,mixed,4,0.065,0.517,0.56,78.6
Jericho Grollman,Madison Grollman,mixed,14,0.132,0.522,0.598,90.1
Jaden Lam,Jace Howard,mens,11,0.103,0.522,0.575,86.4
Josh Barber,Liam Jesperson,mens,3,0.012,0.538,0.492,61.5
Matthew Sah,Alyssia Fossorier,mixed,18,0.084,0.516,0.555,82.0
Michelle McLaughlan,Alyssia Fossorier,womens,2,-0.035,0.516,0.472,38.6
Victor Rodrigo,Matt Burkhardt,mens,16,0.091,0.529,0.578,83.8
Anderson Ju,Harrison Yee,mens,3,-0.085,0.556,0.443,17.0
Chase Holderman,Derek Shearer,mens,5,-0.053,0.536,0.468,30.3
Indigo Dagnall,Armaan Jiwa Mawji,mens,5,-0.004,0.527,0.5,54.8
Connor McCartney,Jack Sahid,mens,14,-0.048,0.555,0.472,32.9
Naomi Nguyen,Rio Newcombe,mixed,18,0.078,0.501,0.559,81.1
Kathryn Glavinovich,Blake Suard,mixed,2,-0.075,0.522,0.447,20.6
Isabella Hoang,Matt Burkhardt,mixed,3,0.038,0.517,0.529,70.7
Averee Beck,Joel Poland,mixed,5,0.071,0.532,0.544,79.7
Cc Eleven Sacca,Ethan Bakalinsky,mixed,6,0.088,0.518,0.58,83.0
Nicolas Almeida,Stevie Petropouleas,mixed,7,0.139,0.512,0.606,91.1
Dayna La Belle,Sunny Krittayaweth,mixed,2,-0.052,0.539,0.461,31.0
Preston Lynch,Fabian Jacobo,mens,2,-0.063,0.528,0.451,25.4
Anderson Ju,Chloe Pham,mixed,4,0.016,0.522,0.523,63.4
Matthew Powley,Mackenzie Lee,mixed,2,-0.042,0.513,0.47,35.2
Olivia Phillips,Braden Jacobson,mixed,5,-0.018,0.526,0.504,48.1
Ishan Balakrishnan,Julianne Le,mixed,6,-0.015,0.555,0.479,49.7
Josh Barber,Tayah Cross,mixed,3,-0.042,0.532,0.46,35.3
Natalia Simson,Karthik Ganesh,mixed,26,0.194,0.493,0.642,95.2
Matthew Sah,Cadell Traya,mens,8,-0.068,0.545,0.461,23.2
Dawoud Ghafarshad,Carl Taibl,mens,6,0.013,0.527,0.516,62.2
Ashley Mackie,Janaye Sakkas,womens,5,-0.012,0.546,0.486,50.9
Natalia Simson,Caroline Maguire,womens,6,0.224,0.538,0.661,96.7
Olivia Phillips,Maddy Rasmusen,womens,3,0.002,0.492,0.491,57.5
Naomi Nguyen,Averee Beck,womens,7,0.119,0.515,0.581,88.7
Carlota Trevino,Cc Eleven Sacca,womens,10,-0.025,0.502,0.461,44.4
Dayna La Belle,Kathryn Glavinovich,womens,2,-0.019,0.547,0.48,47.6
Connor McCartney,Jessica Mason,mixed,10,-0.03,0.514,0.481,41.1
Hannah Ward,Michael Kuhlman,mixed,5,0.031,0.513,0.534,68.6
Julianna Hess,Jessica Ho,womens,2,-0.124,0.518,0.408,7.7
Lyn Yuen Choo,Ryan Skufca,mixed,8,0.101,0.523,0.579,85.7
Michelle McLaughlan,Chase Ora,mixed,2,0.028,0.533,0.518,67.6
Janet Liu,Angel Hernandez,mixed,2,-0.055,0.502,0.47,29.4
Mike Radermacher,Jessica Ho,mixed,9,-0.112,0.519,0.421,9.6
Rafael Lenhard,Troy Akin,mens,25,0.337,0.536,0.734,99.1
