team,player_id,full_name,gender,site_name,mlp_uuid,fetched
Las Vegas Night Owls,2e0c0227-6e3e-43d5-8037-7f8bd0f9b935,Gabriel Joseph,M,Gabriel Joseph,1e1e07b4-81a3-431a-a2f9-0d97d0c981df,2026-07-30
Las Vegas Night Owls,71992955-8b6f-470b-a991-796cfa56a826,Liz Truluck,F,Liz Truluck,5a70f92b-2405-4ad7-8ea4-d4c7250dd1b9,2026-07-30
Las Vegas Night Owls,925c1306-6b3b-4510-8482-f34168a0842a,Roscoe Bellamy,M,Roscoe Bellamy,f9e6bf9c-1134-453b-ba81-686ce93adf4e,2026-07-30
Las Vegas Night Owls,b68c0204-d9d4-4cba-bf23-46706abd77bf,Clayton Powell,M,Clayton Powell,485841cc-9d10-402c-bcfe-2db6acd44925,2026-07-30
Los Angeles Mad Drops,6794d224-7da3-43d9-8300-e24e731f5dea,Samantha Parker,F,Samantha Parker,8a8cbe6c-efe7-4ee1-8726-e54a69d038e8,2026-07-30
Los Angeles Mad Drops,6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,F,Jade Kawamoto,92c27055-badb-44de-ae25-e75c3379a3a5,2026-07-30
Los Angeles Mad Drops,6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,Ben Johns,eb220f4a-2157-4bc5-990d-eea71d83fc42,2026-07-30
Los Angeles Mad Drops,9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,Catherine Parenteau,3b2d38d0-1a2d-478b-b812-9ee5357f8e4a,2026-07-30
Los Angeles Mad Drops,b03ff4de-9b8f-46a8-a530-d8f19e9d6ec9,Max Freeman,M,Max Freeman,e4af990b-6eba-442a-8395-e3857c6ff468,2026-07-30
Los Angeles Mad Drops,ff38654d-daae-4bad-a1a7-690e4e5706eb,Connor Garnett,M,Connor Garnett,d708a2dc-6885-419c-9aeb-40f1807c75a8,2026-07-30
Miami Pickleball Club,719e2d3b-d10d-402d-a195-41f072214679,Isabella Dunlap,F,Isabella Dunlap,f817b352-bb73-4fe0-b992-6108d92abbe7,2026-07-30
Miami Pickleball Club,7886d6aa-2310-4ae8-9874-f0fc9c3e534f,James Delgado,M,James Delgado,8a876e70-ade3-44d0-ab11-f0b7a7a6eac6,2026-07-30
Miami Pickleball Club,7d1a5320-aaee-46b1-a912-da2edd195248,Rika Fujiwara,F,Rika Fujiwara,caf886fe-6884-42d2-b4b2-51388510f81c,2026-07-30
Miami Pickleball Club,bf84d952-c6a8-4494-943d-064b223e764f,Estee Widdershoven,F,Estee Widdershoven,45f4314f-1ce8-4c42-b665-0f8c4960542d,2026-07-30
Miami Pickleball Club,d8d51930-abf9-468b-9e43-55a9c0728d58,Anouar Braham,M,Anouar Braham,2fd39a93-07e8-4247-8f89-6476ceeac702,2026-07-30
Miami Pickleball Club,fa8d5d28-d8f5-4996-8c35-0f4ca3c35bae,Anderson Scarpa,M,Anderson Scarpa,4881c0ed-e912-4692-b35d-942ac972f40a,2026-07-30
New Jersey 5s,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,Anna Leigh Waters,0265c0de-c4ed-40a0-bea6-64a0bc4e0f7d,2026-07-30
New Jersey 5s,1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,Noe Khlif,M,Noe Khlif,bba5b108-4a94-40bb-94b0-9bcfd758ecdf,2026-07-30
