player_id,full_name,gender,V_total,phi,phi_se,n,in_pool,pool_rank,replacement
53008558-000d-4162-8a34-9348d3f5322a,Jhonnatan Medina Alvarez,M,0.03214,-0.01794,0.00073,3000,0,94,Wade Heerboth
f370a1a0-2e1a-463b-a35c-30899131f7d6,Troy Akin,M,0.02262,-0.01848,0.00050,3000,0,95,Wade Heerboth
df443e1a-4508-4b35-917b-2780cf0ff6c8,Eddy Kim,M,0.02730,-0.01937,0.00064,3000,0,96,Wade Heerboth
79ee2d66-5ba3-47cc-bc43-f489a09d2d5a,George Rangelov,M,0.02691,-0.02027,0.00071,3000,0,97,Wade Heerboth
e1cb8dc7-930e-4fd6-8034-cdbf250ae62a,TY Parrish,M,0.02418,-0.02149,0.00070,3000,0,98,Wade Heerboth
c971bb40-090b-4e47-be58-905495e38401,Miles Hoover,M,0.02321,-0.02157,0.00068,3000,0,99,Wade Heerboth
c2c74ae6-6b11-4a40-80e6-b7b924d2d83f,Matthew Finnerty,M,0.02613,-0.02174,0.00077,3000,0,100,Wade Heerboth
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,0.42216,0.44775,0.00284,2812,1,1,Emily Cederquist
db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,0.34235,0.31481,0.00209,2817,1,2,Emily Cederquist
1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F,0.29625,0.25644,0.00186,2804,1,3,Emily Cederquist
b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,0.28752,0.25027,0.00184,2807,1,4,Emily Cederquist
3af01041-5679-400a-87b8-12c01db8cec4,Kate Fahey,F,0.28219,0.24101,0.00176,2842,1,5,Emily Cederquist
6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,F,0.27133,0.23403,0.00178,2816,1,6,Emily Cederquist
50908953-a944-4a34-898b-16af312bc814,Rachel Rohrabacher,F,0.26338,0.22431,0.00173,2813,1,7,Emily Cederquist
f879086b-e0e5-4772-b0a6-4055c265da69,Tina Pisnik,F,0.25765,0.22144,0.00171,2812,1,8,Emily Cederquist
be33755f-9262-461b-aedd-e9a7a686a82c,Jackie Kawamoto,F,0.24865,0.21025,0.00168,2821,1,9,Emily Cederquist
fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,0.24453,0.20669,0.00167,2822,1,10,Emily Cederquist
b9bacc1e-29b5-4a92-a9c1-24e08ac72215,Sofia Sewing,F,0.21737,0.19168,0.00159,2817,1,11,Emily Cederquist
2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F,0.21189,0.17909,0.00155,2807,1,12,Emily Cederquist
b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F,0.20289,0.16745,0.00152,2819,1,13,Emily Cederquist
ff789b9c-80c4-442c-b97e-2e2311298cfb,Vivian Glozman,F,0.18894,0.15372,0.00142,2842,1,14,Emily Cederquist
9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,0.19190,0.15263,0.00142,2835,1,15,Emily Cederquist
7f36e416-0907-43b2-8ec4-e9533088e30f,Bobbi Oshiro,F,0.17173,0.14287,0.00138,2797,1,16,Emily Cederquist
a3ed7970-35d2-485c-8285-187c298a2d83,Lacy Schneemann,F,0.16502,0.13131,0.00137,2811,1,17,Emily Cederquist
20684550-cb89-4ea2-9e2f-0f44eb920b45,Chao Yi Wang,F,0.16483,0.12818,0.00132,2814,1,18,Emily Cederquist
051f5c82-82ce-4ab8-b4f8-36976638a89b,Sahra Dennehy,F,0.15696,0.12122,0.00129,2800,1,19,Emily Cederquist
afc0bfc9-8cd8-4600-bd45-681092186db3,Vivienne David,F,0.14883,0.12094,0.00133,2814,1,20,Emily Cederquist
676b1cbc-766c-4616-bf39-1787ffd8c72a,Etta Tuionetoa,F,0.14014,0.11278,0.00129,2815,1,21,Emily Cederquist
1d51becb-4ea0-4878-9660-e3fd2dfaa0ea,Ewa Radzikowska,F,0.13023,0.10791,0.00128,2804,1,22,Emily Cederquist
8f521dcc-1cb5-4c8d-933c-af6b267bd395,Meghan Dizon,F,0.13562,0.10564,0.00127,2840,1,23,Emily Cederquist
efe9989b-5864-48c2-806c-06697024e1da,Allyce Jones,F,0.12611,0.09717,0.00123,2830,1,24,Emily Cederquist
